symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC270115C00037000,0.5732,0.6828,0.0149,0.1774,-0.012,0.1484,10.0,10.0,10.0,1.0,10.0,2025-12-01T05:00:00Z,2.0,10.0,13.21,20,A,8.82,23,A,A,2025-12-05T20:59:44.875367217Z,I,9.81,2.0,2025-12-01T18:32:03.8763336Z,M,10.0,10.0,10.0,1.0,10.0,2025-12-01T18:32:00Z,2.0,10.0,2027-01-15,37000,,,,,,,,
BTC280121P00052000,0.5558,-0.4388,0.0123,-0.7671,-0.0049,0.2273,13.55,13.55,13.55,1.0,13.55,2025-10-13T04:00:00Z,2.0,13.55,21.08,11,S,16.37,13,T, ,2025-12-05T20:59:23.317924633Z,f,13.55,2.0,2025-10-13T13:30:02.567099916Z,J,13.55,13.55,13.55,1.0,13.55,2025-10-13T13:30:00Z,2.0,13.55,2028-01-21,52000,13.0,13.2,12.98,9.0,13.07,2025-10-10T04:00:00Z,19.0,13.027368
BTC260320C00070000,,,,,,,0.26,0.26,0.26,2.0,0.26,2025-12-03T05:00:00Z,10.0,0.26,0.42,139,J,0.0,0,?,A,2025-12-05T20:49:58.791086864Z,g,0.26,5.0,2025-12-03T20:58:19.748107868Z,C,0.26,0.26,0.26,2.0,0.26,2025-12-03T20:58:00Z,10.0,0.26,2026-03-20,70000,0.25,0.25,0.25,1.0,0.25,2025-12-01T05:00:00Z,1.0,0.25
BTC251219P00040000,0.4995,-0.5233,0.1068,-0.008,-0.0547,0.0297,1.87,1.87,1.3,15.0,1.5,2025-12-05T05:00:00Z,31.0,1.532903,1.88,38,S,1.52,39,P, ,2025-12-05T20:59:48.804608858Z,g,1.87,1.0,2025-12-05T17:23:01.663652391Z,C,1.87,1.87,1.87,1.0,1.87,2025-12-05T17:23:00Z,1.0,1.87,2025-12-19,40000,1.14,1.35,1.03,19.0,1.14,2025-12-04T05:00:00Z,36.0,1.125
BTC260320P00036000,0.5554,-0.3081,0.03,-0.0425,-0.0183,0.0743,,,,,,,,,4.25,712,X,1.22,681,X, ,2025-12-05T20:55:02.698990581Z,,,,,,,,,,,,,,2026-03-20,36000,,,,,,,,
BTC260116C00080000,,,,,,,0.18,0.2,0.18,3.0,0.2,2025-11-04T05:00:00Z,35.0,0.185714,0.13,1,I,0.0,0,?, ,2025-12-05T15:03:36.111926775Z,a,0.18,25.0,2025-11-04T19:46:20.039370915Z,X,0.18,0.18,0.18,1.0,0.18,2025-11-04T19:46:00Z,25.0,0.18,2026-01-16,80000,0.3,0.35,0.3,2.0,0.35,2025-11-03T05:00:00Z,15.0,0.333333
BTC260618P00032000,0.5331,-0.215,0.019,-0.0574,-0.0105,0.0842,,,,,,,,,2.98,108,X,1.63,237,X, ,2025-12-05T20:59:23.317971275Z,,,,,,,,,,,,,,2026-06-18,32000,,,,,,,,
BTC260618C00020000,0.8322,0.9277,0.0057,0.0837,-0.0101,0.0397,,,,,,,,,22.05,362,A,19.83,114,X,A,2025-12-05T20:59:48.804890626Z,,,,,,,,,,,,,,2026-06-18,20000,,,,,,,,
BTC260618P00041000,0.5136,-0.4432,0.0267,-0.1264,-0.0127,0.1139,5.7,5.7,5.7,1.0,5.7,2025-12-03T05:00:00Z,9.0,5.7,7.35,482,A,5.17,437,A,A,2025-12-05T20:59:48.809480357Z,I,5.7,9.0,2025-12-03T18:20:53.369385145Z,A,5.7,5.7,5.7,1.0,5.7,2025-12-03T18:20:00Z,9.0,5.7,2026-06-18,41000,6.95,6.95,6.95,1.0,6.95,2025-11-25T05:00:00Z,1.0,6.95
BTC280121C00070000,0.5677,0.4242,0.012,0.2138,-0.0092,0.2259,6.94,6.94,6.94,1.0,6.94,2025-11-17T05:00:00Z,1.0,6.94,8.89,36,A,4.55,1,C,A,2025-12-05T20:59:54.933723687Z,g,6.94,1.0,2025-11-17T16:00:48.185448237Z,A,6.94,6.94,6.94,1.0,6.94,2025-11-17T16:00:00Z,1.0,6.94,2028-01-21,70000,8.72,8.72,8.72,1.0,8.72,2025-11-04T05:00:00Z,3.0,8.72
BTC260320P00042000,0.4856,-0.5244,0.0388,-0.0741,-0.017,0.0841,5.8,6.3,5.8,2.0,6.3,2025-11-24T05:00:00Z,2.0,6.05,6.26,460,A,4.26,513,A,A,2025-12-05T20:59:54.308090174Z,I,5.88,1.0,2025-11-24T20:26:11.312992469Z,X,5.8,5.8,5.8,1.0,5.8,2025-11-24T20:26:00Z,1.0,5.8,2026-03-20,42000,7.16,7.16,7.16,1.0,7.16,2025-11-21T05:00:00Z,1.0,7.16
BTC280121P00053000,0.5502,-0.4508,0.0125,-0.7893,-0.0047,0.2283,14.0,14.0,14.0,1.0,14.0,2025-10-10T04:00:00Z,5.0,14.0,21.57,27,P,17.02,26,P, ,2025-12-05T20:59:23.530100539Z,g,14.0,5.0,2025-10-10T19:50:02.579381288Z,C,14.0,14.0,14.0,1.0,14.0,2025-10-10T19:50:00Z,5.0,14.0,2028-01-21,53000,13.68,13.68,13.68,1.0,13.68,2025-09-19T04:00:00Z,1.0,13.68
BTC260618C00032000,0.5308,0.7855,0.0191,0.1096,-0.0136,0.0841,,,,,,,,,11.96,696,X,8.94,721,X, ,2025-12-05T20:59:23.317914603Z,,,,,,,,,,,,,,2026-06-18,32000,,,,,,,,
BTC260320P00051000,0.447,-0.8164,0.0282,-0.1255,-0.0076,0.0561,6.7,6.7,6.0,3.0,6.0,2025-10-13T04:00:00Z,13.0,6.646154,13.04,81,C,10.48,79,C, ,2025-12-05T20:59:48.804719529Z,g,6.7,10.0,2025-10-13T15:57:47.551149567Z,C,6.7,6.7,6.7,1.0,6.7,2025-10-13T15:57:00Z,10.0,6.7,2026-03-20,51000,5.5,5.5,5.5,1.0,5.5,2025-10-09T04:00:00Z,13.0,5.5
BTC280121C00051000,0.5692,0.5765,0.0119,0.265,-0.0094,0.2258,17.43,17.43,17.43,1.0,17.43,2025-10-29T04:00:00Z,1.0,17.43,12.66,29,A,8.02,29,A,A,2025-12-05T20:59:53.217080208Z,a,17.43,1.0,2025-10-29T13:41:14.258350256Z,X,17.43,17.43,17.43,1.0,17.43,2025-10-29T13:41:00Z,1.0,17.43,2028-01-21,51000,20.0,20.0,20.0,3.0,20.0,2025-10-27T04:00:00Z,10.0,20.0
BTC270115P00068000,0.5787,-0.6991,0.0144,-0.6326,-0.005,0.1451,,,,,,,,,31.04,21,B,27.69,12,B, ,2025-12-05T20:59:23.317894578Z,,,,,,,,,,,,,,2027-01-15,68000,,,,,,,,
BTC270115P00053000,0.5325,-0.5688,0.0177,-0.4351,-0.0071,0.1637,10.6,10.6,10.6,1.0,10.6,2025-10-08T04:00:00Z,4.0,10.6,18.75,15,B,14.68,16,S, ,2025-12-05T20:55:06.89667303Z,I,10.6,4.0,2025-10-08T17:37:39.282173916Z,Z,10.6,10.6,10.6,1.0,10.6,2025-10-08T17:37:00Z,4.0,10.6,2027-01-15,53000,9.0,9.98,9.0,3.0,9.98,2025-10-06T04:00:00Z,6.0,9.816667
BTC260320P00033000,0.4971,-0.1963,0.0264,-0.0258,-0.013,0.0584,,,,,,,,,1.88,22,P,0.73,214,A,A,2025-12-05T20:59:48.806227955Z,,,,,,,,,,,,,,2026-03-20,33000,,,,,,,,
BTC260116C00030000,0.7546,0.8918,0.0186,0.0281,-0.0253,0.0246,10.0,10.0,10.0,1.0,10.0,2025-12-05T05:00:00Z,1.0,10.0,12.3,383,A,8.22,92,A,A,2025-12-05T20:59:55.210195747Z,I,10.0,1.0,2025-12-05T20:47:32.986888585Z,I,10.0,10.0,10.0,1.0,10.0,2025-12-05T20:47:00Z,1.0,10.0,2026-01-16,30000,8.0,9.0,8.0,2.0,9.0,2025-12-01T05:00:00Z,2.0,8.5
BTC270115P00054000,0.5267,-0.5852,0.0178,-0.4495,-0.0067,0.1624,,,,,,,,,19.09,20,P,15.64,20,P, ,2025-12-05T20:56:06.038507906Z,,,,,,,,,,,,,,2027-01-15,54000,,,,,,,,
BTC251219P00060000,,,,,,,12.5,12.5,12.5,1.0,12.5,2025-10-21T04:00:00Z,1.0,12.5,20.83,42,B,18.72,42,B, ,2025-12-05T20:59:48.804753477Z,g,12.5,1.0,2025-10-21T13:40:03.531830166Z,C,12.5,12.5,12.5,1.0,12.5,2025-10-21T13:40:00Z,1.0,12.5,2025-12-19,60000,13.0,13.0,13.0,1.0,13.0,2025-10-16T04:00:00Z,1.0,13.0
BTC260320P00052000,0.41,-0.8627,0.0254,-0.1327,-0.0044,0.0464,14.62,14.62,14.62,1.0,14.62,2025-12-01T05:00:00Z,1.0,14.62,13.53,80,C,11.37,79,C, ,2025-12-05T20:59:48.804729735Z,f,14.62,1.0,2025-12-01T14:34:27.511422138Z,X,14.62,14.62,14.62,1.0,14.62,2025-12-01T14:34:00Z,1.0,14.62,2026-03-20,52000,7.3,7.3,6.6,4.0,7.18,2025-10-13T04:00:00Z,23.0,7.217391
BTC260116P00073000,,,,,,,,,,,,,,,34.59,20,B,31.58,23,Z, ,2025-12-05T20:59:24.740301758Z,,,,,,,,,,,,,,2026-01-16,73000,,,,,,,,
BTC280121P00080000,0.5866,-0.6233,0.0112,-1.3936,-0.0024,0.219,,,,,,,,,43.15,13,E,38.65,11,B,A,2025-12-05T20:59:51.97642139Z,,,,,,,,,,,,,,2028-01-21,80000,,,,,,,,
