symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251219P00040000,2.68,2.68,2.0,9.0,2.2,2025-11-19T05:00:00Z,13.0,2.193077,3.02,204,A,2.32,39,B, ,2025-11-19T18:00:32.545154038Z,I,2.68,1.0,2025-11-19T17:37:36.290506494Z,Z,2.68,2.68,2.68,1.0,2.68,2025-11-19T17:37:00Z,1.0,2.68,1.85,2.05,1.8,9.0,2.05,2025-11-18T05:00:00Z,26.0,1.901923,2025-12-19,40000,0.556,-0.4863,0.0632,-0.018,-0.0396,0.0452
BTC260116C00059000,2.05,2.05,2.05,1.0,2.05,2025-10-23T04:00:00Z,1.0,2.05,0.52,21,P,0.0,0,?, ,2025-11-19T17:52:21.438607812Z,a,2.05,1.0,2025-10-23T18:38:24.880703802Z,M,2.05,2.05,2.05,1.0,2.05,2025-10-23T18:38:00Z,1.0,2.05,4.6,4.6,4.45,3.0,4.45,2025-10-06T04:00:00Z,3.0,4.516667,2026-01-16,59000,,,,,,
BTC251219C00044000,0.9,0.9,0.9,1.0,0.9,2025-11-19T05:00:00Z,1.0,0.9,0.93,21,B,0.68,37,P, ,2025-11-19T18:00:30.199262819Z,I,0.9,1.0,2025-11-19T16:49:16.265625767Z,A,0.9,0.9,0.9,1.0,0.9,2025-11-19T16:49:00Z,1.0,0.9,1.42,1.42,1.2,10.0,1.2,2025-11-18T05:00:00Z,22.0,1.369091,2025-12-19,44000,0.4932,0.2564,0.0575,0.0077,-0.031,0.0365
BTC251219P00033000,0.55,0.55,0.28,4.0,0.33,2025-11-19T05:00:00Z,22.0,0.327273,0.62,14,B,0.03,1357,A, ,2025-11-19T18:00:32.296776819Z,I,0.53,2.0,2025-11-19T16:46:41.847520418Z,A,0.55,0.55,0.55,1.0,0.55,2025-11-19T16:46:00Z,2.0,0.55,0.45,0.45,0.45,1.0,0.45,2025-11-14T05:00:00Z,1.0,0.45,2025-12-19,33000,0.5447,-0.1032,0.029,-0.0036,-0.018,0.0204
BTC251121C00070000,0.05,0.05,0.05,1.0,0.05,2025-11-10T05:00:00Z,1.0,0.05,0.03,5,U,0.0,0,?,A,2025-11-19T15:18:07.443095912Z,I,0.05,1.0,2025-11-10T14:47:26.974129121Z,U,0.05,0.05,0.05,1.0,0.05,2025-11-10T14:47:00Z,1.0,0.05,0.06,0.06,0.06,1.0,0.06,2025-11-06T05:00:00Z,1.0,0.06,2025-11-21,70000,,,,,,
BTC260116C00058000,1.62,1.9,1.62,2.0,1.9,2025-10-31T04:00:00Z,6.0,1.666667,0.77,164,B,0.07,22,B, ,2025-11-19T17:57:31.643236354Z,f,1.62,5.0,2025-10-31T18:41:55.400744824Z,M,1.62,1.62,1.62,1.0,1.62,2025-10-31T18:41:00Z,5.0,1.62,4.7,4.7,4.7,1.0,4.7,2025-10-08T04:00:00Z,11.0,4.7,2026-01-16,58000,0.6563,0.0958,0.0164,0.0054,-0.0155,0.0268
BTC251121P00062000,16.1,16.1,16.1,1.0,16.1,2025-11-04T05:00:00Z,4.0,16.1,23.09,56,A,21.09,38,X,A,2025-11-19T18:00:30.223791333Z,f,16.1,4.0,2025-11-04T15:37:29.616536999Z,I,16.1,16.1,16.1,1.0,16.1,2025-11-04T15:37:00Z,4.0,16.1,,,,,,,,,2025-11-21,62000,,,,,,
BTC270115C00068000,,,,,,,,,4.94,13,M,2.19,13,E,A,2025-11-19T18:00:06.012518462Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,68000,0.5722,0.3062,0.0144,0.0989,-0.0109,0.1493
BTC260320C00057000,2.6,2.6,2.6,1.0,2.6,2025-11-05T05:00:00Z,2.0,2.6,1.43,141,B,0.68,13,E,A,2025-11-19T18:00:11.918209243Z,f,2.6,2.0,2025-11-05T16:00:11.00441389Z,J,2.6,2.6,2.6,1.0,2.6,2025-11-05T16:00:00Z,2.0,2.6,5.18,5.18,5.18,1.0,5.18,2025-10-13T04:00:00Z,3.0,5.18,2026-03-20,57000,0.5604,0.1763,0.0203,0.0196,-0.0143,0.059
BTC270115C00020000,22.0,22.0,22.0,1.0,22.0,2025-11-19T05:00:00Z,10.0,22.0,23.8,23,B,21.09,29,A,A,2025-11-19T18:00:30.193599638Z,I,22.0,10.0,2025-11-19T17:33:25.200813538Z,U,22.0,22.0,22.0,1.0,22.0,2025-11-19T17:33:00Z,10.0,22.0,27.0,27.0,27.0,1.0,27.0,2025-11-06T05:00:00Z,1.0,27.0,2027-01-15,20000,0.7412,0.9041,0.0054,0.1543,-0.0076,0.0724
