symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121C00054000,11.86,15,S,7.19,11,E,A,2025-11-19T19:03:15.209767171Z,2028-01-21,54000,0.5601,0.5472,0.0122,0.262,-0.0092,0.2303,14.0,14.0,14.0,1.0,14.0,2025-10-16T04:00:00Z,8.0,14.0,e,14.0,8.0,2025-10-16T19:54:12.418494959Z,B,14.0,14.0,14.0,1.0,14.0,2025-10-16T19:54:00Z,8.0,14.0,18.9,18.9,18.9,2.0,18.9,2025-10-09T04:00:00Z,10.0,18.9
BTC280121C00063000,10.15,7,E,5.6,13,A,A,2025-11-19T19:02:22.535578838Z,2028-01-21,63000,0.5654,0.4762,0.0121,0.2369,-0.0092,0.2315,11.73,11.9,11.73,2.0,11.9,2025-09-22T04:00:00Z,39.0,11.834615,g,11.73,15.0,2025-09-22T19:22:10.185000133Z,C,11.73,11.73,11.73,1.0,11.73,2025-09-22T19:22:00Z,15.0,11.73,,,,,,,,
BTC260116P00055000,15.82,15,E,14.66,35,B,A,2025-11-19T19:03:15.616949034Z,2026-01-16,55000,0.3471,-0.989,0.0053,-0.0862,0.0044,0.0046,9.55,9.55,9.55,1.0,9.55,2025-11-11T05:00:00Z,1.0,9.55,g,9.55,1.0,2025-11-11T15:15:08.542991866Z,C,9.55,9.55,9.55,1.0,9.55,2025-11-11T15:15:00Z,1.0,9.55,7.8,8.0,7.8,3.0,8.0,2025-10-31T04:00:00Z,12.0,7.833333
BTC251219C00046000,0.72,18,A,0.38,22,Z,A,2025-11-19T19:03:14.950188562Z,2025-12-19,46000,0.5312,0.1807,0.0438,0.0054,-0.027,0.0297,0.83,0.9,0.83,8.0,0.83,2025-11-18T05:00:00Z,16.0,0.8475,a,0.83,3.0,2025-11-18T20:56:59.402389076Z,I,0.83,0.83,0.83,1.0,0.83,2025-11-18T20:56:00Z,3.0,0.83,0.8,1.01,0.8,5.0,1.01,2025-11-17T05:00:00Z,16.0,0.868125
BTC270115C00029000,18.18,24,A,14.2,22,E,A,2025-11-19T19:03:03.918241111Z,2027-01-15,29000,0.6626,0.8007,0.0099,0.1779,-0.0108,0.1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121C00048000,0.17,18,U,0.0,0,?,A,2025-11-19T19:01:42.974743563Z,2025-11-21,48000,,,,,,,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,2.0,0.05,I,0.05,2.0,2025-11-19T16:56:52.461112994Z,U,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:56:00Z,2.0,0.05,0.04,0.1,0.04,6.0,0.1,2025-11-18T05:00:00Z,60.0,0.046
BTC280121C00043000,14.94,7,P,10.45,13,E,A,2025-11-19T19:02:47.99385348Z,2028-01-21,43000,0.5725,0.6569,0.011,0.2871,-0.0089,0.2137,14.8,15.2,14.8,3.0,15.06,2025-11-14T05:00:00Z,3.0,15.02,I,14.8,1.0,2025-11-14T17:31:20.491397179Z,U,14.8,15.2,14.8,2.0,15.2,2025-11-14T17:31:00Z,2.0,15.0,18.2,18.2,18.2,1.0,18.2,2025-10-17T04:00:00Z,3.0,18.2
BTC280121P00035000,10.52,3,A,5.93,11,E,A,2025-11-19T19:03:11.949697971Z,2028-01-21,35000,0.551,-0.2608,0.0101,-0.4021,-0.0049,0.1889,7.6,7.6,7.6,1.0,7.6,2025-11-17T05:00:00Z,50.0,7.6,a,7.6,50.0,2025-11-17T17:49:55.119371466Z,X,7.6,7.6,7.6,1.0,7.6,2025-11-17T17:49:00Z,50.0,7.6,5.0,5.0,5.0,1.0,5.0,2025-09-23T04:00:00Z,1.0,5.0
BTC260116C00049000,1.27,318,X,0.12,1296,A,A,2025-11-19T19:02:38.206141703Z,2026-01-16,49000,0.5115,0.1756,0.0321,0.0099,-0.0186,0.0406,0.8,0.8,0.8,1.0,0.8,2025-11-19T05:00:00Z,1.0,0.8,I,0.8,1.0,2025-11-19T17:38:50.248041904Z,C,0.8,0.8,0.8,1.0,0.8,2025-11-19T17:38:00Z,1.0,0.8,0.96,0.96,0.96,1.0,0.96,2025-11-18T05:00:00Z,1.0,0.96
BTC251219C00060000,0.13,2,X,0.07,1,A,B,2025-11-19T18:26:18.683692484Z,2025-12-19,60000,0.7446,0.0326,0.0087,0.001,-0.0104,0.0082,0.1,0.1,0.1,1.0,0.1,2025-11-19T05:00:00Z,1.0,0.1,g,0.1,1.0,2025-11-19T17:43:24.400122469Z,C,0.1,0.1,0.1,1.0,0.1,2025-11-19T17:43:00Z,1.0,0.1,0.05,0.05,0.05,1.0,0.05,2025-11-18T05:00:00Z,1.0,0.05
