symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121P00052000,20.47,9,U,16.71,23,A,A,2025-11-19T19:02:56.887795665Z,2028-01-21,52000,0.5438,-0.4424,0.0125,-0.783,-0.0046,0.2295,13.55,13.55,13.55,1.0,13.55,2025-10-13T04:00:00Z,2.0,13.55,f,13.55,2.0,2025-10-13T13:30:02.567099916Z,J,13.55,13.55,13.55,1.0,13.55,2025-10-13T13:30:00Z,2.0,13.55,13.0,13.2,12.98,9.0,13.07,2025-10-10T04:00:00Z,19.0,13.027368
BTC280121C00052000,12.69,14,A,8.32,17,U,A,2025-11-19T19:03:15.024681087Z,2028-01-21,52000,0.5829,0.5757,0.0116,0.2651,-0.0095,0.2277,16.1,18.2,15.9,6.0,18.2,2025-09-19T04:00:00Z,7.0,16.357143,I,16.1,2.0,2025-09-19T15:03:50.612103074Z,I,16.1,18.2,15.9,6.0,18.2,2025-09-19T15:03:00Z,7.0,16.357143,,,,,,,,
BTC251219C00032000,9.32,661,A,7.51,210,A,A,2025-11-19T19:02:36.356693643Z,2025-12-19,32000,0.8356,0.8428,0.0255,0.0204,-0.0406,0.0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121P00050000,10.93,19,U,8.73,54,S, ,2025-11-19T19:01:42.807625436Z,2025-11-21,50000,,,,,,,9.3,9.3,9.3,1.0,9.3,2025-11-18T05:00:00Z,3.0,9.3,I,9.15,3.0,2025-11-18T17:07:49.150365607Z,N,9.3,9.3,9.3,1.0,9.3,2025-11-18T17:07:00Z,3.0,9.3,8.25,8.25,8.25,1.0,8.25,2025-11-17T05:00:00Z,2.0,8.25
BTC260116C00068000,0.73,322,A,0.0,0,?,A,2025-11-19T19:00:42.525686023Z,2026-01-16,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00027000,5.06,13,E,0.52,18,A, ,2025-11-19T19:00:27.015590737Z,2027-01-15,27000,0.5686,-0.1608,0.0101,-0.1056,-0.0061,0.1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121C00044000,0.13,15,E,0.0,0,?,A,2025-11-19T19:01:42.746391603Z,2025-11-21,44000,,,,,,,0.04,0.05,0.04,2.0,0.05,2025-11-19T05:00:00Z,33.0,0.049091,a,0.04,3.0,2025-11-19T15:54:10.074297788Z,J,0.04,0.04,0.04,1.0,0.04,2025-11-19T15:54:00Z,3.0,0.04,0.05,0.05,0.05,1.0,0.05,2025-11-18T05:00:00Z,3.0,0.05
BTC260320C00057000,1.42,141,B,0.48,133,A, ,2025-11-19T19:02:05.739331885Z,2026-03-20,57000,0.5464,0.1653,0.02,0.0185,-0.0133,0.0564,2.6,2.6,2.6,1.0,2.6,2025-11-05T05:00:00Z,2.0,2.6,f,2.6,2.0,2025-11-05T16:00:11.00441389Z,J,2.6,2.6,2.6,1.0,2.6,2025-11-05T16:00:00Z,2.0,2.6,5.18,5.18,5.18,1.0,5.18,2025-10-13T04:00:00Z,3.0,5.18
BTC270115P00065000,28.12,21,E,24.95,16,E,A,2025-11-19T19:02:46.97838334Z,2027-01-15,65000,0.5466,-0.6872,0.0153,-0.6201,-0.0046,0.1502,18.53,18.53,18.53,1.0,18.53,2025-10-10T04:00:00Z,1.0,18.53,f,18.53,1.0,2025-10-10T15:31:47.560211828Z,W,18.53,18.53,18.53,1.0,18.53,2025-10-10T15:31:00Z,1.0,18.53,21.8,22.1,21.8,8.0,22.03,2025-07-07T04:00:00Z,150.0,21.925733
BTC260320C00059000,1.27,231,A,0.48,23,U,A,2025-11-19T19:03:15.863316988Z,2026-03-20,59000,0.5662,0.1507,0.0182,0.0168,-0.013,0.0531,3.3,3.3,3.3,1.0,3.3,2025-10-16T04:00:00Z,1.0,3.3,I,3.3,1.0,2025-10-16T16:00:57.061771548Z,P,3.3,3.3,3.3,1.0,3.3,2025-10-16T16:00:00Z,1.0,3.3,6.75,6.75,6.35,2.0,6.35,2025-10-06T04:00:00Z,3.0,6.483333
BTC260320C00061000,1.17,244,A,0.42,16,E,A,2025-11-19T19:03:07.711334223Z,2026-03-20,61000,0.5819,0.1365,0.0166,0.0152,-0.0124,0.0497,3.0,3.0,3.0,1.0,3.0,2025-10-23T04:00:00Z,1.0,3.0,I,3.02,1.0,2025-10-23T16:40:53.182666268Z,P,3.0,3.0,3.0,1.0,3.0,2025-10-23T16:40:00Z,1.0,3.0,4.95,4.95,4.95,1.0,4.95,2025-10-09T04:00:00Z,1.0,4.95
BTC270115P00025000,3.55,26,A,0.88,24,S,A,2025-11-19T19:03:01.490224482Z,2027-01-15,25000,0.575,-0.1332,0.0088,-0.0863,-0.0055,0.0912,2.0,2.0,2.0,1.0,2.0,2025-11-19T05:00:00Z,1.0,2.0,I,2.0,1.0,2025-11-19T16:13:02.866426563Z,P,2.0,2.0,2.0,1.0,2.0,2025-11-19T16:13:00Z,1.0,2.0,2.15,2.15,1.5,2.0,1.5,2025-11-17T05:00:00Z,9.0,1.572222
BTC260618C00053000,3.53,511,A,2.24,208,A,A,2025-11-19T19:03:09.442585653Z,2026-06-18,53000,0.5506,0.3281,0.0219,0.0581,-0.0152,0.1083,3.64,3.64,3.64,1.0,3.64,2025-11-14T05:00:00Z,5.0,3.64,g,3.64,5.0,2025-11-14T19:06:10.698141855Z,C,3.64,3.64,3.64,1.0,3.64,2025-11-14T19:06:00Z,5.0,3.64,,,,,,,,
BTC260618P00052000,14.95,184,A,12.48,58,E,A,2025-11-19T19:03:08.17920582Z,2026-06-18,52000,0.4744,-0.7008,0.0244,-0.2391,-0.0075,0.1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00080000,42.29,12,E,40.25,10,U,A,2025-11-19T19:01:42.817483962Z,2028-01-21,80000,0.5976,-0.6109,0.011,-1.4201,-0.0025,0.2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219C00042000,1.58,27,A,1.37,16,E,A,2025-11-19T19:03:13.893385815Z,2025-12-19,42000,0.5389,0.3787,0.0624,0.0111,-0.0401,0.043,1.56,1.75,1.4,7.0,1.75,2025-11-19T05:00:00Z,25.0,1.4888,a,1.56,1.0,2025-11-19T16:58:42.870351874Z,X,1.56,1.56,1.56,1.0,1.56,2025-11-19T16:58:00Z,1.0,1.56,2.15,2.28,2.08,9.0,2.13,2025-11-18T05:00:00Z,62.0,2.128387
BTC260320C00054000,1.73,241,A,1.02,22,U,A,2025-11-19T19:03:00.840634189Z,2026-03-20,54000,0.5592,0.219,0.0233,0.0241,-0.0163,0.0671,1.75,1.75,1.75,1.0,1.75,2025-11-18T05:00:00Z,10.0,1.75,e,1.75,10.0,2025-11-18T19:41:48.853714877Z,B,1.75,1.75,1.75,1.0,1.75,2025-11-18T19:41:00Z,10.0,1.75,1.8,1.85,1.8,3.0,1.85,2025-11-14T05:00:00Z,3.0,1.816667
BTC260320C00058000,1.33,141,B,0.58,14,M, ,2025-11-19T19:00:59.525968499Z,2026-03-20,58000,0.5644,0.1622,0.0192,0.018,-0.0136,0.0558,2.5,2.5,2.5,1.0,2.5,2025-11-04T05:00:00Z,1.0,2.5,I,2.47,1.0,2025-11-04T18:10:47.203486528Z,N,2.5,2.5,2.5,1.0,2.5,2025-11-04T18:10:00Z,1.0,2.5,6.02,6.02,6.02,2.0,6.02,2025-10-07T04:00:00Z,2.0,6.02
BTC260116P00051000,12.28,73,A,10.81,40,B,A,2025-11-19T19:03:11.92546037Z,2026-01-16,51000,0.4521,-0.9035,0.0241,-0.075,-0.0054,0.0269,5.85,5.85,5.8,2.0,5.8,2025-10-20T04:00:00Z,2.0,5.825,a,5.85,1.0,2025-10-20T17:40:08.059358876Z,X,5.85,5.85,5.85,1.0,5.85,2025-10-20T17:40:00Z,1.0,5.85,5.7,5.7,5.7,1.0,5.7,2025-10-14T04:00:00Z,1.0,5.7
BTC260116C00062000,0.77,405,X,0.0,0,?, ,2025-11-19T19:01:42.77189087Z,2026-01-16,62000,,,,,,,1.26,1.26,1.26,1.0,1.26,2025-10-20T04:00:00Z,1.0,1.26,g,1.26,1.0,2025-10-20T18:48:42.523441326Z,C,1.26,1.26,1.26,1.0,1.26,2025-10-20T18:48:00Z,1.0,1.26,1.5,1.5,1.5,1.0,1.5,2025-10-16T04:00:00Z,1.0,1.5
BTC270115C00061000,6.09,13,E,3.12,14,E,A,2025-11-19T19:03:09.582039628Z,2027-01-15,61000,0.5772,0.3715,0.0154,0.1162,-0.0119,0.1603,11.03,11.03,11.03,2.0,11.03,2025-10-03T04:00:00Z,2.0,11.03,a,11.03,1.0,2025-10-03T19:32:19.443593652Z,M,11.03,11.03,11.03,2.0,11.03,2025-10-03T19:32:00Z,2.0,11.03,,,,,,,,
BTC260320C00062000,1.12,141,B,0.33,14,E,A,2025-11-19T19:03:12.787933467Z,2026-03-20,62000,0.5823,0.1264,0.0157,0.0141,-0.0118,0.0471,2.3,2.3,2.3,1.0,2.3,2025-10-17T04:00:00Z,1.0,2.3,I,2.3,1.0,2025-10-17T14:27:36.656332053Z,D,2.3,2.3,2.3,1.0,2.3,2025-10-17T14:27:00Z,1.0,2.3,3.45,3.45,3.45,1.0,3.45,2025-10-14T04:00:00Z,5.0,3.45
BTC260116P00048000,9.27,23,U,7.5,45,C,A,2025-11-19T19:03:02.468217725Z,2026-01-16,48000,0.2992,-0.9377,0.0261,-0.0721,-0.0001,0.0193,7.42,7.42,7.42,1.0,7.42,2025-11-17T05:00:00Z,5.0,7.42,g,7.42,5.0,2025-11-17T15:47:43.895670218Z,C,7.42,7.42,7.42,1.0,7.42,2025-11-17T15:47:00Z,5.0,7.42,6.2,6.2,6.2,1.0,6.2,2025-11-14T05:00:00Z,2.0,6.2
BTC260618P00058000,19.74,32,A,17.52,30,E, ,2025-11-19T19:00:27.017565368Z,2026-06-18,58000,0.4651,-0.8032,0.0199,-0.2908,-0.004,0.0831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121C00041000,16.14,13,U,11.56,23,E,A,2025-11-19T19:02:45.835875518Z,2028-01-21,41000,0.5976,0.6835,0.0102,0.2847,-0.009,0.2069,20.0,20.0,20.0,1.0,20.0,2025-10-14T04:00:00Z,1.0,20.0,I,20.0,1.0,2025-10-14T13:30:13.058081091Z,A,20.0,20.0,20.0,1.0,20.0,2025-10-14T13:30:00Z,1.0,20.0,,,,,,,,
BTC260116C00072000,0.73,323,A,0.0,0,?,A,2025-11-19T19:00:45.653314437Z,2026-01-16,72000,,,,,,,1.24,1.24,1.24,1.0,1.24,2025-10-02T04:00:00Z,3.0,1.24,I,1.24,3.0,2025-10-02T13:43:46.776168404Z,Z,1.24,1.24,1.24,1.0,1.24,2025-10-02T13:43:00Z,3.0,1.24,,,,,,,,
BTC280121C00045000,14.31,8,A,10.22,8,E,A,2025-11-19T19:03:14.510275645Z,2028-01-21,45000,0.5802,0.6394,0.0111,0.2814,-0.0091,0.2176,15.18,15.92,15.18,2.0,15.92,2025-11-13T05:00:00Z,3.0,15.426667,a,15.18,2.0,2025-11-13T17:57:23.505355445Z,X,15.18,15.18,15.18,1.0,15.18,2025-11-13T17:57:00Z,2.0,15.18,15.8,16.2,15.8,2.0,16.2,2025-11-06T05:00:00Z,20.0,16.0
BTC260618P00049000,12.62,137,B,10.2,361,X, ,2025-11-19T19:02:05.740325634Z,2026-06-18,49000,0.4755,-0.6406,0.0262,-0.212,-0.0089,0.1121,7.55,7.55,7.55,1.0,7.55,2025-11-03T05:00:00Z,1.0,7.55,g,7.55,1.0,2025-11-03T15:58:01.079681813Z,C,7.55,7.55,7.55,1.0,7.55,2025-11-03T15:58:00Z,1.0,7.55,,,,,,,,
BTC251121C00062000,0.73,508,A,0.0,0,?,A,2025-11-19T19:02:27.460005228Z,2025-11-21,62000,,,,,,,0.34,0.4,0.3,10.0,0.3,2025-10-20T04:00:00Z,32.0,0.342813,a,0.34,10.0,2025-10-20T17:59:50.850606772Z,A,0.34,0.34,0.34,2.0,0.34,2025-10-20T17:59:00Z,20.0,0.34,0.58,0.58,0.58,1.0,0.58,2025-10-14T04:00:00Z,1.0,0.58
BTC251219P00031000,0.73,250,A,0.0,0,?,A,2025-11-19T19:03:13.767519934Z,2025-12-19,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121P00062000,22.8,57,X,20.59,47,X, ,2025-11-19T19:00:27.017133711Z,2025-11-21,62000,,,,,,,16.1,16.1,16.1,1.0,16.1,2025-11-04T05:00:00Z,4.0,16.1,f,16.1,4.0,2025-11-04T15:37:29.616536999Z,I,16.1,16.1,16.1,1.0,16.1,2025-11-04T15:37:00Z,4.0,16.1,,,,,,,,
BTC260618P00047000,11.01,139,B,9.22,381,C,A,2025-11-19T19:02:05.740434578Z,2026-06-18,47000,0.4899,-0.5898,0.0265,-0.1929,-0.0101,0.1166,8.98,8.98,8.98,1.0,8.98,2025-11-14T05:00:00Z,5.0,8.98,g,8.98,5.0,2025-11-14T19:06:10.698141855Z,C,8.98,8.98,8.98,1.0,8.98,2025-11-14T19:06:00Z,5.0,8.98,,,,,,,,
BTC280121P00075000,39.9,14,M,34.3,14,U, ,2025-11-19T19:02:05.73928322Z,2028-01-21,75000,0.5923,-0.5863,0.0113,-1.3084,-0.003,0.2265,26.1,26.44,26.1,3.0,26.44,2025-10-06T04:00:00Z,17.0,26.237059,I,26.1,10.0,2025-10-06T18:37:44.837738433Z,T,26.1,26.1,26.1,1.0,26.1,2025-10-06T18:37:00Z,10.0,26.1,27.95,27.95,27.95,1.0,27.95,2025-10-02T04:00:00Z,10.0,27.95
BTC251219P00068000,29.56,17,Z,27.24,20,E, ,2025-11-19T19:02:59.258971653Z,2025-12-19,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121P00043000,3.84,27,C,3.28,23,U,A,2025-11-19T19:03:15.758805743Z,2025-11-21,43000,0.5434,-0.9831,0.0264,-0.0023,-0.0119,0.0012,3.4,3.4,2.66,3.0,2.67,2025-11-19T05:00:00Z,3.0,2.91,a,3.4,1.0,2025-11-19T18:13:23.782358995Z,X,3.4,3.4,3.4,1.0,3.4,2025-11-19T18:13:00Z,1.0,3.4,1.99,2.81,1.99,9.0,2.5,2025-11-18T05:00:00Z,19.0,2.265263
BTC251219C00043000,1.22,15,U,1.02,12,E, ,2025-11-19T19:00:27.013179195Z,2025-12-19,43000,0.5238,0.316,0.0601,0.0093,-0.0363,0.0402,1.15,1.15,1.15,1.0,1.15,2025-11-19T05:00:00Z,2.0,1.15,I,1.15,2.0,2025-11-19T17:38:44.364066306Z,Z,1.15,1.15,1.15,1.0,1.15,2025-11-19T17:38:00Z,2.0,1.15,1.73,1.75,1.72,5.0,1.72,2025-11-18T05:00:00Z,6.0,1.741667
BTC280121P00051000,20.04,21,S,15.7,16,E,A,2025-11-19T19:03:02.494192171Z,2028-01-21,51000,0.5425,-0.4335,0.0125,-0.7597,-0.0047,0.2287,12.55,12.55,12.55,2.0,12.55,2025-09-22T04:00:00Z,20.0,12.55,f,12.55,10.0,2025-09-22T19:01:37.008018842Z,M,12.55,12.55,12.55,2.0,12.55,2025-09-22T19:01:00Z,20.0,12.55,11.94,11.94,11.94,1.0,11.94,2025-09-16T04:00:00Z,1.0,11.94
BTC260320P00068000,29.69,21,E,26.55,20,B,A,2025-11-19T19:02:10.411566141Z,2026-03-20,68000,0.5848,-0.921,0.0111,-0.2136,-0.0013,0.0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320P00071000,31.8,20,Z,29.9,21,E,A,2025-11-19T19:03:14.39356995Z,2026-03-20,71000,0.5313,-0.958,0.0074,-0.2275,0.0027,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121P00038000,0.52,25,A,0.32,23,U,A,2025-11-19T19:03:14.049872765Z,2025-11-21,38000,0.856,-0.2669,0.1315,-0.0006,-0.2042,0.0096,0.55,1.0,0.55,2.0,1.0,2025-11-19T05:00:00Z,2.0,0.775,g,0.52,1.0,2025-11-19T17:40:33.225130132Z,C,0.55,0.55,0.55,1.0,0.55,2025-11-19T17:40:00Z,1.0,0.55,,,,,,,,
BTC270115P00028000,4.15,13,E,0.68,13,E,A,2025-11-19T19:02:50.173247587Z,2027-01-15,28000,0.5012,-0.1637,0.0116,-0.1025,-0.0054,0.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116C00074000,0.73,301,A,0.0,0,?,A,2025-11-19T19:00:46.347972025Z,2026-01-16,74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115C00070000,4.72,39,A,2.02,21,E,A,2025-11-19T19:03:14.056278121Z,2027-01-15,70000,0.5782,0.2921,0.014,0.0942,-0.0108,0.1456,3.05,3.34,3.05,3.0,3.34,2025-11-19T05:00:00Z,6.0,3.291667,I,3.05,1.0,2025-11-19T17:31:23.296629147Z,Z,3.05,3.05,3.05,1.0,3.05,2025-11-19T17:31:00Z,1.0,3.05,3.24,3.24,2.89,3.0,2.89,2025-11-17T05:00:00Z,6.0,3.161667
BTC260320C00067000,0.83,141,B,0.12,15,E,A,2025-11-19T19:02:59.83842239Z,2026-03-20,67000,0.5892,0.0877,0.0119,0.0099,-0.0091,0.0362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00025000,0.72,498,A,0.07,23,U,A,2025-11-19T19:02:05.740345098Z,2026-01-16,25000,0.8386,-0.0606,0.0091,-0.0044,-0.0134,0.0189,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,I,0.05,1.0,2025-11-19T16:12:50.448840043Z,D,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:12:00Z,1.0,0.05,0.2,0.2,0.2,1.0,0.2,2025-11-18T05:00:00Z,1.0,0.2
BTC260618C00051000,4.019,485,A,2.84,17,U,A,2025-11-19T19:02:48.047190035Z,2026-06-18,51000,0.563,0.3684,0.0223,0.0642,-0.0162,0.1131,8.4,8.4,8.4,1.0,8.4,2025-10-29T04:00:00Z,7.0,8.4,I,8.4,7.0,2025-10-29T14:14:28.520135125Z,B,8.4,8.4,8.4,1.0,8.4,2025-10-29T14:14:00Z,7.0,8.4,,,,,,,,
BTC251121C00065000,0.47,470,A,0.0,0,?,A,2025-11-19T19:02:00.366052457Z,2025-11-21,65000,,,,,,,0.28,0.42,0.25,5.0,0.27,2025-10-21T04:00:00Z,8.0,0.30125,a,0.28,4.0,2025-10-21T18:32:01.216032851Z,M,0.28,0.28,0.28,1.0,0.28,2025-10-21T18:32:00Z,4.0,0.28,0.25,0.25,0.25,1.0,0.25,2025-10-16T04:00:00Z,5.0,0.25
BTC270115P00037000,8.98,18,A,4.55,29,A,A,2025-11-19T19:03:12.093831023Z,2027-01-15,37000,0.541,-0.3193,0.0156,-0.2238,-0.0079,0.1515,6.0,6.0,6.0,1.0,6.0,2025-11-17T05:00:00Z,1.0,6.0,a,6.0,1.0,2025-11-17T18:45:38.545362401Z,X,6.0,6.0,6.0,1.0,6.0,2025-11-17T18:45:00Z,1.0,6.0,4.84,4.84,4.84,1.0,4.84,2025-11-07T05:00:00Z,1.0,4.84
BTC260320P00045000,8.34,217,A,6.56,576,A,A,2025-11-19T19:03:15.538622141Z,2026-03-20,45000,0.4715,-0.6192,0.0356,-0.1057,-0.0135,0.0865,7.0,7.0,7.0,1.0,7.0,2025-11-18T05:00:00Z,1.0,7.0,I,7.0,1.0,2025-11-18T20:58:33.814953763Z,U,7.0,7.0,7.0,1.0,7.0,2025-11-18T20:58:00Z,1.0,7.0,5.9,5.9,5.9,1.0,5.9,2025-11-17T05:00:00Z,1.0,5.9
BTC280121C00062000,10.55,17,X,5.43,16,A,A,2025-11-19T19:03:06.995740658Z,2028-01-21,62000,0.5628,0.4822,0.0122,0.2396,-0.0092,0.2317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00049000,3.85,723,A,1.02,702,X,A,2025-11-19T19:03:04.629159632Z,2026-03-20,49000,0.5849,0.3305,0.0273,0.0351,-0.021,0.0823,2.97,2.97,2.97,1.0,2.97,2025-11-14T05:00:00Z,10.0,2.97,a,2.97,10.0,2025-11-14T14:52:55.160381952Z,X,2.97,2.97,2.97,1.0,2.97,2025-11-14T14:52:00Z,10.0,2.97,3.75,4.17,3.75,2.0,4.17,2025-11-13T05:00:00Z,4.0,3.96
BTC280121C00030000,20.18,10,U,16.94,16,E,A,2025-11-19T19:03:07.448479697Z,2028-01-21,30000,0.6304,0.7984,0.0077,0.2809,-0.0077,0.1635,19.18,20.2,19.18,2.0,20.2,2025-11-17T05:00:00Z,3.0,19.86,a,19.18,1.0,2025-11-17T18:52:40.165361619Z,X,19.18,19.18,19.18,1.0,19.18,2025-11-17T18:52:00Z,1.0,19.18,20.0,20.5,20.0,2.0,20.5,2025-11-14T05:00:00Z,5.0,20.3
BTC280121P00062000,28.76,11,E,23.97,10,B,A,2025-11-19T19:03:04.352967132Z,2028-01-21,62000,0.5664,-0.5155,0.0121,-1.0146,-0.0041,0.2317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618C00060000,2.68,533,A,1.27,222,A,A,2025-11-19T19:03:15.011875214Z,2026-06-18,60000,0.5678,0.24,0.0183,0.0433,-0.0133,0.0932,1.95,1.95,1.95,1.0,1.95,2025-11-17T05:00:00Z,5.0,1.95,I,1.95,5.0,2025-11-17T19:52:59.040313371Z,P,1.95,1.95,1.95,1.0,1.95,2025-11-17T19:52:00Z,5.0,1.95,3.21,3.21,3.21,1.0,3.21,2025-11-04T05:00:00Z,4.0,3.21
BTC260320P00062000,23.01,34,A,20.88,27,E, ,2025-11-19T19:00:27.013855742Z,2026-03-20,62000,0.4227,-0.954,0.0101,-0.1975,0.0024,0.0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00066000,0.92,141,B,0.13,12,E,A,2025-11-19T19:02:29.11132379Z,2026-03-20,66000,0.5901,0.0954,0.0127,0.0107,-0.0097,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00030000,8.26,11,B,3.68,17,E,A,2025-11-19T19:02:05.740296356Z,2028-01-21,30000,0.5643,-0.2031,0.0086,-0.3037,-0.0046,0.1643,5.9,5.9,5.9,1.0,5.9,2025-11-18T05:00:00Z,5.0,5.9,g,5.9,5.0,2025-11-18T14:42:11.059028646Z,C,5.9,5.9,5.9,1.0,5.9,2025-11-18T14:42:00Z,5.0,5.9,3.74,3.74,3.74,1.0,3.74,2025-09-23T04:00:00Z,1.0,3.74
BTC260320P00047000,9.67,10,U,7.99,640,X, ,2025-11-19T19:02:09.917537237Z,2026-03-20,47000,0.4605,-0.6847,0.034,-0.1188,-0.0116,0.0807,7.82,7.82,7.82,1.0,7.82,2025-11-17T05:00:00Z,5.0,7.82,g,7.82,5.0,2025-11-17T15:47:43.895670218Z,C,7.82,7.82,7.82,1.0,7.82,2025-11-17T15:47:00Z,5.0,7.82,5.7,5.7,5.7,1.0,5.7,2025-11-10T05:00:00Z,1.0,5.7
BTC270115P00075000,37.31,12,E,33.48,12,E,A,2025-11-19T19:02:53.11088888Z,2027-01-15,75000,0.5741,-0.7478,0.0131,-0.7502,-0.003,0.1354,27.25,27.25,27.25,1.0,27.25,2025-08-01T04:00:00Z,5.0,27.25,f,27.25,5.0,2025-08-01T16:10:29.502479723Z,M,27.25,27.25,27.25,1.0,27.25,2025-08-01T16:10:00Z,5.0,27.25,25.55,25.55,25.55,2.0,25.55,2025-07-28T04:00:00Z,5.0,25.55
BTC270115P00068000,30.9,12,E,26.62,12,E,A,2025-11-19T19:03:07.648947975Z,2027-01-15,68000,0.5273,-0.7279,0.0148,-0.6644,-0.0033,0.1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618C00070000,3.08,432,A,0.0,0,?,A,2025-11-19T19:02:02.024417073Z,2026-06-18,70000,,,,,,,2.04,2.04,2.04,1.0,2.04,2025-11-04T05:00:00Z,6.0,2.04,f,2.04,6.0,2025-11-04T15:29:24.142567483Z,C,2.04,2.04,2.04,1.0,2.04,2025-11-04T15:29:00Z,6.0,2.04,,,,,,,,
BTC260320P00061000,21.66,8,U,20.08,28,E, ,2025-11-19T19:00:27.013855742Z,2026-03-20,61000,0.3623,-0.9729,0.0076,-0.1964,0.0041,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00059000,26.33,11,E,21.34,13,A,A,2025-11-19T19:02:33.025910471Z,2028-01-21,59000,0.5538,-0.4992,0.0124,-0.9456,-0.0042,0.2319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121P00045000,16.42,3,A,11.52,13,A,A,2025-11-19T19:03:12.169872236Z,2028-01-21,45000,0.5456,-0.3719,0.0119,-0.6222,-0.005,0.2199,9.4,9.4,9.4,1.0,9.4,2025-09-22T04:00:00Z,2.0,9.4,I,9.4,2.0,2025-09-22T17:10:52.183830047Z,I,9.4,9.4,9.4,1.0,9.4,2025-09-22T17:10:00Z,2.0,9.4,8.7,8.7,8.7,1.0,8.7,2025-09-19T04:00:00Z,2.0,8.7
BTC260618P00035000,4.07,19,U,3.24,195,A,A,2025-11-19T19:03:05.719331085Z,2026-06-18,35000,0.5312,-0.2909,0.0215,-0.0874,-0.0114,0.1028,3.6,3.6,3.5,3.0,3.5,2025-11-19T05:00:00Z,5.0,3.54,I,3.6,2.0,2025-11-19T15:53:39.995725026Z,I,3.6,3.6,3.5,2.0,3.5,2025-11-19T15:53:00Z,3.0,3.566667,3.3,3.3,3.26,4.0,3.26,2025-11-18T05:00:00Z,6.0,3.28
BTC251219C00044000,0.93,11,U,0.78,16,E,A,2025-11-19T19:03:13.334894428Z,2025-12-19,44000,0.5169,0.2603,0.0555,0.0077,-0.0326,0.0367,0.81,0.9,0.81,2.0,0.9,2025-11-19T05:00:00Z,2.0,0.855,g,0.81,1.0,2025-11-19T18:32:24.403201034Z,C,0.81,0.81,0.81,1.0,0.81,2025-11-19T18:32:00Z,1.0,0.81,1.42,1.42,1.2,10.0,1.2,2025-11-18T05:00:00Z,22.0,1.369091
BTC251219P00059000,21.59,19,Z,17.72,19,Z, ,2025-11-19T19:00:00.256445703Z,2025-12-19,59000,0.8763,-0.9285,0.0138,-0.0463,-0.0165,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618P00054000,16.57,26,E,14.4,47,B,A,2025-11-19T19:02:48.001009815Z,2026-06-18,54000,0.4898,-0.7257,0.0227,-0.255,-0.0071,0.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00058000,19.47,35,B,16.91,35,B,A,2025-11-19T19:01:04.834947236Z,2026-01-16,58000,,,,,,,9.72,9.72,9.72,2.0,9.72,2025-09-08T04:00:00Z,3.0,9.72,g,9.72,2.0,2025-09-08T15:06:24.005804194Z,C,9.72,9.72,9.72,2.0,9.72,2025-09-08T15:06:00Z,3.0,9.72,10.68,10.68,10.68,1.0,10.68,2025-09-04T04:00:00Z,3.0,10.68
