symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260116C00064000,1.77,1.77,1.65,2.0,1.65,2025-10-13T04:00:00Z,2.0,1.71,0.73,319,A,0.0,0,?,A,2025-12-08T14:48:52.909575399Z,f,1.77,1.0,2025-10-13T18:37:55.117590789Z,I,1.77,1.77,1.77,1.0,1.77,2025-10-13T18:37:00Z,1.0,1.77,3.01,3.01,3.01,1.0,3.01,2025-10-06T04:00:00Z,1.0,3.01,2026-01-16,64000,,,,,,
BTC260618C00020000,,,,,,,,,22.78,365,X,20.04,75,A,A,2025-12-08T14:49:20.925196742Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,20000,0.7468,0.9457,0.005,0.0883,-0.008,0.0323
BTC260618C00048000,3.8,3.8,3.8,1.0,3.8,2025-12-04T05:00:00Z,1.0,3.8,4.07,28,B,2.94,187,A,A,2025-12-08T14:49:05.58022904Z,I,3.8,1.0,2025-12-04T17:13:20.360170386Z,I,3.8,3.8,3.8,1.0,3.8,2025-12-04T17:13:00Z,1.0,3.8,3.4,3.4,3.4,1.0,3.4,2025-12-02T05:00:00Z,1.0,3.4,2026-06-18,48000,0.5008,0.4051,0.0264,0.0677,-0.0161,0.1136
BTC260618C00025000,17.1,17.1,17.1,1.0,17.1,2025-12-05T05:00:00Z,3.0,17.1,18.39,313,A,15.68,339,A,A,2025-12-08T14:49:11.684639437Z,I,17.1,3.0,2025-12-05T15:02:56.146082543Z,T,17.1,17.1,17.1,1.0,17.1,2025-12-05T15:02:00Z,3.0,17.1,14.9,14.9,14.7,5.0,14.7,2025-11-21T05:00:00Z,6.0,14.85,2026-06-18,25000,0.6648,0.8991,0.0091,0.1015,-0.0109,0.0518
BTC260320P00038000,,,,,,,,,3.45,143,N,2.23,202,A,A,2025-12-08T14:49:24.96545663Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,38000,0.4984,-0.3432,0.0345,-0.0467,-0.0175,0.0785
BTC260618C00051000,3.0,3.17,2.96,5.0,2.96,2025-12-02T05:00:00Z,19.0,3.081053,3.38,28,B,2.23,76,A,A,2025-12-08T14:48:52.569133523Z,a,3.0,1.0,2025-12-02T18:55:28.877212328Z,J,3.0,3.0,3.0,1.0,3.0,2025-12-02T18:55:00Z,1.0,3.0,8.4,8.4,8.4,1.0,8.4,2025-10-29T04:00:00Z,7.0,8.4,2026-06-18,51000,0.503,0.3432,0.0249,0.0582,-0.0152,0.1078
BTC270115P00069000,,,,,,,,,30.95,7,P,28.22,5,U, ,2025-12-08T14:48:52.910538274Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,69000,0.5777,-0.697,0.0142,-0.6375,-0.0052,0.1483
BTC260116C00075000,0.55,0.55,0.55,1.0,0.55,2025-11-13T05:00:00Z,1.0,0.55,0.77,320,A,0.0,0,?,A,2025-12-08T14:48:52.909620345Z,I,0.55,1.0,2025-11-13T18:52:44.758002008Z,B,0.55,0.55,0.55,1.0,0.55,2025-11-13T18:52:00Z,1.0,0.55,0.37,0.37,0.37,1.0,0.37,2025-11-07T05:00:00Z,10.0,0.37,2026-01-16,75000,,,,,,
BTC280121C00065000,8.25,8.25,8.25,1.0,8.25,2025-11-17T05:00:00Z,4.0,8.25,9.24,6,A,5.46,7,B, ,2025-12-08T14:48:52.908618504Z,a,8.25,4.0,2025-11-17T15:20:45.129368923Z,X,8.25,8.25,8.25,1.0,8.25,2025-11-17T15:20:00Z,4.0,8.25,10.5,10.5,10.5,1.0,10.5,2025-11-04T05:00:00Z,1.0,10.5,2028-01-21,65000,0.5457,0.455,0.0123,0.2339,-0.0092,0.2332
BTC260320C00050000,1.58,1.65,1.58,2.0,1.65,2025-12-04T05:00:00Z,5.0,1.594,2.95,458,A,1.02,20,B,A,2025-12-08T14:49:26.084195452Z,g,1.58,4.0,2025-12-04T15:22:53.4441938Z,C,1.58,1.58,1.58,1.0,1.58,2025-12-04T15:22:00Z,4.0,1.58,1.79,1.79,1.75,2.0,1.75,2025-12-02T05:00:00Z,2.0,1.77,2026-03-20,50000,0.5677,0.2996,0.0287,0.0283,-0.0217,0.0742
