symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC260618P00050000,8.32,8.32,8.32,1.0,8.32,2025-11-03T05:00:00Z,1.0,8.32,13.52,53,N,10.92,358,X,A,2025-11-19T19:04:46.802367435Z,g,8.32,1.0,2025-11-03T15:56:57.37451759Z,A,8.32,8.32,8.32,1.0,8.32,2025-11-03T15:56:00Z,1.0,8.32,2026-06-18,50000,0.4816,-0.6572,0.0254,-0.2206,-0.0087,0.1103,8.86,8.86,8.86,1.0,8.86,2025-10-23T04:00:00Z,1.0,8.86
BTC251219C00070000,0.3,0.3,0.3,1.0,0.3,2025-10-30T04:00:00Z,48.0,0.3,0.73,307,A,0.0,0,?,A,2025-11-19T19:02:16.266121824Z,I,0.3,48.0,2025-10-30T13:30:28.504862548Z,U,0.3,0.3,0.3,1.0,0.3,2025-10-30T13:30:00Z,48.0,0.3,2025-12-19,70000,,,,,,,1.06,1.06,1.06,1.0,1.06,2025-10-06T04:00:00Z,3.0,1.06
BTC260116C00062000,1.26,1.26,1.26,1.0,1.26,2025-10-20T04:00:00Z,1.0,1.26,0.77,405,X,0.0,0,?, ,2025-11-19T19:01:42.77189087Z,g,1.26,1.0,2025-10-20T18:48:42.523441326Z,C,1.26,1.26,1.26,1.0,1.26,2025-10-20T18:48:00Z,1.0,1.26,2026-01-16,62000,,,,,,,1.5,1.5,1.5,1.0,1.5,2025-10-16T04:00:00Z,1.0,1.5
BTC251121C00047000,0.05,0.05,0.05,3.0,0.05,2025-11-19T05:00:00Z,4.0,0.05,0.03,4,Q,0.0,0,?,A,2025-11-19T18:59:55.509016719Z,I,0.03,1.0,2025-11-19T16:57:37.510454296Z,Q,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:57:00Z,1.0,0.05,2025-11-21,47000,,,,,,,0.02,0.05,0.02,2.0,0.05,2025-11-18T05:00:00Z,8.0,0.03875
BTC251219C00041000,1.83,2.46,1.8,21.0,2.46,2025-11-19T05:00:00Z,43.0,2.079767,1.97,18,U,1.53,20,E,A,2025-11-19T19:03:54.961131539Z,a,1.83,1.0,2025-11-19T17:42:38.599360004Z,X,1.83,1.83,1.83,1.0,1.83,2025-11-19T17:42:00Z,1.0,1.83,2025-12-19,41000,0.5204,0.4363,0.0669,0.0127,-0.0403,0.0446,2.66,2.85,2.62,4.0,2.85,2025-11-18T05:00:00Z,5.0,2.698
BTC251219C00036000,19.16,19.16,19.16,1.0,19.16,2025-08-13T04:00:00Z,3.0,19.16,6.06,653,X,4.48,23,U, ,2025-11-19T19:04:59.878067671Z,a,19.16,3.0,2025-08-13T17:27:52.895386662Z,I,19.16,19.16,19.16,1.0,19.16,2025-08-13T17:27:00Z,3.0,19.16,2025-12-19,36000,0.7366,0.7107,0.041,0.0187,-0.0499,0.0387,12.85,12.85,12.85,1.0,12.85,2025-05-08T04:00:00Z,2.0,12.85
BTC251121P00045000,5.7,5.7,4.65,6.0,4.67,2025-11-19T05:00:00Z,6.0,5.171667,5.78,27,U,4.64,88,A,A,2025-11-19T19:04:46.465171433Z,I,5.7,1.0,2025-11-19T18:34:04.027469799Z,N,5.7,5.7,5.7,1.0,5.7,2025-11-19T18:34:00Z,1.0,5.7,2025-11-21,45000,,,,,,,3.9,4.31,3.6,9.0,4.31,2025-11-18T05:00:00Z,16.0,4.045625
BTC260320P00041000,4.9,4.9,4.9,1.0,4.9,2025-11-17T05:00:00Z,1.0,4.9,5.68,15,E,4.13,648,X,A,2025-11-19T19:03:58.814450244Z,I,4.9,1.0,2025-11-17T19:37:13.087077899Z,J,4.9,4.9,4.9,1.0,4.9,2025-11-17T19:37:00Z,1.0,4.9,2026-03-20,41000,0.478,-0.4822,0.0367,-0.0793,-0.0154,0.0905,3.28,3.28,3.08,2.0,3.08,2025-11-04T05:00:00Z,10.0,3.18
BTC280121C00056000,10.15,10.15,10.1,2.0,10.1,2025-11-17T05:00:00Z,3.0,10.133333,11.57,15,B,6.91,11,E,A,2025-11-19T19:04:31.648368Z,I,10.15,2.0,2025-11-17T18:02:11.01919209Z,Q,10.15,10.15,10.15,1.0,10.15,2025-11-17T18:02:00Z,2.0,10.15,2028-01-21,56000,0.5661,0.5331,0.0121,0.2563,-0.0093,0.2312,,,,,,,,
BTC260116P00045000,6.57,6.57,6.0,2.0,6.0,2025-11-19T05:00:00Z,7.0,6.407143,7.12,26,U,5.91,529,A,A,2025-11-19T19:04:24.608958187Z,f,6.57,5.0,2025-11-19T17:52:10.601141895Z,M,6.57,6.57,6.57,1.0,6.57,2025-11-19T17:52:00Z,5.0,6.57,2026-01-16,45000,0.483,-0.7102,0.045,-0.0549,-0.0187,0.0538,5.33,5.33,4.99,3.0,5.0,2025-11-17T05:00:00Z,16.0,5.0175
