symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC260116P00025000,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,0.72,498,A,0.07,23,U,A,2025-11-19T19:02:05.740345098Z,I,0.05,1.0,2025-11-19T16:12:50.448840043Z,D,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:12:00Z,1.0,0.05,2026-01-16,25000,0.8393,-0.0606,0.0091,-0.0044,-0.0134,0.0189,0.2,0.2,0.2,1.0,0.2,2025-11-18T05:00:00Z,1.0,0.2
BTC260116C00075000,0.55,0.55,0.55,1.0,0.55,2025-11-13T05:00:00Z,1.0,0.55,0.77,316,A,0.03,37,U,A,2025-11-19T19:02:05.74036936Z,I,0.55,1.0,2025-11-13T18:52:44.758002008Z,B,0.55,0.55,0.55,1.0,0.55,2025-11-13T18:52:00Z,1.0,0.55,2026-01-16,75000,,,,,,,0.37,0.37,0.37,1.0,0.37,2025-11-07T05:00:00Z,10.0,0.37
BTC260116C00063000,0.64,0.64,0.64,1.0,0.64,2025-11-05T05:00:00Z,1.0,0.64,0.77,300,A,0.0,0,?,A,2025-11-19T19:04:02.311049367Z,a,0.64,1.0,2025-11-05T20:13:44.271360995Z,X,0.64,0.64,0.64,1.0,0.64,2025-11-05T20:13:00Z,1.0,0.64,2026-01-16,63000,,,,,,,1.95,1.95,1.95,1.0,1.95,2025-10-14T04:00:00Z,1.0,1.95
BTC260618C00070000,2.04,2.04,2.04,1.0,2.04,2025-11-04T05:00:00Z,6.0,2.04,3.13,431,A,0.0,0,?,A,2025-11-19T19:04:56.503617047Z,f,2.04,6.0,2025-11-04T15:29:24.142567483Z,C,2.04,2.04,2.04,1.0,2.04,2025-11-04T15:29:00Z,6.0,2.04,2026-06-18,70000,,,,,,,,,,,,,,
BTC260116C00061000,0.15,0.15,0.15,1.0,0.15,2025-11-19T05:00:00Z,5.0,0.15,0.52,13,M,0.13,19,U, ,2025-11-19T19:01:42.759626516Z,I,0.15,5.0,2025-11-19T14:49:37.005168862Z,U,0.15,0.15,0.15,1.0,0.15,2025-11-19T14:49:00Z,5.0,0.15,2026-01-16,61000,0.6833,0.0749,0.0132,0.0042,-0.0134,0.0222,0.57,0.57,0.57,2.0,0.57,2025-11-12T05:00:00Z,91.0,0.57
BTC270115P00060000,18.89,18.89,18.89,1.0,18.89,2025-11-06T05:00:00Z,1.0,18.89,25.24,12,S,19.61,12,E,A,2025-11-19T19:04:28.717087103Z,g,18.89,1.0,2025-11-06T15:20:15.288428062Z,C,18.89,18.89,18.89,1.0,18.89,2025-11-06T15:20:00Z,1.0,18.89,2027-01-15,60000,0.5437,-0.6391,0.0162,-0.5508,-0.0057,0.1589,19.07,19.07,18.82,2.0,18.82,2025-10-17T04:00:00Z,2.0,18.945
BTC270115P00039000,6.13,6.13,5.5,2.0,5.5,2025-11-04T05:00:00Z,2.0,5.815,8.54,15,U,5.88,14,E, ,2025-11-19T19:00:27.015675345Z,a,6.13,1.0,2025-11-04T17:13:44.553372565Z,X,6.13,6.13,6.13,1.0,6.13,2025-11-04T17:13:00Z,1.0,6.13,2027-01-15,39000,0.5011,-0.3573,0.0175,-0.2464,-0.0074,0.1583,6.9,6.9,6.9,1.0,6.9,2025-10-17T04:00:00Z,1.0,6.9
BTC260320P00061000,,,,,,,,,21.66,8,U,20.08,28,E, ,2025-11-19T19:00:27.013855742Z,,,,,,,,,,,,,,2026-03-20,61000,0.375,-0.9679,0.0084,-0.1958,0.0037,0.0163,,,,,,,,
BTC270115P00026000,,,,,,,,,5.09,31,U,0.18,20,E,A,2025-11-19T19:04:58.568170808Z,,,,,,,,,,,,,,2027-01-15,26000,0.5865,-0.1491,0.0093,-0.0985,-0.006,0.0985,,,,,,,,
BTC270115C00080000,2.55,2.55,2.4,2.0,2.4,2025-11-18T05:00:00Z,30.0,2.53,3.92,36,A,2.02,18,U,A,2025-11-19T19:04:39.098679341Z,a,2.55,26.0,2025-11-18T16:28:55.484373135Z,X,2.55,2.55,2.4,2.0,2.4,2025-11-18T16:28:00Z,30.0,2.53,2027-01-15,80000,0.6212,0.2534,0.0121,0.0812,-0.0107,0.1358,2.5,2.5,2.5,2.0,2.5,2025-11-17T05:00:00Z,3.0,2.5
BTC251219C00075000,0.2,0.2,0.2,1.0,0.2,2025-11-13T05:00:00Z,1.0,0.2,0.73,298,A,0.0,0,?,A,2025-11-19T19:00:45.208985284Z,I,0.18,1.0,2025-11-13T18:52:10.333268615Z,P,0.2,0.2,0.2,1.0,0.2,2025-11-13T18:52:00Z,1.0,0.2,2025-12-19,75000,,,,,,,0.21,0.21,0.21,1.0,0.21,2025-10-30T04:00:00Z,5.0,0.21
BTC280121P00048000,13.6,13.6,13.6,1.0,13.6,2025-10-22T04:00:00Z,2.0,13.6,18.33,3,A,13.36,12,E,A,2025-11-19T19:04:55.870376171Z,I,13.6,2.0,2025-10-22T16:06:50.110911821Z,I,13.6,13.6,13.6,1.0,13.6,2025-10-22T16:06:00Z,2.0,13.6,2028-01-21,48000,0.5427,-0.4035,0.0123,-0.6902,-0.0048,0.2252,,,,,,,,
BTC260320C00071000,0.45,0.45,0.45,1.0,0.45,2025-11-14T05:00:00Z,1.0,0.45,0.73,197,A,0.0,0,?,A,2025-11-19T19:04:38.539530053Z,I,0.45,1.0,2025-11-14T18:43:15.600302704Z,C,0.45,0.45,0.45,1.0,0.45,2025-11-14T18:43:00Z,1.0,0.45,2026-03-20,71000,,,,,,,,,,,,,,
BTC270115C00065000,3.88,3.88,3.88,1.0,3.88,2025-11-19T05:00:00Z,10.0,3.88,4.33,25,E,3.36,16,E,A,2025-11-19T19:04:56.966583927Z,I,3.88,10.0,2025-11-19T15:53:29.237296042Z,Z,3.88,3.88,3.88,1.0,3.88,2025-11-19T15:53:00Z,10.0,3.88,2027-01-15,65000,0.567,0.327,0.015,0.1048,-0.0111,0.1531,4.7,4.7,4.7,1.0,4.7,2025-11-17T05:00:00Z,1.0,4.7
BTC260116C00056000,0.5,0.7,0.4,3.0,0.4,2025-11-18T05:00:00Z,11.0,0.581818,0.73,273,A,0.0,0,?,A,2025-11-19T19:04:37.683963474Z,f,0.5,5.0,2025-11-18T18:29:02.518903821Z,M,0.5,0.5,0.5,1.0,0.5,2025-11-18T18:29:00Z,5.0,0.5,2026-01-16,56000,,,,,,,0.25,0.25,0.25,1.0,0.25,2025-11-17T05:00:00Z,4.0,0.25
BTC251121C00056000,0.02,0.02,0.02,1.0,0.02,2025-11-17T05:00:00Z,8.0,0.02,0.77,375,X,0.0,0,?, ,2025-11-19T19:01:42.772010715Z,a,0.02,8.0,2025-11-17T20:03:36.027364382Z,X,0.02,0.02,0.02,1.0,0.02,2025-11-17T20:03:00Z,8.0,0.02,2025-11-21,56000,,,,,,,0.19,0.35,0.15,3.0,0.35,2025-11-03T05:00:00Z,3.0,0.23
BTC251219P00066000,,,,,,,,,27.01,14,Z,24.72,20,B, ,2025-11-19T19:00:05.195792414Z,,,,,,,,,,,,,,2025-12-19,66000,,,,,,,,,,,,,,
BTC260618P00042000,7.09,7.09,7.09,1.0,7.09,2025-11-19T05:00:00Z,1.0,7.09,9.07,577,X,5.85,566,X, ,2025-11-19T19:01:42.771369439Z,g,7.09,1.0,2025-11-19T18:14:44.831107005Z,C,7.09,7.09,7.09,1.0,7.09,2025-11-19T18:14:00Z,1.0,7.09,2026-06-18,42000,0.5444,-0.4569,0.0243,-0.1474,-0.0128,0.119,,,,,,,,
BTC260618P00070000,,,,,,,,,30.82,34,A,28.96,32,B,A,2025-11-19T19:04:57.143799705Z,,,,,,,,,,,,,,2026-06-18,70000,0.5346,-0.8758,0.0128,-0.3726,-0.0012,0.0615,,,,,,,,
BTC251219P00051000,4.3,4.3,4.3,1.0,4.3,2025-10-29T04:00:00Z,1.0,4.3,12.13,40,C,9.96,35,B,A,2025-11-19T19:04:33.953341501Z,I,4.3,1.0,2025-10-29T19:30:37.915597166Z,U,4.3,4.3,4.3,1.0,4.3,2025-10-29T19:30:00Z,1.0,4.3,2025-12-19,51000,,,,,,,3.4,3.4,3.4,1.0,3.4,2025-10-27T04:00:00Z,1.0,3.4
BTC260320P00066000,,,,,,,,,26.65,34,X,24.62,28,Z, ,2025-11-19T19:00:27.016482561Z,,,,,,,,,,,,,,2026-03-20,66000,,,,,,,,,,,,,,
BTC251219P00065000,15.22,15.22,15.22,1.0,15.22,2025-09-23T04:00:00Z,1.0,15.22,26.16,13,Z,24.07,20,B, ,2025-11-19T19:00:05.195792414Z,n,15.31,1.0,2025-09-23T13:30:01.650949672Z,C,15.22,15.22,15.22,1.0,15.22,2025-09-23T13:30:00Z,1.0,15.22,2025-12-19,65000,,,,,,,,,,,,,,
BTC280121C00050000,10.1,10.75,10.1,3.0,10.75,2025-11-19T05:00:00Z,9.0,10.606667,13.13,16,A,10.03,13,E,A,2025-11-19T19:04:45.74370148Z,I,10.43,1.0,2025-11-19T18:26:05.527762628Z,E,10.1,10.1,10.1,1.0,10.1,2025-11-19T18:26:00Z,1.0,10.1,2028-01-21,50000,0.6087,0.6042,0.0109,0.2664,-0.0097,0.2241,11.39,11.54,11.39,2.0,11.54,2025-11-18T05:00:00Z,8.0,11.5025
BTC270115P00055000,14.0,14.0,14.0,1.0,14.0,2025-10-14T04:00:00Z,2.0,14.0,20.15,13,E,15.97,14,A, ,2025-11-19T19:00:27.012923967Z,I,14.0,2.0,2025-10-14T13:30:16.95140531Z,A,14.0,14.0,14.0,1.0,14.0,2025-10-14T13:30:00Z,2.0,14.0,2027-01-15,55000,0.514,-0.5994,0.0177,-0.4823,-0.006,0.164,11.7,11.7,11.7,1.0,11.7,2025-10-08T04:00:00Z,1.0,11.7
BTC260116P00040000,3.65,3.65,3.2,2.0,3.2,2025-11-19T05:00:00Z,11.0,3.240909,3.93,240,A,3.15,209,A,A,2025-11-19T19:04:35.507349363Z,f,3.65,1.0,2025-11-19T17:02:30.661974986Z,W,3.65,3.65,3.65,1.0,3.65,2025-11-19T17:02:00Z,1.0,3.65,2026-01-16,40000,0.5395,-0.4708,0.0469,-0.0351,-0.0267,0.0626,2.6,3.2,2.55,16.0,3.0,2025-11-18T05:00:00Z,69.0,2.765942
BTC270115P00066000,,,,,,,,,28.82,12,U,25.3,15,U, ,2025-11-19T19:01:02.322527251Z,,,,,,,,,,,,,,2027-01-15,66000,0.5269,-0.7101,0.0153,-0.6368,-0.0038,0.1452,,,,,,,,
BTC260618P00058000,,,,,,,,,19.74,32,A,17.52,30,E, ,2025-11-19T19:00:27.017565368Z,,,,,,,,,,,,,,2026-06-18,58000,0.467,-0.8014,0.0199,-0.2905,-0.0041,0.0836,,,,,,,,
BTC260320C00041000,4.8,4.8,4.8,1.0,4.8,2025-11-19T05:00:00Z,2.0,4.8,5.66,613,A,2.88,697,A,A,2025-11-19T19:04:51.093873416Z,I,4.8,2.0,2025-11-19T14:33:11.525947718Z,U,4.8,4.8,4.8,1.0,4.8,2025-11-19T14:33:00Z,2.0,4.8,2026-03-20,41000,0.5209,0.5258,0.0336,0.0546,-0.0212,0.0904,5.35,5.4,4.94,5.0,4.94,2025-11-18T05:00:00Z,6.0,5.221667
BTC260116P00056000,6.06,6.06,6.06,2.0,6.06,2025-10-08T04:00:00Z,5.0,6.06,16.88,32,A,14.71,28,Z, ,2025-11-19T19:00:27.013881175Z,a,6.06,2.0,2025-10-08T14:07:01.632388376Z,B,6.06,6.06,6.06,2.0,6.06,2025-10-08T14:07:00Z,5.0,6.06,2026-01-16,56000,,,,,,,6.06,6.06,6.06,1.0,6.06,2025-10-07T04:00:00Z,3.0,6.06
BTC270115C00063000,,,,,,,,,6.54,24,S,1.67,11,E,A,2025-11-19T19:04:16.87325966Z,,,,,,,,,,,,,,2027-01-15,63000,0.565,0.3445,0.0154,0.1097,-0.0114,0.1562,,,,,,,,
BTC260116P00070000,28.25,28.25,28.25,2.0,28.25,2025-11-17T05:00:00Z,10.0,28.25,31.58,17,Z,28.89,20,Z, ,2025-11-19T18:52:53.694122911Z,g,28.25,5.0,2025-11-17T16:44:04.365872224Z,C,28.25,28.25,28.25,2.0,28.25,2025-11-17T16:44:00Z,10.0,28.25,2026-01-16,70000,0.7132,-0.968,0.0064,-0.1087,0.0004,0.0113,18.8,18.85,18.75,11.0,18.8,2025-07-21T04:00:00Z,120.0,18.81025
BTC280121C00054000,14.0,14.0,14.0,1.0,14.0,2025-10-16T04:00:00Z,8.0,14.0,11.79,15,S,7.02,11,E,A,2025-11-19T19:04:59.179623039Z,e,14.0,8.0,2025-10-16T19:54:12.418494959Z,B,14.0,14.0,14.0,1.0,14.0,2025-10-16T19:54:00Z,8.0,14.0,2028-01-21,54000,0.5544,0.5446,0.0123,0.2626,-0.0091,0.2306,18.9,18.9,18.9,2.0,18.9,2025-10-09T04:00:00Z,10.0,18.9
BTC260320C00054000,1.75,1.75,1.75,1.0,1.75,2025-11-18T05:00:00Z,10.0,1.75,1.73,241,A,0.98,22,U,A,2025-11-19T19:04:51.145922276Z,e,1.75,10.0,2025-11-18T19:41:48.853714877Z,B,1.75,1.75,1.75,1.0,1.75,2025-11-18T19:41:00Z,10.0,1.75,2026-03-20,54000,0.5555,0.2174,0.0233,0.0239,-0.0161,0.0668,1.8,1.85,1.8,3.0,1.85,2025-11-14T05:00:00Z,3.0,1.816667
BTC270115P00070000,20.97,20.97,20.97,1.0,20.97,2025-10-06T04:00:00Z,1.0,20.97,32.98,11,U,29.24,16,E,A,2025-11-19T19:03:55.38998356Z,g,20.97,1.0,2025-10-06T16:43:07.871746488Z,C,20.97,20.97,20.97,1.0,20.97,2025-10-06T16:43:00Z,1.0,20.97,2027-01-15,70000,0.5745,-0.7103,0.014,-0.6837,-0.0043,0.1452,22.1,22.1,22.1,1.0,22.1,2025-08-14T04:00:00Z,1.0,22.1
BTC280121P00058000,,,,,,,,,25.75,8,E,21.13,13,U,A,2025-11-19T19:03:55.128094448Z,,,,,,,,,,,,,,2028-01-21,58000,0.5688,-0.4821,0.012,-0.9225,-0.0045,0.2318,,,,,,,,
BTC280121P00035000,7.6,7.6,7.6,1.0,7.6,2025-11-17T05:00:00Z,50.0,7.6,10.32,3,A,6.05,11,E,A,2025-11-19T19:04:58.903344631Z,a,7.6,50.0,2025-11-17T17:49:55.119371466Z,X,7.6,7.6,7.6,1.0,7.6,2025-11-17T17:49:00Z,50.0,7.6,2028-01-21,35000,0.5492,-0.2607,0.0102,-0.4014,-0.0049,0.1889,5.0,5.0,5.0,1.0,5.0,2025-09-23T04:00:00Z,1.0,5.0
BTC260618C00044000,,,,,,,,,5.88,338,A,4.56,130,B, ,2025-11-19T19:04:11.406272948Z,,,,,,,,,,,,,,2026-06-18,44000,0.5535,0.5011,0.024,0.0841,-0.0172,0.1197,,,,,,,,
BTC251219P00030000,0.2,0.2,0.2,1.0,0.2,2025-11-19T05:00:00Z,1.0,0.2,0.52,35,E,0.0,0,?, ,2025-11-19T19:01:06.05886683Z,a,0.2,1.0,2025-11-19T16:13:20.502352886Z,X,0.2,0.2,0.2,1.0,0.2,2025-11-19T16:13:00Z,1.0,0.2,2025-12-19,30000,,,,,,,1.82,1.82,1.82,1.0,1.82,2025-08-07T04:00:00Z,1.0,1.82
BTC251219C00057000,0.18,0.18,0.18,1.0,0.18,2025-11-13T05:00:00Z,1.0,0.18,0.62,240,B,0.0,0,?,A,2025-11-19T19:00:27.247413394Z,a,0.18,1.0,2025-11-13T18:56:01.875362194Z,X,0.18,0.18,0.18,1.0,0.18,2025-11-13T18:56:00Z,1.0,0.18,2025-12-19,57000,,,,,,,0.38,0.38,0.38,1.0,0.38,2025-11-11T05:00:00Z,4.0,0.38
BTC260116C00066000,,,,,,,,,0.77,311,A,0.0,0,?,A,2025-11-19T19:00:41.42714474Z,,,,,,,,,,,,,,2026-01-16,66000,,,,,,,,,,,,,,
BTC270115P00056000,,,,,,,,,20.12,14,E,17.31,12,E, ,2025-11-19T19:00:27.015675345Z,,,,,,,,,,,,,,2027-01-15,56000,0.5073,-0.6162,0.0177,-0.4975,-0.0057,0.162,,,,,,,,
BTC251219P00064000,21.12,21.12,21.12,1.0,21.12,2025-11-14T05:00:00Z,1.0,21.12,25.4,18,Z,22.68,20,B, ,2025-11-19T19:00:05.195792414Z,n,21.12,1.0,2025-11-14T15:39:18.883687798Z,I,21.12,21.12,21.12,1.0,21.12,2025-11-14T15:39:00Z,1.0,21.12,2025-12-19,64000,,,,,,,13.26,13.26,13.26,1.0,13.26,2025-08-14T04:00:00Z,1.0,13.26
BTC280121C00075000,6.64,6.64,6.64,1.0,6.64,2025-11-17T05:00:00Z,1.0,6.64,8.34,25,A,3.95,22,A,B,2025-11-19T19:04:58.965858662Z,a,6.64,1.0,2025-11-17T15:19:02.728366159Z,X,6.64,6.64,6.64,1.0,6.64,2025-11-17T15:19:00Z,1.0,6.64,2028-01-21,75000,0.5671,0.3955,0.0117,0.2055,-0.0089,0.224,8.45,8.45,8.45,1.0,8.45,2025-11-12T05:00:00Z,3.0,8.45
BTC280121C00040000,14.45,14.45,14.45,1.0,14.45,2025-11-19T05:00:00Z,1.0,14.45,15.89,12,U,11.98,25,E,A,2025-11-19T19:03:36.311248325Z,g,14.45,1.0,2025-11-19T15:13:07.179006727Z,C,14.45,14.45,14.45,1.0,14.45,2025-11-19T15:13:00Z,1.0,14.45,2028-01-21,40000,0.5852,0.6909,0.0104,0.2895,-0.0088,0.2049,14.4,14.4,14.4,1.0,14.4,2025-11-18T05:00:00Z,5.0,14.4
BTC270115C00042000,10.2,10.2,9.84,2.0,9.84,2025-11-18T05:00:00Z,3.0,10.08,10.73,24,E,8.48,15,E,A,2025-11-19T19:04:17.481679805Z,I,10.07,2.0,2025-11-18T16:07:22.422495327Z,P,10.2,10.2,10.2,1.0,10.2,2025-11-18T16:07:00Z,2.0,10.2,2027-01-15,42000,0.5968,0.6126,0.0151,0.1684,-0.0129,0.1625,9.5,10.19,9.5,2.0,10.19,2025-11-17T05:00:00Z,3.0,9.73
BTC260116P00074000,,,,,,,,,35.74,15,Z,32.72,20,B,A,2025-11-19T19:05:00.290954756Z,,,,,,,,,,,,,,2026-01-16,74000,0.7861,-0.9664,0.006,-0.115,-0.0002,0.0118,,,,,,,,
BTC280121C00043000,14.8,15.2,14.8,3.0,15.06,2025-11-14T05:00:00Z,3.0,15.02,15.19,7,P,10.47,13,E,A,2025-11-19T19:04:23.412404503Z,I,14.8,1.0,2025-11-14T17:31:20.491397179Z,U,14.8,15.2,14.8,2.0,15.2,2025-11-14T17:31:00Z,2.0,15.0,2028-01-21,43000,0.5782,0.6588,0.0109,0.286,-0.009,0.2134,18.2,18.2,18.2,1.0,18.2,2025-10-17T04:00:00Z,3.0,18.2
BTC270115P00067000,,,,,,,,,30.52,12,E,26.87,11,U,A,2025-11-19T19:04:53.249941173Z,,,,,,,,,,,,,,2027-01-15,67000,0.581,-0.6811,0.0145,-0.6425,-0.0051,0.1515,,,,,,,,
BTC260618P00057000,,,,,,,,,19.31,35,A,16.63,31,B, ,2025-11-19T19:00:27.01569116Z,,,,,,,,,,,,,,2026-06-18,57000,0.4897,-0.7715,0.0206,-0.2799,-0.0056,0.0908,,,,,,,,
BTC260618C00050000,3.75,3.85,3.75,2.0,3.85,2025-11-17T05:00:00Z,9.0,3.805556,4.12,355,A,1.98,448,A,A,2025-11-19T19:04:54.563968584Z,a,3.75,4.0,2025-11-17T19:52:38.512352807Z,X,3.75,3.75,3.75,1.0,3.75,2025-11-17T19:52:00Z,4.0,3.75,2026-06-18,50000,0.5092,0.3585,0.0245,0.0641,-0.0147,0.1121,6.0,6.0,6.0,1.0,6.0,2025-11-13T05:00:00Z,1.0,6.0
BTC251219C00052000,0.2,0.3,0.15,17.0,0.22,2025-11-17T05:00:00Z,119.0,0.196471,0.73,353,A,0.03,13,E,B,2025-11-19T19:04:57.938590364Z,a,0.2,1.0,2025-11-17T20:59:37.064363569Z,X,0.2,0.2,0.2,1.0,0.2,2025-11-17T20:59:00Z,1.0,0.2,2025-12-19,52000,0.7083,0.1072,0.023,0.0032,-0.0251,0.0209,0.27,0.34,0.27,4.0,0.34,2025-11-14T05:00:00Z,21.0,0.296667
BTC270115C00049000,8.0,8.0,8.0,1.0,8.0,2025-11-14T05:00:00Z,2.0,8.0,8.67,39,A,4.53,29,A,A,2025-11-19T19:04:43.25359667Z,I,8.0,2.0,2025-11-14T14:30:01.410966861Z,I,8.0,8.0,8.0,1.0,8.0,2025-11-14T14:30:00Z,2.0,8.0,2027-01-15,49000,0.545,0.4968,0.0173,0.1503,-0.0122,0.1693,9.0,9.0,9.0,1.0,9.0,2025-11-13T05:00:00Z,1.0,9.0
BTC251121C00044000,0.04,0.05,0.04,2.0,0.05,2025-11-19T05:00:00Z,33.0,0.049091,0.13,15,E,0.0,0,?,A,2025-11-19T19:01:42.746391603Z,a,0.04,3.0,2025-11-19T15:54:10.074297788Z,J,0.04,0.04,0.04,1.0,0.04,2025-11-19T15:54:00Z,3.0,0.04,2025-11-21,44000,,,,,,,0.05,0.05,0.05,1.0,0.05,2025-11-18T05:00:00Z,3.0,0.05
BTC260116C00064000,1.77,1.77,1.65,2.0,1.65,2025-10-13T04:00:00Z,2.0,1.71,0.73,306,A,0.0,0,?,A,2025-11-19T19:04:02.311049367Z,f,1.77,1.0,2025-10-13T18:37:55.117590789Z,I,1.77,1.77,1.77,1.0,1.77,2025-10-13T18:37:00Z,1.0,1.77,2026-01-16,64000,,,,,,,3.01,3.01,3.01,1.0,3.01,2025-10-06T04:00:00Z,1.0,3.01
BTC270115P00053000,10.6,10.6,10.6,1.0,10.6,2025-10-08T04:00:00Z,4.0,10.6,18.27,18,U,14.7,26,A,A,2025-11-19T19:04:45.59902718Z,I,10.6,4.0,2025-10-08T17:37:39.282173916Z,Z,10.6,10.6,10.6,1.0,10.6,2025-10-08T17:37:00Z,4.0,10.6,2027-01-15,53000,0.5094,-0.576,0.0181,-0.4534,-0.0063,0.1662,9.0,9.98,9.0,3.0,9.98,2025-10-06T04:00:00Z,6.0,9.816667
BTC270115C00062000,10.25,10.25,10.25,1.0,10.25,2025-10-10T04:00:00Z,3.0,10.25,6.34,11,E,1.52,16,A,A,2025-11-19T19:04:51.441611168Z,a,10.25,3.0,2025-10-10T15:36:45.213356294Z,X,10.25,10.25,10.25,1.0,10.25,2025-10-10T15:36:00Z,3.0,10.25,2027-01-15,62000,0.5441,0.3404,0.0159,0.1099,-0.0109,0.1555,11.6,11.6,11.6,1.0,11.6,2025-10-06T04:00:00Z,3.0,11.6
BTC280121C00045000,15.18,15.92,15.18,2.0,15.92,2025-11-13T05:00:00Z,3.0,15.426667,14.52,8,A,10.19,8,E,A,2025-11-19T19:04:45.382876402Z,a,15.18,2.0,2025-11-13T17:57:23.505355445Z,X,15.18,15.18,15.18,1.0,15.18,2025-11-13T17:57:00Z,2.0,15.18,2028-01-21,45000,0.5837,0.6407,0.011,0.2809,-0.0092,0.2174,15.8,16.2,15.8,2.0,16.2,2025-11-06T05:00:00Z,20.0,16.0
BTC260618C00052000,3.2,3.2,3.2,2.0,3.2,2025-11-19T05:00:00Z,20.0,3.2,3.93,577,A,1.73,642,X,A,2025-11-19T19:04:02.33857501Z,I,3.2,4.0,2025-11-19T14:30:00.915622487Z,I,3.2,3.2,3.2,2.0,3.2,2025-11-19T14:30:00Z,20.0,3.2,2026-06-18,52000,0.5271,0.332,0.023,0.0594,-0.0147,0.1089,4.0,4.29,4.0,2.0,4.29,2025-11-14T05:00:00Z,15.0,4.096667
BTC260320P00065000,,,,,,,,,26.56,38,Z,23.4,31,B,A,2025-11-19T19:02:05.740169643Z,,,,,,,,,,,,,,2026-03-20,65000,0.4964,-0.9405,0.0105,-0.2058,0.001,0.0269,,,,,,,,
BTC260116P00066000,,,,,,,,,27.51,20,B,24.51,20,B, ,2025-11-19T19:01:56.185885644Z,,,,,,,,,,,,,,2026-01-16,66000,,,,,,,,,,,,,,
BTC260618P00049000,7.55,7.55,7.55,1.0,7.55,2025-11-03T05:00:00Z,1.0,7.55,12.62,137,B,10.2,361,X, ,2025-11-19T19:02:05.740325634Z,g,7.55,1.0,2025-11-03T15:58:01.079681813Z,C,7.55,7.55,7.55,1.0,7.55,2025-11-03T15:58:00Z,1.0,7.55,2026-06-18,49000,0.4767,-0.6394,0.0262,-0.2118,-0.009,0.1123,,,,,,,,
BTC260116P00059000,,,,,,,,,20.27,6,U,17.9,27,Z, ,2025-11-19T19:00:27.013881175Z,,,,,,,,,,,,,,2026-01-16,59000,,,,,,,,,,,,,,
BTC280121C00051000,17.43,17.43,17.43,1.0,17.43,2025-10-29T04:00:00Z,1.0,17.43,12.84,15,U,8.91,22,A,A,2025-11-19T19:04:34.883142707Z,a,17.43,1.0,2025-10-29T13:41:14.258350256Z,X,17.43,17.43,17.43,1.0,17.43,2025-10-29T13:41:00Z,1.0,17.43,2028-01-21,51000,0.5882,0.587,0.0114,0.267,-0.0095,0.2265,20.0,20.0,20.0,3.0,20.0,2025-10-27T04:00:00Z,10.0,20.0
BTC251121C00049000,0.15,0.15,0.15,1.0,0.15,2025-11-19T05:00:00Z,1.0,0.15,0.03,3,I,0.0,0,?, ,2025-11-19T16:23:24.017179123Z,g,0.15,1.0,2025-11-19T15:27:04.087081798Z,C,0.15,0.15,0.15,1.0,0.15,2025-11-19T15:27:00Z,1.0,0.15,2025-11-21,49000,,,,,,,0.06,0.06,0.04,2.0,0.04,2025-11-18T05:00:00Z,2.0,0.05
BTC251121C00061000,0.25,0.25,0.25,2.0,0.25,2025-10-24T04:00:00Z,3.0,0.25,0.73,525,A,0.0,0,?,A,2025-11-19T19:02:00.366012409Z,I,0.25,2.0,2025-10-24T18:35:05.64313733Z,C,0.25,0.25,0.25,1.0,0.25,2025-10-24T18:35:00Z,2.0,0.25,2025-11-21,61000,,,,,,,0.33,0.33,0.33,1.0,0.33,2025-10-23T04:00:00Z,10.0,0.33
BTC260320C00053000,1.8,1.8,1.8,1.0,1.8,2025-11-18T05:00:00Z,5.0,1.8,1.92,249,A,1.17,17,U,A,2025-11-19T19:04:33.025542123Z,f,1.8,5.0,2025-11-18T18:29:02.518903821Z,M,1.8,1.8,1.8,1.0,1.8,2025-11-18T18:29:00Z,5.0,1.8,2026-03-20,53000,0.5626,0.239,0.0243,0.0261,-0.0172,0.0705,2.01,2.01,2.01,1.0,2.01,2025-11-17T05:00:00Z,1.0,2.01
BTC260618C00035000,9.44,9.6,9.44,2.0,9.6,2025-11-19T05:00:00Z,2.0,9.52,10.41,624,X,8.94,23,U, ,2025-11-19T19:03:54.495449209Z,a,9.44,1.0,2025-11-19T16:17:50.429922358Z,J,9.44,9.44,9.44,1.0,9.44,2025-11-19T16:17:00Z,1.0,9.44,2026-06-18,35000,0.6108,0.7043,0.0188,0.1047,-0.0168,0.1036,10.56,10.56,10.25,2.0,10.25,2025-11-18T05:00:00Z,5.0,10.374
