symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC260618C00055000,0.5363,0.3051,0.0214,0.0556,-0.0147,0.107,2.71,2.72,2.71,2.0,2.72,2025-11-19T05:00:00Z,3.0,2.716667,3.25,502,A,1.98,305,X,A,2025-11-20T14:43:54.464398883Z,f,2.71,1.0,2025-11-19T17:52:10.601146468Z,M,2.71,2.72,2.71,2.0,2.72,2025-11-19T17:52:00Z,3.0,2.716667,2.61,2.61,2.61,1.0,2.61,2025-11-17T05:00:00Z,3.0,2.61,2026-06-18,55000
BTC270115P00044000,0.4923,-0.4313,0.0185,-0.3115,-0.0074,0.17,6.4,6.4,6.4,1.0,6.4,2025-09-30T04:00:00Z,2.0,6.4,11.22,38,B,8.05,26,A,A,2025-11-20T14:43:58.792682159Z,I,6.57,2.0,2025-09-30T17:40:27.219148544Z,I,6.4,6.4,6.4,1.0,6.4,2025-09-30T17:40:00Z,2.0,6.4,,,,,,,,,2027-01-15,44000
BTC270115P00065000,0.5453,-0.6757,0.0152,-0.613,-0.005,0.1555,18.53,18.53,18.53,1.0,18.53,2025-10-10T04:00:00Z,1.0,18.53,27.12,22,B,24.74,13,E,A,2025-11-20T14:42:59.541173538Z,f,18.53,1.0,2025-10-10T15:31:47.560211828Z,W,18.53,18.53,18.53,1.0,18.53,2025-10-10T15:31:00Z,1.0,18.53,21.8,22.1,21.8,8.0,22.03,2025-07-07T04:00:00Z,150.0,21.925733,2027-01-15,65000
BTC260320P00063000,0.6151,-0.8546,0.0161,-0.1883,-0.0075,0.0527,,,,,,,,,24.53,37,C,21.17,30,E,A,2025-11-20T14:43:55.436945221Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,63000
BTC260320C00064000,0.5648,0.1095,0.0144,0.0125,-0.0106,0.0433,0.57,0.57,0.57,1.0,0.57,2025-11-17T05:00:00Z,3.0,0.57,0.98,165,A,0.23,60,A,A,2025-11-20T14:43:55.866675074Z,g,0.57,3.0,2025-11-17T20:30:16.144060425Z,C,0.57,0.57,0.57,1.0,0.57,2025-11-17T20:30:00Z,3.0,0.57,1.32,1.32,1.32,2.0,1.32,2025-11-04T05:00:00Z,3.0,1.32,2026-03-20,64000
BTC270115P00042000,0.4986,-0.3957,0.0179,-0.2824,-0.0075,0.1666,7.2,7.25,7.18,6.0,7.25,2025-10-21T04:00:00Z,76.0,7.191711,10.08,33,B,7.01,27,A,A,2025-11-20T14:43:56.23883013Z,f,7.2,5.0,2025-10-21T17:18:17.629279339Z,I,7.2,7.2,7.18,4.0,7.2,2025-10-21T17:18:00Z,40.0,7.183,8.23,8.23,8.23,1.0,8.23,2025-10-17T04:00:00Z,5.0,8.23,2027-01-15,42000
BTC251219C00038000,0.5754,0.6768,0.055,0.0186,-0.043,0.0408,3.3,4.0,3.3,5.0,4.0,2025-11-19T05:00:00Z,5.0,3.552,4.54,559,A,3.26,291,X,A,2025-11-20T14:43:57.530589678Z,I,3.3,1.0,2025-11-19T20:38:26.200428744Z,M,3.3,3.3,3.3,1.0,3.3,2025-11-19T20:38:00Z,1.0,3.3,4.6,4.7,4.22,4.0,4.22,2025-11-18T05:00:00Z,13.0,4.578462,2025-12-19,38000
BTC260618P00040000,0.5343,-0.3926,0.0235,-0.1245,-0.0127,0.1174,5.8,6.04,5.8,2.0,6.04,2025-11-19T05:00:00Z,11.0,5.821818,6.57,502,A,5.09,482,A,A,2025-11-20T14:43:20.355777795Z,I,5.8,10.0,2025-11-19T18:41:18.756856963Z,T,5.8,5.8,5.8,1.0,5.8,2025-11-19T18:41:00Z,10.0,5.8,5.15,5.15,5.12,2.0,5.12,2025-11-17T05:00:00Z,6.0,5.145,2026-06-18,40000
BTC260116C00042000,0.5473,0.477,0.0457,0.0256,-0.0322,0.0634,,,,,,,,,3.45,642,A,2.24,229,A,A,2025-11-20T14:43:44.204232091Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,42000
BTC251121C00056000,,,,,,,0.02,0.02,0.02,1.0,0.02,2025-11-17T05:00:00Z,8.0,0.02,0.77,543,A,0.0,0,?,A,2025-11-20T14:40:53.159383783Z,a,0.02,8.0,2025-11-17T20:03:36.027364382Z,X,0.02,0.02,0.02,1.0,0.02,2025-11-17T20:03:00Z,8.0,0.02,0.19,0.35,0.15,3.0,0.35,2025-11-03T05:00:00Z,3.0,0.23,2025-11-21,56000
BTC260320C00043000,0.5427,0.4943,0.0318,0.052,-0.0225,0.0921,4.4,4.4,4.4,1.0,4.4,2025-11-18T05:00:00Z,1.0,4.4,4.74,444,A,3.45,102,A,A,2025-11-20T14:43:50.481895572Z,I,4.4,1.0,2025-11-18T18:58:24.474318806Z,P,4.4,4.4,4.4,1.0,4.4,2025-11-18T18:58:00Z,1.0,4.4,5.49,5.49,5.1,2.0,5.1,2025-11-14T05:00:00Z,6.0,5.295,2026-03-20,43000
BTC260320C00050000,0.5247,0.2992,0.0287,0.0331,-0.0186,0.0802,2.0,2.2,2.0,2.0,2.2,2025-11-19T05:00:00Z,2.0,2.1,2.34,94,X,1.62,157,A,A,2025-11-20T14:43:34.710862542Z,I,2.0,1.0,2025-11-19T15:45:12.251604612Z,A,2.0,2.0,2.0,1.0,2.0,2025-11-19T15:45:00Z,1.0,2.0,2.45,2.8,2.45,8.0,2.67,2025-11-14T05:00:00Z,19.0,2.667895,2026-03-20,50000
BTC270115P00029000,0.5017,-0.1701,0.0117,-0.109,-0.0056,0.1095,,,,,,,,,4.17,17,P,1.02,28,A,A,2025-11-20T14:41:35.265863962Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,29000
BTC280121C00025000,0.6308,0.8542,0.0061,0.2777,-0.0066,0.1357,20.9,21.7,20.54,21.0,21.7,2025-11-19T05:00:00Z,65.0,21.036615,23.64,33,A,19.57,23,A,A,2025-11-20T14:43:58.814052948Z,I,20.9,1.0,2025-11-19T20:51:17.758038329Z,N,20.9,20.9,20.54,2.0,20.54,2025-11-19T20:51:00Z,2.0,20.72,22.0,22.6,22.0,2.0,22.6,2025-11-17T05:00:00Z,4.0,22.3,2028-01-21,25000
BTC260116C00052000,0.5331,0.1404,0.0263,0.008,-0.0171,0.0355,0.91,0.91,0.91,1.0,0.91,2025-11-14T05:00:00Z,1.0,0.91,0.93,181,A,0.18,34,B,A,2025-11-20T14:43:36.24867703Z,a,0.91,1.0,2025-11-14T16:23:45.204365483Z,X,0.91,0.91,0.91,1.0,0.91,2025-11-14T16:23:00Z,1.0,0.91,1.75,1.8,1.75,3.0,1.8,2025-11-11T05:00:00Z,11.0,1.795455,2026-01-16,52000
BTC260618C00056000,0.5071,0.2714,0.0214,0.0505,-0.0131,0.1013,,,,,,,,,3.26,330,A,1.03,459,C,A,2025-11-20T14:43:58.394867947Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,56000
BTC251219P00030000,,,,,,,0.23,0.23,0.2,3.0,0.2,2025-11-19T05:00:00Z,3.0,0.22,0.72,594,A,0.0,0,?,A,2025-11-20T14:42:56.527847394Z,f,0.23,1.0,2025-11-19T19:30:54.749880694Z,W,0.23,0.23,0.23,1.0,0.23,2025-11-19T19:30:00Z,1.0,0.23,1.82,1.82,1.82,1.0,1.82,2025-08-07T04:00:00Z,1.0,1.82,2025-12-19,30000
BTC260320P00065000,0.6108,-0.8761,0.0145,-0.1971,-0.0057,0.0473,,,,,,,,,26.55,36,A,22.77,29,E,A,2025-11-20T14:43:49.594067593Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,65000
BTC260320C00063000,0.5664,0.1197,0.0153,0.0136,-0.0113,0.0461,2.49,2.49,2.49,1.0,2.49,2025-10-17T04:00:00Z,10.0,2.49,1.03,165,A,0.32,57,A,A,2025-11-20T14:43:56.279064094Z,a,2.49,10.0,2025-10-17T14:14:40.519369582Z,X,2.49,2.49,2.49,1.0,2.49,2025-10-17T14:14:00Z,10.0,2.49,4.22,4.22,4.22,1.0,4.22,2025-10-10T04:00:00Z,8.0,4.22,2026-03-20,63000
BTC260618P00060000,0.5742,-0.7416,0.0184,-0.2908,-0.0083,0.0988,21.3,21.3,21.3,1.0,21.3,2025-11-19T05:00:00Z,2.0,21.3,21.85,78,X,19.51,47,E,A,2025-11-20T14:43:09.813978089Z,I,21.3,2.0,2025-11-19T17:37:39.813320246Z,I,21.3,21.3,21.3,1.0,21.3,2025-11-19T17:37:00Z,2.0,21.3,18.5,18.5,18.48,5.0,18.48,2025-11-14T05:00:00Z,68.0,18.491471,2026-06-18,60000
BTC251219C00041000,0.4175,0.4736,0.084,0.0139,-0.0344,0.0452,1.75,2.46,1.75,23.0,2.46,2025-11-19T05:00:00Z,46.0,2.059348,2.22,162,N,1.02,827,X,A,2025-11-20T14:43:54.019550683Z,I,1.75,2.0,2025-11-19T19:38:04.846885104Z,I,1.75,1.75,1.75,1.0,1.75,2025-11-19T19:38:00Z,2.0,1.75,2.66,2.85,2.62,4.0,2.85,2025-11-18T05:00:00Z,5.0,2.698,2025-12-19,41000
BTC260116C00025000,0.8551,0.945,0.0082,0.0348,-0.0157,0.0177,21.0,21.0,21.0,1.0,21.0,2025-11-11T05:00:00Z,14.0,21.0,17.13,519,A,14.45,73,X,A,2025-11-20T14:43:02.5212202Z,e,21.0,14.0,2025-11-11T20:07:04.266001933Z,B,21.0,21.0,21.0,1.0,21.0,2025-11-11T20:07:00Z,14.0,21.0,20.1,20.1,20.1,1.0,20.1,2025-11-06T05:00:00Z,3.0,20.1,2026-01-16,25000
BTC270115P00070000,0.5956,-0.6849,0.0138,-0.6739,-0.0053,0.1537,20.97,20.97,20.97,1.0,20.97,2025-10-06T04:00:00Z,1.0,20.97,32.64,13,E,29.04,14,E,A,2025-11-20T14:44:00.14824763Z,g,20.97,1.0,2025-10-06T16:43:07.871746488Z,C,20.97,20.97,20.97,1.0,20.97,2025-10-06T16:43:00Z,1.0,20.97,22.1,22.1,22.1,1.0,22.1,2025-08-14T04:00:00Z,1.0,22.1,2027-01-15,70000
BTC260320P00071000,0.6427,-0.9066,0.0112,-0.22,-0.0033,0.0386,,,,,,,,,33.02,1,M,27.77,1,M, ,2025-11-20T14:30:00.588658543Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,71000
