symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260116C00051000,0.74,0.74,0.74,1.0,0.74,2025-11-18T05:00:00Z,5.0,0.74,0.73,169,A,0.0,0,?,A,2025-12-04T14:50:00.986268882Z,a,0.74,5.0,2025-11-18T20:14:52.099362304Z,X,0.74,0.74,0.74,1.0,0.74,2025-11-18T20:14:00Z,5.0,0.74,2.4,2.4,2.4,1.0,2.4,2025-11-11T05:00:00Z,10.0,2.4,2026-01-16,51000,,,,,,
BTC270115P00028000,,,,,,,,,4.13,41,A,0.87,31,A,A,2025-12-04T14:50:00.543760172Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,28000,0.5391,-0.1547,0.0102,-0.0984,-0.006,0.1028
BTC251219C00038000,4.0,4.0,3.7,6.0,3.7,2025-12-03T05:00:00Z,19.0,3.894737,3.83,173,E,3.25,89,A,A,2025-12-04T14:50:09.916752202Z,I,4.0,1.0,2025-12-03T20:52:48.992058239Z,N,4.0,4.0,3.9,3.0,3.9,2025-12-03T20:52:00Z,5.0,3.92,3.2,3.5,2.44,12.0,2.55,2025-12-02T05:00:00Z,107.0,2.704579,2025-12-19,38000,0.523,0.7762,0.069,0.0116,-0.0462,0.0248
BTC260320P00059000,,,,,,,,,19.0,33,U,16.78,35,A, ,2025-12-04T14:42:00.202474674Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,59000,0.4617,-0.9042,0.0167,-0.1593,-0.0026,0.0375
BTC260116P00033000,0.74,0.77,0.71,4.0,0.77,2025-12-02T05:00:00Z,30.0,0.74,0.82,43,B,0.07,42,B, ,2025-12-04T14:49:39.380699847Z,f,0.74,10.0,2025-12-02T20:34:47.618211861Z,M,0.74,0.74,0.74,1.0,0.74,2025-12-02T20:34:00Z,10.0,0.74,1.17,1.17,1.17,1.0,1.17,2025-11-20T05:00:00Z,1.0,1.17,2026-01-16,33000,0.5595,-0.1083,0.0237,-0.0057,-0.0165,0.0261
BTC251219P00020000,0.4,0.4,0.4,1.0,0.4,2025-11-21T05:00:00Z,1.0,0.4,0.73,316,A,0.0,0,?,A,2025-12-04T14:49:29.786890995Z,I,0.28,1.0,2025-11-21T20:36:46.539176393Z,E,0.4,0.4,0.4,1.0,0.4,2025-11-21T20:36:00Z,1.0,0.4,0.05,0.05,0.05,1.0,0.05,2025-09-23T04:00:00Z,1.0,0.05,2025-12-19,20000,,,,,,
BTC260116C00050000,0.43,0.55,0.43,9.0,0.55,2025-12-03T05:00:00Z,88.0,0.527614,0.48,39,B,0.37,37,P, ,2025-12-04T14:49:55.85258014Z,a,0.43,10.0,2025-12-03T20:16:30.072467975Z,A,0.43,0.43,0.43,1.0,0.43,2025-12-03T20:16:00Z,10.0,0.43,0.49,0.51,0.4,11.0,0.5,2025-12-02T05:00:00Z,53.0,0.419811,2026-01-16,50000,0.4812,0.1339,0.032,0.0059,-0.0175,0.0303
BTC280121P00035000,7.71,7.71,7.71,2.0,7.71,2025-11-20T05:00:00Z,10.0,7.71,10.56,27,A,5.89,22,A,A,2025-12-04T14:50:07.423636438Z,g,7.71,5.0,2025-11-20T14:49:22.815744992Z,C,7.71,7.71,7.71,2.0,7.71,2025-11-20T14:49:00Z,10.0,7.71,7.6,7.6,7.6,1.0,7.6,2025-11-17T05:00:00Z,50.0,7.6,2028-01-21,35000,0.5732,-0.2463,0.0092,-0.3899,-0.0053,0.1882
BTC270115C00046000,7.5,7.5,7.5,1.0,7.5,2025-12-02T05:00:00Z,4.0,7.5,9.23,44,A,6.22,70,A,A,2025-12-04T14:50:04.503031904Z,I,7.5,4.0,2025-12-02T15:12:56.763814944Z,A,7.5,7.5,7.5,1.0,7.5,2025-12-02T15:12:00Z,4.0,7.5,6.35,6.35,6.35,1.0,6.35,2025-11-21T05:00:00Z,4.0,6.35,2027-01-15,46000,0.5268,0.5535,0.0174,0.1662,-0.0124,0.1707
BTC251219P00071000,,,,,,,,,31.2,38,X,28.48,28,U, ,2025-12-04T14:49:55.8528694Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,71000,,,,,,
