symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC260116P00046000,0.407,-0.8474,0.0383,-0.063,-0.0084,0.0357,5.71,5.71,5.71,1.0,5.71,2025-11-17T05:00:00Z,5.0,5.71,8.86,58,X,6.95,51,B, ,2025-11-20T19:46:33.527963557Z,g,5.71,5.0,2025-11-17T14:40:07.809113778Z,C,5.71,5.71,5.71,1.0,5.71,2025-11-17T14:40:00Z,5.0,5.71,5.5,5.5,5.5,1.0,5.5,2025-11-14T05:00:00Z,1.0,5.5,2026-01-16,46000
BTC260116C00036000,0.6863,0.6494,0.0357,0.0304,-0.0358,0.0561,,,,,,,,,6.13,812,X,4.59,47,N,A,2025-11-20T19:50:13.029846613Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,36000
BTC260116C00030000,0.8254,0.8234,0.0208,0.0338,-0.0307,0.0392,12.13,12.13,12.13,2.0,12.13,2025-11-18T05:00:00Z,5.0,12.13,10.97,453,A,8.73,31,B,A,2025-11-20T19:50:43.039347384Z,a,12.13,3.0,2025-11-18T19:41:53.159028873Z,E,12.13,12.13,12.13,2.0,12.13,2025-11-18T19:41:00Z,5.0,12.13,23.7,23.7,23.7,1.0,23.7,2025-10-10T04:00:00Z,1.0,23.7,2026-01-16,30000
BTC280121C00040000,0.583,0.6777,0.0109,0.2792,-0.0086,0.2022,14.17,14.17,14.17,2.0,14.17,2025-11-20T05:00:00Z,10.0,14.17,14.38,14,S,11.76,14,E, ,2025-11-20T19:37:04.341883715Z,g,14.17,5.0,2025-11-20T14:49:22.815744992Z,C,14.17,14.17,14.17,2.0,14.17,2025-11-20T14:49:00Z,10.0,14.17,14.45,14.45,14.45,1.0,14.45,2025-11-19T05:00:00Z,1.0,14.45,2028-01-21,40000
BTC270115P00074000,0.604,-0.7357,0.0132,-0.7375,-0.0035,0.1344,,,,,,,,,37.26,13,E,34.31,13,E,A,2025-11-20T19:48:50.08278453Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,74000
BTC260320C00073000,,,,,,,1.26,1.26,1.26,1.0,1.26,2025-10-30T04:00:00Z,1.0,1.26,0.77,294,A,0.0,0,?, ,2025-11-20T19:45:48.206645666Z,I,1.26,1.0,2025-10-30T13:41:32.433245351Z,Z,1.26,1.26,1.26,1.0,1.26,2025-10-30T13:41:00Z,1.0,1.26,,,,,,,,,2026-03-20,73000
BTC260116P00033000,0.5434,-0.2045,0.0345,-0.0139,-0.0195,0.0429,1.17,1.17,1.17,1.0,1.17,2025-11-20T05:00:00Z,1.0,1.17,1.48,77,B,0.62,585,A,A,2025-11-20T19:50:40.708866135Z,a,1.17,1.0,2025-11-20T17:18:30.219856734Z,J,1.17,1.17,1.17,1.0,1.17,2025-11-20T17:18:00Z,1.0,1.17,,,,,,,,,2026-01-16,33000
BTC251121C00051000,,,,,,,0.03,0.03,0.03,2.0,0.03,2025-11-18T05:00:00Z,4.0,0.03,0.42,459,A,0.0,0,?,O,2025-11-20T19:45:48.224900664Z,a,0.03,2.0,2025-11-18T17:44:19.021360232Z,X,0.03,0.03,0.03,1.0,0.03,2025-11-18T17:44:00Z,2.0,0.03,0.13,0.13,0.05,3.0,0.05,2025-11-17T05:00:00Z,10.0,0.058,2025-11-21,51000
BTC251219C00052000,0.7808,0.1023,0.0212,0.0028,-0.0263,0.0192,0.15,0.15,0.15,1.0,0.15,2025-11-19T05:00:00Z,1.0,0.15,0.68,738,A,0.07,74,B, ,2025-11-20T19:45:48.207168149Z,a,0.15,1.0,2025-11-19T19:08:56.632359Z,X,0.15,0.15,0.15,1.0,0.15,2025-11-19T19:08:00Z,1.0,0.15,0.2,0.3,0.15,17.0,0.22,2025-11-17T05:00:00Z,119.0,0.196471,2025-12-19,52000
BTC251219C00059000,1.019,0.0881,0.0145,0.0024,-0.0306,0.0172,0.35,0.35,0.35,1.0,0.35,2025-11-19T05:00:00Z,1.0,0.35,0.77,647,A,0.03,1,X,A,2025-11-20T19:42:14.620472235Z,f,0.35,1.0,2025-11-19T20:50:49.153384594Z,X,0.35,0.35,0.35,1.0,0.35,2025-11-19T20:50:00Z,1.0,0.35,0.1,0.15,0.1,2.0,0.15,2025-11-13T05:00:00Z,26.0,0.148077,2025-12-19,59000
