symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC260116C00048000,0.4756,0.1445,0.0345,0.0065,-0.0172,0.0315,0.6,0.79,0.6,6.0,0.79,2025-11-28T05:00:00Z,20.0,0.7025,0.83,197,A,0.08,808,X,A,2025-12-02T14:50:56.272833483Z,a,0.6,4.0,2025-11-28T17:29:28.896359546Z,X,0.6,0.6,0.6,1.0,0.6,2025-11-28T17:29:00Z,4.0,0.6,0.8,0.8,0.8,1.0,0.8,2025-11-26T05:00:00Z,2.0,0.8,2026-01-16,48000
BTC270115P00072000,0.6074,-0.7101,0.0135,-0.6864,-0.0048,0.143,,,,,,,,,34.65,12,T,31.82,12,T,A,2025-12-02T14:48:20.521541038Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,72000
BTC260320C00025000,0.621,0.9399,0.009,0.065,-0.0096,0.0256,16.9,16.9,16.9,1.0,16.9,2025-11-28T05:00:00Z,25.0,16.9,16.23,403,A,14.05,125,A,A,2025-12-02T14:51:07.603623913Z,I,16.57,25.0,2025-11-28T15:39:47.685056637Z,P,16.9,16.9,16.9,1.0,16.9,2025-11-28T15:39:00Z,25.0,16.9,13.32,13.32,13.32,1.0,13.32,2025-11-21T05:00:00Z,3.0,13.32,2026-03-20,25000
BTC251219C00032000,0.4531,0.9865,0.0089,0.0146,-0.0073,0.0029,,,,,,,,,8.35,323,A,6.74,124,A,A,2025-12-02T14:50:41.175379463Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,32000
BTC260618P00054000,0.5811,-0.6816,0.0211,-0.2343,-0.0109,0.1037,,,,,,,,,17.5,47,B,15.09,384,A,A,2025-12-02T14:51:07.731828893Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,54000
BTC251219C00029000,,,,,,,,,,,,,,,11.03,340,A,9.77,120,A,A,2025-12-02T14:50:29.493201057Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,29000
BTC251219P00054000,0.994,-0.9108,0.0191,-0.0236,-0.0347,0.0137,16.05,16.05,16.05,1.0,16.05,2025-11-24T05:00:00Z,9.0,16.05,16.02,35,A,13.49,36,A,A,2025-12-02T14:51:07.197128201Z,g,16.04,9.0,2025-11-24T16:25:03.604761394Z,A,16.05,16.05,16.05,1.0,16.05,2025-11-24T16:25:00Z,9.0,16.05,11.65,11.65,11.54,2.0,11.54,2025-11-14T05:00:00Z,11.0,11.64,2025-12-19,54000
BTC260618P00070000,0.653,-0.8185,0.0139,-0.3417,-0.0063,0.0767,,,,,,,,,32.479,33,Z,28.88,38,C,A,2025-12-02T14:50:40.812224471Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,70000
BTC251219P00047000,0.7107,-0.8532,0.038,-0.0194,-0.0365,0.0196,6.9,6.9,6.9,1.0,6.9,2025-11-28T05:00:00Z,25.0,6.9,8.63,38,A,7.12,37,U,A,2025-12-02T14:41:22.506272686Z,I,6.9,25.0,2025-11-28T17:50:17.80607997Z,W,6.9,6.9,6.9,1.0,6.9,2025-11-28T17:50:00Z,25.0,6.9,7.3,7.3,7.3,1.0,7.3,2025-11-26T05:00:00Z,1.0,7.3,2025-12-19,47000
BTC260320P00025000,0.6748,-0.0725,0.0095,-0.0101,-0.0089,0.0296,0.6,0.6,0.6,1.0,0.6,2025-11-26T05:00:00Z,2.0,0.6,0.67,48,P,0.42,33,P, ,2025-12-02T14:35:06.617603102Z,f,0.6,2.0,2025-11-26T17:41:40.560725338Z,M,0.6,0.6,0.6,1.0,0.6,2025-11-26T17:41:00Z,2.0,0.6,0.74,0.74,0.74,1.0,0.74,2025-11-24T05:00:00Z,2.0,0.74,2026-03-20,25000
