symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC260320C00057000,0.5305,0.1376,0.0193,0.014,-0.0121,0.0472,0.65,0.65,0.65,1.0,0.65,2025-12-01T05:00:00Z,3.0,0.65,1.08,122,A,0.33,128,A,A,2025-12-02T14:50:58.307994575Z,a,0.65,3.0,2025-12-01T14:41:42.291360064Z,X,0.65,0.65,0.65,1.0,0.65,2025-12-01T14:41:00Z,3.0,0.65,2.6,2.6,2.6,1.0,2.6,2025-11-05T05:00:00Z,2.0,2.6,2026-03-20,57000
BTC270115C00028000,0.5663,0.8255,0.0109,0.1908,-0.009,0.1075,,,,,,,,,17.34,39,A,13.77,50,A,A,2025-12-02T14:51:01.408934943Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,28000
BTC270115P00043000,0.5185,-0.4253,0.0181,-0.297,-0.0079,0.1637,10.65,10.65,10.65,1.0,10.65,2025-11-21T05:00:00Z,1.0,10.65,11.28,24,A,8.17,26,A,A,2025-12-02T14:49:55.252187419Z,f,10.65,1.0,2025-11-21T16:04:44.229151417Z,I,10.65,10.65,10.65,1.0,10.65,2025-11-21T16:04:00Z,1.0,10.65,7.57,7.57,7.57,1.0,7.57,2025-11-05T05:00:00Z,3.0,7.57,2027-01-15,43000
BTC251219C00041000,0.4793,0.3825,0.0935,0.0066,-0.0473,0.0325,1.05,1.05,1.05,1.0,1.05,2025-12-02T05:00:00Z,5.0,1.05,1.08,28,D,0.98,53,P, ,2025-12-02T14:51:02.870687512Z,I,1.05,5.0,2025-12-02T14:32:05.562061293Z,P,1.05,1.05,1.05,1.0,1.05,2025-12-02T14:32:00Z,5.0,1.05,0.63,0.75,0.58,24.0,0.75,2025-12-01T05:00:00Z,183.0,0.665956,2025-12-19,41000
BTC260618P00056000,0.5824,-0.7105,0.0202,-0.2494,-0.01,0.0994,,,,,,,,,19.19,35,C,16.67,171,X,A,2025-12-02T14:50:12.273715768Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,56000
BTC280121P00045000,0.5346,-0.3775,0.0123,-0.6104,-0.005,0.2192,9.4,9.4,9.4,1.0,9.4,2025-09-22T04:00:00Z,2.0,9.4,15.47,6,A,11.86,23,A,A,2025-12-02T14:50:50.276828436Z,I,9.4,2.0,2025-09-22T17:10:52.183830047Z,I,9.4,9.4,9.4,1.0,9.4,2025-09-22T17:10:00Z,2.0,9.4,8.7,8.7,8.7,1.0,8.7,2025-09-19T04:00:00Z,2.0,8.7,2028-01-21,45000
BTC270115P00031000,0.5367,-0.2186,0.0132,-0.1395,-0.0069,0.1232,,,,,,,,,5.38,68,A,2.26,31,A,A,2025-12-02T14:51:04.937775102Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,31000
BTC270115P00069000,0.6211,-0.6781,0.0138,-0.6462,-0.0059,0.1498,,,,,,,,,32.54,8,U,29.27,13,T, ,2025-12-02T14:50:21.842711934Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,69000
BTC260116P00072000,0.8806,-0.962,0.0068,-0.0867,-0.0038,0.0115,,,,,,,,,33.76,10,N,30.96,30,X,A,2025-12-02T14:48:52.294986047Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,72000
BTC260320C00069000,,,,,,,3.12,3.25,3.12,2.0,3.25,2025-10-03T04:00:00Z,5.0,3.172,0.77,275,A,0.0,0,?,A,2025-12-02T14:50:38.737815177Z,g,3.12,3.0,2025-10-03T17:52:31.474796422Z,C,3.12,3.12,3.12,1.0,3.12,2025-10-03T17:52:00Z,3.0,3.12,,,,,,,,,2026-03-20,69000
BTC270115C00041000,0.5412,0.613,0.0169,0.1713,-0.012,0.1599,9.77,9.77,9.77,1.0,9.77,2025-11-18T05:00:00Z,1.0,9.77,10.39,33,A,7.42,46,A,A,2025-12-02T14:50:40.286750405Z,a,9.77,1.0,2025-11-18T14:58:44.522367684Z,X,9.77,9.77,9.77,1.0,9.77,2025-11-18T14:58:00Z,1.0,9.77,15.55,15.55,15.55,1.0,15.55,2025-10-17T04:00:00Z,2.0,15.55,2027-01-15,41000
BTC260320C00075000,,,,,,,0.23,0.23,0.23,1.0,0.23,2025-11-25T05:00:00Z,1.0,0.23,0.73,285,A,0.0,0,?,A,2025-12-02T14:48:02.586985308Z,a,0.23,1.0,2025-11-25T16:13:43.850359345Z,X,0.23,0.23,0.23,1.0,0.23,2025-11-25T16:13:00Z,1.0,0.23,0.22,0.22,0.22,1.0,0.22,2025-11-21T05:00:00Z,3.0,0.22,2026-03-20,75000
BTC260116C00057000,,,,,,,0.27,0.27,0.27,1.0,0.27,2025-11-24T05:00:00Z,5.0,0.27,0.77,422,A,0.0,0,?,A,2025-12-02T14:48:02.58556669Z,f,0.27,5.0,2025-11-24T15:09:10.149723459Z,M,0.27,0.27,0.27,1.0,0.27,2025-11-24T15:09:00Z,5.0,0.27,0.88,0.88,0.88,1.0,0.88,2025-11-11T05:00:00Z,3.0,0.88,2026-01-16,57000
BTC260116P00041000,0.5014,-0.5404,0.0571,-0.0307,-0.028,0.055,4.4,4.4,4.4,1.0,4.4,2025-12-01T05:00:00Z,8.0,4.4,4.12,456,A,2.95,350,A,A,2025-12-02T14:51:00.052749206Z,f,4.4,8.0,2025-12-01T16:36:01.508267802Z,J,4.4,4.4,4.4,1.0,4.4,2025-12-01T16:36:00Z,8.0,4.4,4.2,4.2,4.2,1.0,4.2,2025-11-26T05:00:00Z,2.0,4.2,2026-01-16,41000
BTC251219C00062000,,,,,,,0.1,0.1,0.1,1.0,0.1,2025-11-19T05:00:00Z,7.0,0.1,0.73,403,A,0.0,0,?,A,2025-12-02T14:48:02.586687259Z,a,0.1,7.0,2025-11-19T18:57:45.031213143Z,J,0.1,0.1,0.1,1.0,0.1,2025-11-19T18:57:00Z,7.0,0.1,0.72,0.72,0.72,1.0,0.72,2025-10-28T04:00:00Z,1.0,0.72,2025-12-19,62000
BTC251219P00036000,0.5827,-0.2093,0.058,-0.0041,-0.041,0.0245,1.13,1.31,0.89,24.0,0.89,2025-12-01T05:00:00Z,982.0,1.091253,0.93,242,X,0.32,111,A,A,2025-12-02T14:50:56.965724249Z,g,1.13,2.0,2025-12-01T20:25:52.077312677Z,E,1.13,1.14,1.13,13.0,1.14,2025-12-01T20:25:00Z,756.0,1.135556,0.49,0.49,0.41,2.0,0.41,2025-11-28T05:00:00Z,7.0,0.444286,2025-12-19,36000
BTC251219C00034000,0.5744,0.8997,0.036,0.0138,-0.0285,0.015,5.12,5.12,5.12,1.0,5.12,2025-11-24T05:00:00Z,1.0,5.12,6.53,665,A,5.02,186,A,A,2025-12-02T14:50:54.391736078Z,g,5.12,1.0,2025-11-24T14:33:03.933704668Z,A,5.12,5.12,5.12,1.0,5.12,2025-11-24T14:33:00Z,1.0,5.12,4.68,4.68,4.68,1.0,4.68,2025-11-21T05:00:00Z,1.0,4.68,2025-12-19,34000
BTC270115P00056000,0.5367,-0.6041,0.0172,-0.4814,-0.0065,0.161,19.7,19.7,19.3,2.0,19.3,2025-11-19T05:00:00Z,2.0,19.5,20.78,28,A,17.46,27,A,A,2025-12-02T14:50:27.856463056Z,I,19.37,1.0,2025-11-19T20:16:02.16161956Z,N,19.7,19.7,19.7,1.0,19.7,2025-11-19T20:16:00Z,1.0,19.7,,,,,,,,,2027-01-15,56000
BTC260116P00050000,0.679,-0.8032,0.0295,-0.0529,-0.0245,0.0384,12.52,12.52,12.52,1.0,12.52,2025-12-01T05:00:00Z,1.0,12.52,12.28,79,A,10.16,79,X,A,2025-12-02T14:50:39.547423498Z,a,12.52,1.0,2025-12-01T17:37:13.158349388Z,B,12.52,12.52,12.52,1.0,12.52,2025-12-01T17:37:00Z,1.0,12.52,12.2,12.2,12.2,1.0,12.2,2025-11-24T05:00:00Z,2.0,12.2,2026-01-16,50000
BTC260320C00020000,0.4624,0.998,0.0006,0.0583,-0.0023,0.0014,,,,,,,,,20.88,406,A,18.51,116,A,A,2025-12-02T14:51:02.877695464Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,20000
BTC260116P00066000,0.894,-0.9287,0.011,-0.0779,-0.0121,0.0189,,,,,,,,,28.48,10,N,24.66,20,Z,A,2025-12-02T14:48:50.327205502Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,66000
BTC251219C00055000,,,,,,,0.05,0.26,0.05,2.0,0.26,2025-12-01T05:00:00Z,11.0,0.240909,0.27,16,B,0.0,0,?, ,2025-12-02T14:30:03.004558667Z,I,0.05,1.0,2025-12-01T18:36:57.247886939Z,I,0.05,0.05,0.05,1.0,0.05,2025-12-01T18:36:00Z,1.0,0.05,0.1,0.1,0.09,2.0,0.09,2025-11-28T05:00:00Z,125.0,0.092,2025-12-19,55000
BTC260320P00055000,0.5799,-0.8049,0.0222,-0.1416,-0.011,0.0592,8.8,8.8,8.8,1.0,8.8,2025-10-13T04:00:00Z,5.0,8.8,17.77,1,B,14.42,20,S, ,2025-12-02T14:30:03.038639085Z,I,8.8,5.0,2025-10-13T14:09:30.077312454Z,N,8.8,8.8,8.8,1.0,8.8,2025-10-13T14:09:00Z,5.0,8.8,7.2,7.2,7.2,2.0,7.2,2025-10-08T04:00:00Z,2.0,7.2,2026-03-20,55000
BTC270115C00050000,0.5257,0.4691,0.0181,0.1418,-0.0119,0.1662,6.0,6.0,6.0,1.0,6.0,2025-12-01T05:00:00Z,1.0,6.0,7.37,224,A,4.35,198,A,A,2025-12-02T14:51:06.904485069Z,I,5.92,1.0,2025-12-01T15:19:09.919919353Z,P,6.0,6.0,6.0,1.0,6.0,2025-12-01T15:19:00Z,1.0,6.0,5.81,6.4,5.81,3.0,6.4,2025-11-26T05:00:00Z,3.0,6.106667,2027-01-15,50000
BTC270115P00040000,0.5152,-0.3749,0.0176,-0.2543,-0.0078,0.1584,8.8,8.8,8.8,1.0,8.8,2025-12-01T05:00:00Z,1.0,8.8,9.46,43,A,6.33,164,A,A,2025-12-02T14:51:02.307251904Z,I,8.8,1.0,2025-12-01T16:06:45.939777064Z,I,8.8,8.8,8.8,1.0,8.8,2025-12-01T16:06:00Z,1.0,8.8,7.38,7.38,7.38,1.0,7.38,2025-11-17T05:00:00Z,1.0,7.38,2027-01-15,40000
BTC260116C00062000,,,,,,,1.26,1.26,1.26,1.0,1.26,2025-10-20T04:00:00Z,1.0,1.26,0.73,400,A,0.0,0,?,A,2025-12-02T14:48:02.58486052Z,g,1.26,1.0,2025-10-20T18:48:42.523441326Z,C,1.26,1.26,1.26,1.0,1.26,2025-10-20T18:48:00Z,1.0,1.26,1.5,1.5,1.5,1.0,1.5,2025-10-16T04:00:00Z,1.0,1.5,2026-01-16,62000
BTC260618C00070000,0.6653,0.1884,0.014,0.0315,-0.0138,0.0785,0.75,0.75,0.75,1.0,0.75,2025-12-01T05:00:00Z,1.0,0.75,2.87,783,A,0.37,295,A,A,2025-12-02T14:50:03.898939527Z,I,0.75,1.0,2025-12-01T15:34:26.874106657Z,C,0.75,0.75,0.75,1.0,0.75,2025-12-01T15:34:00Z,1.0,0.75,2.0,2.0,1.02,2.0,1.02,2025-11-28T05:00:00Z,2.0,1.51,2026-06-18,70000
BTC260116C00043000,0.4594,0.3367,0.0573,0.0148,-0.0271,0.0506,1.88,1.88,1.88,1.0,1.88,2025-11-28T05:00:00Z,1.0,1.88,1.68,69,P,0.93,340,A,A,2025-12-02T14:50:58.233106279Z,a,1.88,1.0,2025-11-28T16:07:20.624364631Z,X,1.88,1.88,1.88,1.0,1.88,2025-11-28T16:07:00Z,1.0,1.88,1.4,1.42,1.4,2.0,1.42,2025-11-26T05:00:00Z,15.0,1.406667,2026-01-16,43000
BTC251219C00051000,,,,,,,0.14,0.21,0.05,3.0,0.21,2025-11-28T05:00:00Z,3.0,0.133333,0.53,642,A,0.0,0,?,A,2025-12-02T14:48:02.586431799Z,a,0.13,1.0,2025-11-28T16:08:45.243608421Z,A,0.14,0.14,0.14,1.0,0.14,2025-11-28T16:08:00Z,1.0,0.14,0.11,0.12,0.11,10.0,0.11,2025-11-26T05:00:00Z,63.0,0.112222,2025-12-19,51000
BTC270115P00038000,0.525,-0.3389,0.0167,-0.2277,-0.0079,0.1529,7.17,7.17,7.17,1.0,7.17,2025-11-19T05:00:00Z,1.0,7.17,8.58,27,A,5.31,37,A,A,2025-12-02T14:51:00.873869199Z,f,7.17,1.0,2025-11-19T16:46:12.497450274Z,I,7.17,7.17,7.17,1.0,7.17,2025-11-19T16:46:00Z,1.0,7.17,,,,,,,,,2027-01-15,38000
BTC280121C00050000,0.5597,0.5813,0.0121,0.269,-0.0092,0.2254,10.1,10.1,10.04,2.0,10.04,2025-11-25T05:00:00Z,4.0,10.055,12.19,58,A,8.52,73,A,A,2025-12-02T14:50:04.369444289Z,I,10.1,1.0,2025-11-25T17:57:04.099514077Z,U,10.1,10.1,10.1,1.0,10.1,2025-11-25T17:57:00Z,1.0,10.1,10.3,10.3,10.1,3.0,10.1,2025-11-20T05:00:00Z,4.0,10.15,2028-01-21,50000
BTC270115P00046000,0.51,-0.477,0.0187,-0.3398,-0.0075,0.1664,12.95,13.0,12.95,2.0,13.0,2025-11-21T05:00:00Z,5.0,12.96,13.08,25,A,9.92,33,A,A,2025-12-02T14:50:41.343099376Z,a,12.95,4.0,2025-11-21T17:07:28.520362236Z,X,12.95,13.0,12.95,2.0,13.0,2025-11-21T17:07:00Z,5.0,12.96,10.9,10.9,10.9,1.0,10.9,2025-11-18T05:00:00Z,1.0,10.9,2027-01-15,46000
BTC270115C00047000,0.5223,0.5121,0.0183,0.1523,-0.0119,0.1666,6.98,6.98,6.98,1.0,6.98,2025-11-24T05:00:00Z,10.0,6.98,8.1,70,A,5.13,67,A,A,2025-12-02T14:50:58.353147526Z,a,6.98,10.0,2025-11-24T18:41:40.347367714Z,X,6.98,6.98,6.98,1.0,6.98,2025-11-24T18:41:00Z,10.0,6.98,9.1,9.1,9.1,1.0,9.1,2025-11-14T05:00:00Z,2.0,9.1,2027-01-15,47000
BTC260116P00047000,0.3719,-0.8918,0.0361,-0.0527,-0.0062,0.0258,9.35,9.35,9.35,1.0,9.35,2025-11-24T05:00:00Z,1.0,9.35,8.85,72,A,6.28,45,X,A,2025-12-02T14:50:51.491588939Z,g,9.35,1.0,2025-11-24T16:52:12.383878653Z,C,9.35,9.35,9.35,1.0,9.35,2025-11-24T16:52:00Z,1.0,9.35,6.9,7.38,6.9,3.0,7.38,2025-11-18T05:00:00Z,3.0,7.08,2026-01-16,47000
BTC260320P00049000,0.59,-0.684,0.0281,-0.113,-0.0169,0.0764,5.95,5.95,5.95,1.0,5.95,2025-11-03T05:00:00Z,1.0,5.95,12.22,113,X,10.17,595,A,A,2025-12-02T14:50:55.355941113Z,g,5.95,1.0,2025-11-03T15:58:01.079681813Z,C,5.95,5.95,5.95,1.0,5.95,2025-11-03T15:58:00Z,1.0,5.95,4.5,4.5,4.5,1.0,4.5,2025-10-07T04:00:00Z,1.0,4.5,2026-03-20,49000
BTC280121P00057000,0.5508,-0.4869,0.0125,-0.8862,-0.0044,0.2301,,,,,,,,,24.25,12,T,20.25,22,A,A,2025-12-02T14:50:55.383135112Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,57000
BTC270115P00030000,0.5393,-0.2023,0.0125,-0.1282,-0.0067,0.1178,3.7,3.7,3.7,1.0,3.7,2025-12-01T05:00:00Z,1.0,3.7,4.95,165,A,1.97,154,A,A,2025-12-02T14:51:01.673696217Z,g,3.7,1.0,2025-12-01T15:28:19.690619845Z,A,3.7,3.7,3.7,1.0,3.7,2025-12-01T15:28:00Z,1.0,3.7,3.1,3.1,3.1,1.0,3.1,2025-11-28T05:00:00Z,1.0,3.1,2027-01-15,30000
BTC260320C00054000,0.5172,0.1751,0.0232,0.0177,-0.0139,0.0554,0.75,0.8,0.75,2.0,0.8,2025-12-01T05:00:00Z,7.0,0.785714,1.28,30,P,0.57,288,A,A,2025-12-02T14:51:04.534410418Z,I,0.75,2.0,2025-12-01T19:44:10.982755624Z,U,0.75,0.75,0.75,1.0,0.75,2025-12-01T19:44:00Z,2.0,0.75,1.23,1.45,1.23,3.0,1.45,2025-11-26T05:00:00Z,9.0,1.36,2026-03-20,54000
BTC251219C00044000,0.5285,0.1894,0.0602,0.0033,-0.0366,0.0231,0.22,0.35,0.21,5.0,0.35,2025-12-01T05:00:00Z,7.0,0.238571,0.77,345,A,0.12,48,X,A,2025-12-02T14:51:01.967336456Z,g,0.22,1.0,2025-12-01T20:37:24.444642388Z,C,0.22,0.22,0.22,1.0,0.22,2025-12-01T20:37:00Z,1.0,0.22,0.5,0.77,0.5,6.0,0.62,2025-11-28T05:00:00Z,8.0,0.59875,2025-12-19,44000
BTC270115P00073000,0.617,-0.7109,0.0133,-0.6979,-0.0049,0.1428,,,,,,,,,36.22,12,T,32.229,12,T,A,2025-12-02T14:48:14.661882366Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,73000
BTC270115P00020000,0.6064,-0.0749,0.0056,-0.0458,-0.004,0.0591,1.5,1.5,1.0,2.0,1.0,2025-10-15T04:00:00Z,2.0,1.25,1.93,77,A,0.33,265,I,A,2025-12-02T14:50:33.473001606Z,I,1.5,1.0,2025-10-15T19:13:07.735548541Z,A,1.5,1.5,1.5,1.0,1.5,2025-10-15T19:13:00Z,1.0,1.5,,,,,,,,,2027-01-15,20000
BTC251219C00074000,,,,,,,0.6,0.6,0.6,1.0,0.6,2025-10-10T04:00:00Z,2.0,0.6,0.77,403,A,0.0,0,?,A,2025-12-02T14:48:02.587128257Z,I,0.6,2.0,2025-10-10T18:03:06.748964128Z,A,0.6,0.6,0.6,1.0,0.6,2025-10-10T18:03:00Z,2.0,0.6,0.7,0.7,0.7,1.0,0.7,2025-10-02T04:00:00Z,2.0,0.7,2025-12-19,74000
BTC280121P00075000,0.6114,-0.5767,0.0111,-1.2877,-0.0035,0.2259,26.1,26.44,26.1,3.0,26.44,2025-10-06T04:00:00Z,17.0,26.237059,39.06,11,B,35.94,6,U, ,2025-12-02T14:49:17.666292348Z,I,26.1,10.0,2025-10-06T18:37:44.837738433Z,T,26.1,26.1,26.1,1.0,26.1,2025-10-06T18:37:00Z,10.0,26.1,27.95,27.95,27.95,1.0,27.95,2025-10-02T04:00:00Z,10.0,27.95,2028-01-21,75000
BTC251219C00036000,0.5068,0.8192,0.061,0.0132,-0.0364,0.0224,4.82,5.0,4.82,7.0,5.0,2025-11-28T05:00:00Z,19.0,4.972632,4.62,323,X,3.34,199,A,A,2025-12-02T14:50:42.359112092Z,g,4.82,2.0,2025-11-28T17:33:16.338374631Z,C,4.82,4.82,4.82,1.0,4.82,2025-11-28T17:33:00Z,2.0,4.82,3.28,3.3,3.28,2.0,3.3,2025-11-21T05:00:00Z,3.0,3.293333,2025-12-19,36000
BTC280121P00030000,0.5827,-0.2033,0.0084,-0.3042,-0.0048,0.1631,5.8,5.8,5.8,1.0,5.8,2025-11-28T05:00:00Z,1.0,5.8,8.46,22,A,3.96,26,A,A,2025-12-02T14:51:06.947317209Z,a,5.8,1.0,2025-11-28T17:59:59.663393985Z,C,5.8,5.8,5.8,1.0,5.8,2025-11-28T17:59:00Z,1.0,5.8,5.76,6.5,5.76,2.0,6.5,2025-11-26T05:00:00Z,3.0,6.006667,2028-01-21,30000
BTC270115P00067000,0.556,-0.7052,0.0148,-0.6287,-0.0045,0.1441,,,,,,,,,29.9,12,T,26.65,14,B, ,2025-12-02T14:45:41.065641143Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,67000
BTC260116C00050000,0.5336,0.1264,0.0281,0.0056,-0.0175,0.0287,0.3,0.35,0.25,9.0,0.25,2025-12-01T05:00:00Z,41.0,0.303415,0.63,125,A,0.23,110,A,A,2025-12-02T14:50:59.26073843Z,I,0.28,5.0,2025-12-01T19:10:51.816597773Z,U,0.3,0.3,0.3,4.0,0.3,2025-12-01T19:10:00Z,32.0,0.3,0.46,0.55,0.46,7.0,0.54,2025-11-28T05:00:00Z,46.0,0.517609,2026-01-16,50000
BTC270115P00041000,0.5298,-0.3893,0.0173,-0.2697,-0.0081,0.1602,7.4,7.4,7.4,1.0,7.4,2025-11-14T05:00:00Z,3.0,7.4,10.36,23,A,7.05,32,A,A,2025-12-02T14:50:56.845913437Z,g,7.4,3.0,2025-11-14T20:39:49.167187908Z,C,7.4,7.4,7.4,1.0,7.4,2025-11-14T20:39:00Z,3.0,7.4,6.8,6.8,6.8,1.0,6.8,2025-11-12T05:00:00Z,5.0,6.8,2027-01-15,41000
BTC260320C00047000,0.5843,0.361,0.0299,0.0344,-0.0229,0.0804,1.83,1.85,1.83,2.0,1.85,2025-12-01T05:00:00Z,2.0,1.84,3.66,834,X,1.57,343,A,A,2025-12-02T14:50:22.494277247Z,g,1.83,1.0,2025-12-01T14:40:07.289896497Z,A,1.83,1.83,1.83,1.0,1.83,2025-12-01T14:40:00Z,1.0,1.83,1.84,1.84,1.84,1.0,1.84,2025-11-24T05:00:00Z,4.0,1.84,2026-03-20,47000
BTC270115C00064000,0.5412,0.3121,0.0156,0.0993,-0.0106,0.1478,,,,,,,,,4.88,112,A,2.029,60,A,A,2025-12-02T14:51:03.826294617Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,64000
BTC280121P00056000,0.5621,-0.4721,0.0123,-0.8637,-0.0047,0.2296,,,,,,,,,24.38,26,A,19.19,38,A,A,2025-12-02T14:50:54.987476594Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,56000
BTC270115C00034000,0.5757,0.7299,0.0137,0.1838,-0.0113,0.1382,12.22,12.22,12.22,1.0,12.22,2025-11-26T05:00:00Z,1.0,12.22,13.82,64,A,11.0,40,A,A,2025-12-02T14:51:04.353632124Z,a,12.22,1.0,2025-11-26T20:57:46.523137451Z,E,12.22,12.22,12.22,1.0,12.22,2025-11-26T20:57:00Z,1.0,12.22,11.17,11.17,11.17,1.0,11.17,2025-11-21T05:00:00Z,1.0,11.17,2027-01-15,34000
BTC251219C00053000,,,,,,,0.26,0.26,0.26,1.0,0.26,2025-12-01T05:00:00Z,3.0,0.26,0.73,658,A,0.0,0,?,A,2025-12-02T14:48:02.586527246Z,g,0.26,3.0,2025-12-01T16:52:54.751140021Z,C,0.26,0.26,0.26,1.0,0.26,2025-12-01T16:52:00Z,3.0,0.26,0.11,0.11,0.11,1.0,0.11,2025-11-24T05:00:00Z,1.0,0.11,2025-12-19,53000
