symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260116C00064000,1.77,1.77,1.65,2.0,1.65,2025-10-13T04:00:00Z,2.0,1.71,0.32,93,A,0.0,0,?,O,2025-11-20T19:45:48.226833989Z,f,1.77,1.0,2025-10-13T18:37:55.117590789Z,I,1.77,1.77,1.77,1.0,1.77,2025-10-13T18:37:00Z,1.0,1.77,3.01,3.01,3.01,1.0,3.01,2025-10-06T04:00:00Z,1.0,3.01,2026-01-16,64000,,,,,,
BTC260618P00049000,7.55,7.55,7.55,1.0,7.55,2025-11-03T05:00:00Z,1.0,7.55,12.81,17,A,11.26,575,X,A,2025-11-20T20:00:20.499639237Z,g,7.55,1.0,2025-11-03T15:58:01.079681813Z,C,7.55,7.55,7.55,1.0,7.55,2025-11-03T15:58:00Z,1.0,7.55,,,,,,,,,2026-06-18,49000,0.4696,-0.6729,0.0264,-0.2178,-0.0079,0.105
BTC260618P00060000,21.3,21.3,21.3,1.0,21.3,2025-11-19T05:00:00Z,2.0,21.3,22.16,20,M,20.68,47,B, ,2025-11-20T19:47:02.144564518Z,I,21.3,2.0,2025-11-19T17:37:39.813320246Z,I,21.3,21.3,21.3,1.0,21.3,2025-11-19T17:37:00Z,2.0,21.3,18.5,18.5,18.48,5.0,18.48,2025-11-14T05:00:00Z,68.0,18.491471,2026-06-18,60000,0.4863,-0.8338,0.0176,-0.3073,-0.0029,0.0726
BTC260618C00065000,,,,,,,,,1.82,312,A,0.32,442,A,A,2025-11-20T20:00:48.664261732Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,65000,0.544,0.1541,0.015,0.0279,-0.0094,0.0691
BTC280121P00061000,,,,,,,,,28.05,21,C,23.54,30,A,A,2025-11-20T20:00:48.223113389Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,61000,0.5509,-0.5308,0.0128,-1.0017,-0.0036,0.2248
BTC260618C00043000,4.72,4.72,4.72,1.0,4.72,2025-11-20T05:00:00Z,5.0,4.72,5.61,494,A,4.35,211,X,O,2025-11-20T20:00:44.038152613Z,a,4.72,5.0,2025-11-20T18:51:13.500364271Z,X,4.72,4.72,4.72,1.0,4.72,2025-11-20T18:51:00Z,5.0,4.72,7.16,7.16,7.16,1.0,7.16,2025-11-14T05:00:00Z,5.0,7.16,2026-06-18,43000,0.5526,0.4957,0.0248,0.0808,-0.0167,0.1161
BTC260320P00050000,7.35,7.35,7.35,1.0,7.35,2025-11-12T05:00:00Z,2.0,7.35,12.75,68,X,11.04,57,C,A,2025-11-20T20:00:13.856215994Z,g,7.35,2.0,2025-11-12T18:13:46.487345604Z,C,7.35,7.35,7.35,1.0,7.35,2025-11-12T18:13:00Z,2.0,7.35,7.01,7.01,7.01,1.0,7.01,2025-11-10T05:00:00Z,2.0,7.01,2026-03-20,50000,0.437,-0.8108,0.0282,-0.1414,-0.0063,0.0595
BTC260618C00047000,5.69,5.69,5.69,1.0,5.69,2025-11-14T05:00:00Z,2.0,5.69,5.08,622,A,3.17,61,X,A,2025-11-20T20:00:37.157989859Z,f,5.69,2.0,2025-11-14T16:01:49.038678065Z,M,5.69,5.69,5.69,1.0,5.69,2025-11-14T16:01:00Z,2.0,5.69,9.5,9.5,9.5,2.0,9.5,2025-10-21T04:00:00Z,4.0,9.5,2026-06-18,47000,0.5793,0.4235,0.0232,0.0697,-0.017,0.114
BTC260116P00059000,,,,,,,,,21.29,21,Z,19.27,22,Z,A,2025-11-20T19:45:48.207487689Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,59000,0.4064,-0.9948,0.0024,-0.0913,0.0055,0.0023
BTC270115P00048000,,,,,,,,,15.62,17,S,11.35,25,A,A,2025-11-20T20:00:00.13086169Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,48000,0.5104,-0.5243,0.0189,-0.3876,-0.0067,0.1641
BTC251219P00028000,,,,,,,,,0.48,14,E,0.0,0,?,A,2025-11-20T20:00:19.10026375Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,28000,,,,,,
BTC260116P00064000,,,,,,,,,26.52,25,C,24.7,21,E,A,2025-11-20T20:00:44.48051393Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,64000,0.8045,-0.9238,0.0117,-0.0953,-0.0088,0.0217
BTC260116P00046000,5.71,5.71,5.71,1.0,5.71,2025-11-17T05:00:00Z,5.0,5.71,8.65,58,X,7.02,51,B, ,2025-11-20T20:00:36.617986302Z,g,5.71,5.0,2025-11-17T14:40:07.809113778Z,C,5.71,5.71,5.71,1.0,5.71,2025-11-17T14:40:00Z,5.0,5.71,5.5,5.5,5.5,1.0,5.5,2025-11-14T05:00:00Z,1.0,5.5,2026-01-16,46000,0.411,-0.8408,0.0389,-0.0626,-0.009,0.0368
BTC260116C00049000,0.67,0.67,0.67,1.0,0.67,2025-11-20T05:00:00Z,1.0,0.67,0.87,39,P,0.52,37,P, ,2025-11-20T19:45:48.207943909Z,a,0.67,1.0,2025-11-20T17:55:36.863368594Z,X,0.67,0.67,0.67,1.0,0.67,2025-11-20T17:55:00Z,1.0,0.67,0.8,0.8,0.8,1.0,0.8,2025-11-19T05:00:00Z,1.0,0.8,2026-01-16,49000,0.563,0.1684,0.0295,0.009,-0.0195,0.0381
BTC270115P00044000,6.4,6.4,6.4,1.0,6.4,2025-09-30T04:00:00Z,2.0,6.4,12.03,31,A,8.84,54,A,A,2025-11-20T20:00:31.852927026Z,I,6.57,2.0,2025-09-30T17:40:27.219148544Z,I,6.4,6.4,6.4,1.0,6.4,2025-09-30T17:40:00Z,2.0,6.4,,,,,,,,,2027-01-15,44000,0.4889,-0.4687,0.0197,-0.3278,-0.0068,0.1639
BTC260320P00053000,12.23,12.23,12.23,1.0,12.23,2025-11-17T05:00:00Z,1.0,12.23,15.95,30,B,13.62,47,B, ,2025-11-20T19:37:05.458056462Z,a,12.25,1.0,2025-11-17T14:56:09.52129998Z,J,12.23,12.23,12.23,1.0,12.23,2025-11-17T14:56:00Z,1.0,12.23,,,,,,,,,2026-03-20,53000,0.4847,-0.8359,0.0232,-0.1541,-0.006,0.0544
BTC260116P00053000,5.55,5.55,4.9,3.0,4.9,2025-10-27T04:00:00Z,6.0,5.341667,15.32,19,N,13.37,35,B,A,2025-11-20T20:00:15.030769052Z,a,5.55,1.0,2025-10-27T14:25:37.495680773Z,A,5.55,5.55,5.55,1.0,5.55,2025-10-27T14:25:00Z,1.0,5.55,6.95,6.95,6.95,1.0,6.95,2025-10-20T04:00:00Z,5.0,6.95,2026-01-16,53000,0.3743,-0.9807,0.0083,-0.0812,0.0032,0.0071
BTC260618P00058000,,,,,,,,,22.13,41,B,18.77,47,B, ,2025-11-20T19:37:05.396680547Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,58000,0.5785,-0.7496,0.0189,-0.2831,-0.0077,0.0926
BTC251219C00067000,,,,,,,,,0.73,458,A,0.0,0,?,A,2025-11-20T19:45:48.22156796Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,67000,,,,,,
BTC260116C00060000,0.42,0.42,0.42,1.0,0.42,2025-11-19T05:00:00Z,10.0,0.42,0.68,632,A,0.08,35,P, ,2025-11-20T19:54:48.429487456Z,f,0.42,10.0,2025-11-19T18:06:04.652822511Z,W,0.42,0.42,0.42,1.0,0.42,2025-11-19T18:06:00Z,10.0,0.42,0.3,0.5,0.24,4.0,0.24,2025-11-18T05:00:00Z,11.0,0.361818,2026-01-16,60000,0.7317,0.0837,0.0139,0.0044,-0.0153,0.0233
BTC260116C00041000,2.58,2.58,2.58,1.0,2.58,2025-11-20T05:00:00Z,2.0,2.58,3.36,901,X,2.14,21,P, ,2025-11-20T20:00:33.119723855Z,a,2.58,2.0,2025-11-20T16:12:44.06095216Z,E,2.58,2.58,2.58,1.0,2.58,2025-11-20T16:12:00Z,2.0,2.58,,,,,,,,,2026-01-16,41000,0.6146,0.4497,0.0425,0.0227,-0.0339,0.06
BTC260320P00035000,2.69,2.69,2.6,2.0,2.6,2025-11-20T05:00:00Z,2.0,2.645,3.13,44,X,2.6,43,P, ,2025-11-20T20:00:20.904846157Z,a,2.69,1.0,2025-11-20T16:48:33.705327576Z,B,2.69,2.69,2.69,1.0,2.69,2025-11-20T16:48:00Z,1.0,2.69,2.37,2.37,2.37,1.0,2.37,2025-11-19T05:00:00Z,1.0,2.37,2026-03-20,35000,0.5442,-0.3116,0.0295,-0.0487,-0.0161,0.0778
BTC251121P00046000,6.0,6.0,5.75,2.0,5.75,2025-11-20T05:00:00Z,2.0,5.875,8.08,62,B,6.34,40,C,A,2025-11-20T20:00:35.444116558Z,g,6.0,1.0,2025-11-20T15:35:37.898917514Z,A,6.0,6.0,6.0,1.0,6.0,2025-11-20T15:35:00Z,1.0,6.0,6.7,6.7,5.67,5.0,5.67,2025-11-19T05:00:00Z,13.0,6.357692,2025-11-21,46000,,,,,,
BTC270115C00069000,,,,,,,,,5.59,38,A,2.02,11,E,A,2025-11-20T20:00:28.594827092Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,69000,0.6228,0.3146,0.0138,0.0954,-0.0116,0.1463
BTC260116P00032000,,,,,,,,,1.13,61,B,0.42,528,A,A,2025-11-20T20:00:34.138570575Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,32000,0.5401,-0.1621,0.03,-0.0109,-0.0169,0.0372
BTC251219P00034000,0.63,0.63,0.6,3.0,0.6,2025-11-20T05:00:00Z,3.0,0.62,0.97,77,Z,0.48,241,X, ,2025-11-20T19:49:54.236662417Z,g,0.63,1.0,2025-11-20T17:57:04.026861935Z,C,0.63,0.63,0.63,2.0,0.63,2025-11-20T17:57:00Z,2.0,0.63,0.6,0.6,0.48,2.0,0.48,2025-11-19T05:00:00Z,3.0,0.56,2025-12-19,34000,0.5683,-0.1964,0.0451,-0.0066,-0.0285,0.03
BTC280121P00075000,26.1,26.44,26.1,3.0,26.44,2025-10-06T04:00:00Z,17.0,26.237059,39.93,14,P,35.68,19,P, ,2025-11-20T19:45:48.210400861Z,I,26.1,10.0,2025-10-06T18:37:44.837738433Z,T,26.1,26.1,26.1,1.0,26.1,2025-10-06T18:37:00Z,10.0,26.1,27.95,27.95,27.95,1.0,27.95,2025-10-02T04:00:00Z,10.0,27.95,2028-01-21,75000,0.5966,-0.5955,0.0115,-1.3161,-0.0028,0.219
BTC251121P00052000,11.2,11.2,11.2,1.0,11.2,2025-11-18T05:00:00Z,5.0,11.2,14.21,68,B,12.63,43,X, ,2025-11-20T19:53:13.58812991Z,I,11.11,5.0,2025-11-18T15:45:32.856651201Z,N,11.2,11.2,11.2,1.0,11.2,2025-11-18T15:45:00Z,5.0,11.2,10.26,10.26,10.26,1.0,10.26,2025-11-17T05:00:00Z,3.0,10.26,2025-11-21,52000,,,,,,
BTC251219C00049000,0.28,0.28,0.28,1.0,0.28,2025-11-20T05:00:00Z,1.0,0.28,0.32,37,P,0.0,0,?, ,2025-11-20T19:45:48.206712924Z,g,0.28,1.0,2025-11-20T17:48:06.896112825Z,C,0.28,0.28,0.28,1.0,0.28,2025-11-20T17:48:00Z,1.0,0.28,0.4,0.4,0.05,3.0,0.05,2025-11-19T05:00:00Z,4.0,0.2125,2025-12-19,49000,,,,,,
BTC260116C00046000,1.05,1.05,1.05,1.0,1.05,2025-11-20T05:00:00Z,5.0,1.05,1.53,567,A,0.87,68,B,O,2025-11-20T20:00:12.652749546Z,I,1.05,5.0,2025-11-20T17:35:19.045841913Z,P,1.05,1.05,1.05,1.0,1.05,2025-11-20T17:35:00Z,5.0,1.05,1.3,1.35,1.3,3.0,1.35,2025-11-19T05:00:00Z,9.0,1.305556,2026-01-16,46000,0.5753,0.2555,0.0369,0.0134,-0.0255,0.0487
BTC280121C00046000,11.0,11.72,11.0,2.0,11.72,2025-11-20T05:00:00Z,4.0,11.18,12.15,10,S,9.84,39,A,A,2025-11-20T20:00:41.406837895Z,I,11.0,3.0,2025-11-20T17:44:49.915564555Z,T,11.0,11.0,11.0,1.0,11.0,2025-11-20T17:44:00Z,3.0,11.0,12.9,12.9,12.9,1.0,12.9,2025-11-18T05:00:00Z,1.0,12.9,2028-01-21,46000,0.5656,0.6121,0.012,0.2711,-0.0089,0.2165
BTC251219P00042000,4.45,4.45,3.95,3.0,3.95,2025-11-20T05:00:00Z,3.0,4.24,4.93,127,A,4.28,52,P,A,2025-11-20T20:00:36.575107031Z,I,4.45,1.0,2025-11-20T18:33:14.667524684Z,Z,4.45,4.45,4.45,1.0,4.45,2025-11-20T18:33:00Z,1.0,4.45,3.2,3.2,2.96,3.0,3.1,2025-11-19T05:00:00Z,4.0,3.115,2025-12-19,42000,0.5489,-0.6867,0.0597,-0.0246,-0.0329,0.0383
BTC251219P00062000,11.65,11.65,11.65,1.0,11.65,2025-08-14T04:00:00Z,1.0,11.65,24.71,15,X,22.69,20,E, ,2025-11-20T19:57:03.789946228Z,f,11.65,1.0,2025-08-14T14:19:00.805209005Z,M,11.65,11.65,11.65,1.0,11.65,2025-08-14T14:19:00Z,1.0,11.65,,,,,,,,,2025-12-19,62000,,,,,,
BTC280121P00060000,20.84,20.84,20.84,1.0,20.84,2025-10-16T04:00:00Z,2.0,20.84,26.99,35,A,23.58,31,B,A,2025-11-20T20:00:45.608757377Z,a,20.84,2.0,2025-10-16T16:43:29.135361087Z,X,20.84,20.84,20.84,1.0,20.84,2025-10-16T16:43:00Z,2.0,20.84,,,,,,,,,2028-01-21,60000,0.5617,-0.516,0.0126,-0.9782,-0.0039,0.2253
BTC280121P00043000,10.75,10.75,10.75,1.0,10.75,2025-11-04T05:00:00Z,1.0,10.75,15.62,4,S,11.16,13,S,A,2025-11-20T19:51:34.415830732Z,f,10.75,1.0,2025-11-04T19:04:30.563671391Z,I,10.75,10.75,10.75,1.0,10.75,2025-11-04T19:04:00Z,1.0,10.75,,,,,,,,,2028-01-21,43000,0.5601,-0.359,0.0118,-0.5894,-0.005,0.2112
BTC251121C00044000,0.02,0.02,0.02,2.0,0.02,2025-11-20T05:00:00Z,6.0,0.02,0.07,43,B,0.0,0,?, ,2025-11-20T19:52:22.851265539Z,g,0.02,5.0,2025-11-20T17:50:37.952552047Z,A,0.02,0.02,0.02,1.0,0.02,2025-11-20T17:50:00Z,5.0,0.02,0.04,0.05,0.04,2.0,0.05,2025-11-19T05:00:00Z,33.0,0.049091,2025-11-21,44000,,,,,,
BTC270115P00051000,13.05,13.05,12.35,2.0,12.35,2025-11-04T05:00:00Z,5.0,12.77,17.06,29,P,14.19,35,A,A,2025-11-20T20:00:24.761235959Z,f,13.05,3.0,2025-11-04T17:09:33.616329661Z,J,13.05,13.05,12.35,2.0,12.35,2025-11-04T17:09:00Z,5.0,12.77,11.94,11.94,11.94,1.0,11.94,2025-11-03T05:00:00Z,2.0,11.94,2027-01-15,51000,0.5097,-0.5685,0.0187,-0.4318,-0.0062,0.162
