symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260116C00069000,0.2,0.2,0.2,1.0,0.2,2025-11-21T05:00:00Z,6.0,0.2,0.73,367,A,0.0,0,?, ,2025-12-03T14:50:08.641740879Z,I,0.2,6.0,2025-11-21T14:58:59.139068478Z,D,0.2,0.2,0.2,1.0,0.2,2025-11-21T14:58:00Z,6.0,0.2,1.0,1.0,1.0,1.0,1.0,2025-09-29T04:00:00Z,6.0,1.0,2026-01-16,69000,,,,,,
BTC270115C00033000,,,,,,,,,14.79,33,A,12.21,47,A,A,2025-12-03T14:50:00.831648633Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,33000,0.5227,0.7725,0.0133,0.2049,-0.0101,0.1315
BTC280121P00045000,9.4,9.4,9.4,1.0,9.4,2025-09-22T04:00:00Z,2.0,9.4,15.69,20,A,11.24,30,A,A,2025-12-03T14:50:13.701620236Z,I,9.4,2.0,2025-09-22T17:10:52.183830047Z,I,9.4,9.4,9.4,1.0,9.4,2025-09-22T17:10:00Z,2.0,9.4,8.7,8.7,8.7,1.0,8.7,2025-09-19T04:00:00Z,2.0,8.7,2028-01-21,45000,0.5538,-0.3515,0.0111,-0.5965,-0.0055,0.2233
BTC270115P00048000,,,,,,,,,14.14,31,A,10.17,38,A,A,2025-12-03T14:50:06.127127492Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,48000,0.5195,-0.4736,0.0176,-0.354,-0.0081,0.1734
BTC251219P00027000,,,,,,,,,0.77,317,A,0.0,0,?, ,2025-12-03T14:50:06.119073093Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,27000,,,,,,
BTC270115P00050000,14.5,14.5,14.5,1.0,14.5,2025-11-21T05:00:00Z,2.0,14.5,15.07,37,A,12.16,34,A,A,2025-12-03T14:50:08.986691373Z,I,14.67,2.0,2025-11-21T18:51:48.766962334Z,E,14.5,14.5,14.5,1.0,14.5,2025-11-21T18:51:00Z,2.0,14.5,11.84,11.84,11.84,1.0,11.84,2025-11-06T05:00:00Z,1.0,11.84,2027-01-15,50000,0.5261,-0.5004,0.0174,-0.3827,-0.008,0.1738
BTC280121P00042000,10.2,10.2,10.2,1.0,10.2,2025-10-17T04:00:00Z,1.0,10.2,14.15,27,A,9.53,39,A,A,2025-12-03T14:49:42.35332838Z,I,10.2,1.0,2025-10-17T14:21:48.381538414Z,P,10.2,10.2,10.2,1.0,10.2,2025-10-17T14:21:00Z,1.0,10.2,8.2,8.2,8.2,1.0,8.2,2025-10-14T04:00:00Z,1.0,8.2,2028-01-21,42000,0.5629,-0.3184,0.0105,-0.5327,-0.0055,0.2148
BTC251219P00072000,,,,,,,,,32.259,34,A,29.33,41,S, ,2025-12-03T14:50:06.143922465Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,72000,,,,,,
BTC270115C00059000,,,,,,,,,7.1,48,A,2.48,69,A,A,2025-12-03T14:50:06.127929422Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,59000,0.5365,0.389,0.0164,0.1256,-0.012,0.167
BTC280121P00047000,15.91,15.91,15.91,1.0,15.91,2025-11-24T05:00:00Z,2.0,15.91,16.18,19,A,12.65,23,S,A,2025-12-03T14:50:07.116055471Z,a,15.91,2.0,2025-11-24T17:24:00.110365713Z,X,15.91,15.91,15.91,1.0,15.91,2025-11-24T17:24:00Z,2.0,15.91,14.38,14.38,14.38,2.0,14.38,2025-11-17T05:00:00Z,2.0,14.38,2028-01-21,47000,0.5402,-0.3762,0.0117,-0.6385,-0.0053,0.2285
