symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC270115P00037000,0.4613,-0.3434,0.0193,-0.22,-0.0065,0.1516,6.0,6.0,6.0,1.0,6.0,2025-11-17T05:00:00Z,1.0,6.0,7.23,7,U,4.56,17,U,A,2025-11-20T19:30:11.124654912Z,a,6.0,1.0,2025-11-17T18:45:38.545362401Z,X,6.0,6.0,6.0,1.0,6.0,2025-11-17T18:45:00Z,1.0,6.0,4.84,4.84,4.84,1.0,4.84,2025-11-07T05:00:00Z,1.0,4.84,2027-01-15,37000
BTC280121C00057000,0.6045,0.5325,0.0116,0.241,-0.0096,0.2248,,,,,,,,,10.91,29,B,7.76,13,E,A,2025-11-20T19:30:11.112351043Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,57000
BTC260618C00055000,0.5826,0.2931,0.0203,0.0502,-0.0148,0.1002,2.71,2.72,2.71,2.0,2.72,2025-11-19T05:00:00Z,3.0,2.716667,3.23,714,X,1.83,23,P, ,2025-11-20T19:25:59.991903394Z,f,2.71,1.0,2025-11-19T17:52:10.601146468Z,M,2.71,2.72,2.71,2.0,2.72,2025-11-19T17:52:00Z,3.0,2.716667,2.61,2.61,2.61,1.0,2.61,2025-11-17T05:00:00Z,3.0,2.61,2026-06-18,55000
BTC251121C00045000,,,,,,,0.03,0.03,0.03,1.0,0.03,2025-11-20T05:00:00Z,1.0,0.03,0.03,27,I,0.0,0,?, ,2025-11-20T16:05:09.473116198Z,I,0.03,1.0,2025-11-20T14:54:57.227591818Z,Q,0.03,0.03,0.03,1.0,0.03,2025-11-20T14:54:00Z,1.0,0.03,0.03,0.03,0.03,1.0,0.03,2025-11-19T05:00:00Z,1.0,0.03,2025-11-21,45000
BTC251219C00056000,,,,,,,0.29,0.29,0.29,1.0,0.29,2025-11-19T05:00:00Z,1.0,0.29,0.73,509,A,0.0,0,?,A,2025-11-20T19:30:11.112967702Z,f,0.29,1.0,2025-11-19T19:08:56.213295031Z,C,0.29,0.29,0.29,1.0,0.29,2025-11-19T19:08:00Z,1.0,0.29,0.15,0.15,0.15,1.0,0.15,2025-11-14T05:00:00Z,1.0,0.15,2025-12-19,56000
BTC260116C00032000,0.7294,0.7871,0.0263,0.0345,-0.0306,0.0441,,,,,,,,,8.89,790,X,7.37,45,E,A,2025-11-20T19:30:12.356223606Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,32000
BTC280121P00047000,0.5199,-0.4161,0.0133,-0.6742,-0.0044,0.2206,14.38,14.38,14.38,2.0,14.38,2025-11-17T05:00:00Z,2.0,14.38,16.74,26,P,13.46,26,P,A,2025-11-20T18:45:48.745063678Z,a,14.38,1.0,2025-11-17T14:53:33.480833356Z,E,14.38,14.38,14.38,2.0,14.38,2025-11-17T14:53:00Z,2.0,14.38,10.85,10.85,10.85,1.0,10.85,2025-10-13T04:00:00Z,2.0,10.85,2028-01-21,47000
BTC251121P00046000,,,,,,,6.0,6.0,5.75,2.0,5.75,2025-11-20T05:00:00Z,2.0,5.875,8.02,56,A,6.34,40,C,A,2025-11-20T19:30:11.114276234Z,g,6.0,1.0,2025-11-20T15:35:37.898917514Z,A,6.0,6.0,6.0,1.0,6.0,2025-11-20T15:35:00Z,1.0,6.0,6.7,6.7,5.67,5.0,5.67,2025-11-19T05:00:00Z,13.0,6.357692,2025-11-21,46000
BTC251219P00045000,0.4072,-0.9033,0.0389,-0.0328,-0.0085,0.0185,6.5,6.5,5.11,6.0,5.25,2025-11-20T05:00:00Z,15.0,5.406667,6.96,19,C,6.37,42,B,A,2025-11-20T19:30:00.590644204Z,I,6.5,2.0,2025-11-20T16:48:58.753150657Z,C,6.5,6.5,6.5,1.0,6.5,2025-11-20T16:48:00Z,2.0,6.5,5.8,5.9,5.8,7.0,5.9,2025-11-19T05:00:00Z,28.0,5.871429,2025-12-19,45000
BTC251121C00051000,,,,,,,0.03,0.03,0.03,2.0,0.03,2025-11-18T05:00:00Z,4.0,0.03,0.38,449,A,0.0,0,?,O,2025-11-20T19:30:11.124183703Z,a,0.03,2.0,2025-11-18T17:44:19.021360232Z,X,0.03,0.03,0.03,1.0,0.03,2025-11-18T17:44:00Z,2.0,0.03,0.13,0.13,0.05,3.0,0.05,2025-11-17T05:00:00Z,10.0,0.058,2025-11-21,51000
BTC260320C00052000,0.5924,0.2462,0.0242,0.0257,-0.0179,0.0694,1.5,1.5,1.5,1.0,1.5,2025-11-19T05:00:00Z,1.0,1.5,2.98,721,X,0.27,739,X,A,2025-11-20T19:30:11.12350274Z,I,1.5,1.0,2025-11-19T17:37:44.04206604Z,A,1.5,1.5,1.5,1.0,1.5,2025-11-19T17:37:00Z,1.0,1.5,2.25,2.25,2.25,1.0,2.25,2025-11-14T05:00:00Z,5.0,2.25,2026-03-20,52000
BTC251121P00041000,,,,,,,2.65,2.65,0.89,5.0,0.95,2025-11-20T05:00:00Z,15.0,1.25,2.75,23,B,2.43,44,P,A,2025-11-20T19:30:04.013887449Z,I,2.65,1.0,2025-11-20T18:19:27.026652624Z,X,2.65,2.65,2.65,1.0,2.65,2025-11-20T18:19:00Z,1.0,2.65,1.7,2.0,0.86,10.0,1.45,2025-11-19T05:00:00Z,19.0,1.474211,2025-11-21,41000
BTC260320P00057000,0.4648,-0.9037,0.0167,-0.1743,-0.0017,0.0376,,,,,,,,,19.18,24,A,17.45,31,B,A,2025-11-20T19:30:09.338096234Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,57000
BTC260320C00057000,0.5883,0.167,0.0193,0.0178,-0.0141,0.0551,2.6,2.6,2.6,1.0,2.6,2025-11-05T05:00:00Z,2.0,2.6,1.47,299,A,0.52,11,U,A,2025-11-20T19:30:11.113608379Z,f,2.6,2.0,2025-11-05T16:00:11.00441389Z,J,2.6,2.6,2.6,1.0,2.6,2025-11-05T16:00:00Z,2.0,2.6,5.18,5.18,5.18,1.0,5.18,2025-10-13T04:00:00Z,3.0,5.18,2026-03-20,57000
BTC260116C00067000,,,,,,,,,,,,,,,0.73,269,A,0.0,0,?,A,2025-11-20T19:30:11.113167508Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,67000
