symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251121P00058000,12.2,12.2,12.2,1.0,12.2,2025-11-04T05:00:00Z,4.0,12.2,19.17,21,X,16.69,51,S,A,2025-11-19T19:11:10.019430898Z,f,12.2,4.0,2025-11-04T15:37:29.616536999Z,I,12.2,12.2,12.2,1.0,12.2,2025-11-04T15:37:00Z,4.0,12.2,2025-11-21,58000,7.3,7.3,7.3,1.0,7.3,2025-10-10T04:00:00Z,1.0,7.3,,,,,,
BTC280121C00055000,13.6,13.6,13.6,1.0,13.6,2025-11-10T05:00:00Z,1.0,13.6,12.02,15,B,7.12,11,E,A,2025-11-19T19:10:35.156435962Z,a,13.6,1.0,2025-11-10T20:46:23.733356984Z,X,13.6,13.6,13.6,1.0,13.6,2025-11-10T20:46:00Z,1.0,13.6,2028-01-21,55000,12.0,12.0,12.0,1.0,12.0,2025-11-04T05:00:00Z,1.0,12.0,0.5716,0.5443,0.0119,0.2585,-0.0094,0.2305
BTC280121C00065000,8.25,8.25,8.25,1.0,8.25,2025-11-17T05:00:00Z,4.0,8.25,9.85,8,E,4.97,16,A, ,2025-11-19T19:11:13.707802413Z,a,8.25,4.0,2025-11-17T15:20:45.129368923Z,X,8.25,8.25,8.25,1.0,8.25,2025-11-17T15:20:00Z,4.0,8.25,2028-01-21,65000,10.5,10.5,10.5,1.0,10.5,2025-11-04T05:00:00Z,1.0,10.5,0.5598,0.4576,0.0122,0.2311,-0.0091,0.2306
BTC260116C00025000,21.0,21.0,21.0,1.0,21.0,2025-11-11T05:00:00Z,14.0,21.0,16.79,678,X,14.15,96,A, ,2025-11-19T19:11:13.70789232Z,e,21.0,14.0,2025-11-11T20:07:04.266001933Z,B,21.0,21.0,21.0,1.0,21.0,2025-11-11T20:07:00Z,14.0,21.0,2026-01-16,25000,20.1,20.1,20.1,1.0,20.1,2025-11-06T05:00:00Z,3.0,20.1,1.0486,0.9057,0.0102,0.0322,-0.0261,0.0264
BTC260618C00049000,7.5,7.5,7.5,1.0,7.5,2025-10-30T04:00:00Z,5.0,7.5,4.57,336,A,3.16,126,A, ,2025-11-19T19:11:13.707932471Z,I,7.5,5.0,2025-10-30T17:23:20.060964512Z,A,7.5,7.5,7.5,1.0,7.5,2025-10-30T17:23:00Z,5.0,7.5,2026-06-18,49000,8.96,8.96,8.96,1.0,8.96,2025-10-29T04:00:00Z,1.0,8.96,0.5607,0.403,0.023,0.0695,-0.0166,0.1161
BTC251121P00055000,8.75,8.75,8.75,1.0,8.75,2025-11-11T05:00:00Z,1.0,8.75,15.59,26,C,13.85,51,B,A,2025-11-19T19:11:14.034950052Z,g,8.75,1.0,2025-11-11T15:15:08.54299221Z,C,8.75,8.75,8.75,1.0,8.75,2025-11-11T15:15:00Z,1.0,8.75,2025-11-21,55000,6.65,6.65,6.65,1.0,6.65,2025-10-31T04:00:00Z,10.0,6.65,,,,,,
BTC270115C00047000,9.1,9.1,9.1,1.0,9.1,2025-11-14T05:00:00Z,2.0,9.1,9.39,24,A,5.02,16,A,A,2025-11-19T19:00:27.101885638Z,f,9.1,2.0,2025-11-14T16:01:49.038681386Z,M,9.1,9.1,9.1,1.0,9.1,2025-11-14T16:01:00Z,2.0,9.1,2027-01-15,47000,10.3,10.3,10.3,1.0,10.3,2025-11-04T05:00:00Z,1.0,10.3,0.5487,0.5262,0.0171,0.1566,-0.0123,0.1688
BTC270115C00053000,6.2,6.2,6.2,1.0,6.2,2025-11-17T05:00:00Z,2.0,6.2,7.58,42,A,3.67,29,A,A,2025-11-19T19:10:49.865672377Z,I,6.2,2.0,2025-11-17T18:02:11.019207416Z,I,6.2,6.2,6.2,1.0,6.2,2025-11-17T18:02:00Z,2.0,6.2,2027-01-15,53000,8.79,8.79,8.79,1.0,8.79,2025-11-05T05:00:00Z,1.0,8.79,0.5456,0.4435,0.0171,0.1372,-0.012,0.1675
BTC251121P00035000,0.4,0.4,0.1,3.0,0.1,2025-11-19T05:00:00Z,3.0,0.223333,0.42,72,I,0.0,0,?, ,2025-11-19T19:09:05.745242435Z,I,0.4,1.0,2025-11-19T18:32:01.385858651Z,X,0.4,0.4,0.4,1.0,0.4,2025-11-19T18:32:00Z,1.0,0.4,2025-11-21,35000,0.1,0.2,0.1,2.0,0.2,2025-11-18T05:00:00Z,5.0,0.16,,,,,,
BTC260618P00058000,,,,,,,,,19.74,32,A,17.52,30,E, ,2025-11-19T19:00:27.017565368Z,,,,,,,,,,,,,,2026-06-18,58000,,,,,,,,,0.4651,-0.8032,0.0199,-0.2908,-0.004,0.0831
BTC260116C00063000,0.64,0.64,0.64,1.0,0.64,2025-11-05T05:00:00Z,1.0,0.64,0.73,300,A,0.0,0,?,A,2025-11-19T19:09:53.046085877Z,a,0.64,1.0,2025-11-05T20:13:44.271360995Z,X,0.64,0.64,0.64,1.0,0.64,2025-11-05T20:13:00Z,1.0,0.64,2026-01-16,63000,1.95,1.95,1.95,1.0,1.95,2025-10-14T04:00:00Z,1.0,1.95,,,,,,
BTC270115P00068000,,,,,,,,,31.84,12,E,26.57,13,E, ,2025-11-19T19:11:13.707394363Z,,,,,,,,,,,,,,2027-01-15,68000,,,,,,,,,0.5583,-0.7055,0.0146,-0.6594,-0.0043,0.1462
BTC270115C00069000,,,,,,,,,4.81,42,A,2.08,22,U,A,2025-11-19T19:11:13.708242908Z,,,,,,,,,,,,,,2027-01-15,69000,,,,,,,,,0.5753,0.298,0.0142,0.0961,-0.0108,0.147
