symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251219C00052000,0.09,0.09,0.09,1.0,0.09,2025-11-24T05:00:00Z,1.0,0.09,0.42,35,P,0.0,0,?, ,2025-11-26T20:57:00.484708883Z,a,0.08,1.0,2025-11-24T20:29:35.932092382Z,B,0.09,0.09,0.09,1.0,0.09,2025-11-24T20:29:00Z,1.0,0.09,0.2,0.2,0.1,7.0,0.12,2025-11-21T05:00:00Z,45.0,0.119111,2025-12-19,52000,,,,,,
BTC260116P00048000,9.25,9.25,9.25,1.0,9.25,2025-11-26T05:00:00Z,1.0,9.25,10.15,85,A,7.24,60,A,A,2025-11-26T20:59:48.729338821Z,f,9.25,1.0,2025-11-26T20:09:04.068037405Z,M,9.25,9.25,9.25,1.0,9.25,2025-11-26T20:09:00Z,1.0,9.25,10.3,10.3,10.3,1.0,10.3,2025-11-24T05:00:00Z,1.0,10.3,2026-01-16,48000,0.518,-0.8027,0.0364,-0.0557,-0.0169,0.0409
BTC251219P00054000,16.05,16.05,16.05,1.0,16.05,2025-11-24T05:00:00Z,9.0,16.05,15.77,35,B,13.12,35,B, ,2025-11-26T20:59:49.389542058Z,g,16.04,9.0,2025-11-24T16:25:03.604761394Z,A,16.05,16.05,16.05,1.0,16.05,2025-11-24T16:25:00Z,9.0,16.05,11.65,11.65,11.54,2.0,11.54,2025-11-14T05:00:00Z,11.0,11.64,2025-12-19,54000,0.8961,-0.8969,0.0205,-0.0302,-0.0303,0.0175
BTC280121P00043000,10.75,10.75,10.75,1.0,10.75,2025-11-04T05:00:00Z,1.0,10.75,15.44,9,S,10.44,12,E, ,2025-11-26T20:59:49.389757392Z,f,10.75,1.0,2025-11-04T19:04:30.563671391Z,I,10.75,10.75,10.75,1.0,10.75,2025-11-04T19:04:00Z,1.0,10.75,,,,,,,,,2028-01-21,43000,0.5621,-0.3436,0.0112,-0.5725,-0.0053,0.2148
BTC260320C00053000,1.0,1.0,1.0,2.0,1.0,2025-11-24T05:00:00Z,5.0,1.0,2.23,761,X,0.72,482,A,A,2025-11-26T20:59:49.391361969Z,I,1.0,1.0,2025-11-24T15:30:19.216180647Z,I,1.0,1.0,1.0,1.0,1.0,2025-11-24T15:30:00Z,1.0,1.0,0.98,0.98,0.98,3.0,0.98,2025-11-21T05:00:00Z,5.0,0.98,2026-03-20,53000,0.5606,0.2347,0.0247,0.0244,-0.0177,0.068
BTC280121P00048000,13.6,13.6,13.6,1.0,13.6,2025-10-22T04:00:00Z,2.0,13.6,18.17,8,P,13.95,6,U,A,2025-11-26T20:55:16.537642997Z,I,13.6,2.0,2025-10-22T16:06:50.110911821Z,I,13.6,13.6,13.6,1.0,13.6,2025-10-22T16:06:00Z,2.0,13.6,,,,,,,,,2028-01-21,48000,0.5582,-0.3953,0.0118,-0.684,-0.0052,0.2249
BTC280121P00063000,,,,,,,,,29.46,9,B,24.95,13,E, ,2025-11-26T20:59:49.389808072Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,63000,0.5767,-0.5151,0.0118,-1.0262,-0.0044,0.2328
BTC260116C00052000,0.5,0.5,0.5,1.0,0.5,2025-11-20T05:00:00Z,15.0,0.5,0.77,20,B,0.0,0,?, ,2025-11-26T20:56:40.863360177Z,I,0.48,15.0,2025-11-20T17:05:59.426183672Z,I,0.5,0.5,0.5,1.0,0.5,2025-11-20T17:05:00Z,15.0,0.5,0.91,0.91,0.91,1.0,0.91,2025-11-14T05:00:00Z,1.0,0.91,2026-01-16,52000,,,,,,
BTC260320C00035000,7.38,7.38,7.38,1.0,7.38,2025-11-26T05:00:00Z,1.0,7.38,9.08,715,A,6.08,696,A,A,2025-11-26T20:59:55.360670905Z,a,7.38,1.0,2025-11-26T20:22:29.019378681Z,J,7.38,7.38,7.38,1.0,7.38,2025-11-26T20:22:00Z,1.0,7.38,6.74,6.74,6.74,2.0,6.74,2025-11-25T05:00:00Z,2.0,6.74,2026-03-20,35000,0.5468,0.7306,0.0273,0.0666,-0.0199,0.0732
BTC260116P00045000,6.96,6.96,6.96,1.0,6.96,2025-11-26T05:00:00Z,8.0,6.96,7.02,95,X,5.57,479,A,A,2025-11-26T20:59:51.899305489Z,f,6.88,8.0,2025-11-26T17:46:56.403167183Z,A,6.96,6.96,6.96,1.0,6.96,2025-11-26T17:46:00Z,8.0,6.96,7.25,7.53,7.25,2.0,7.53,2025-11-25T05:00:00Z,2.0,7.39,2026-01-16,45000,0.5204,-0.6954,0.0456,-0.0466,-0.0233,0.0516
BTC260618C00047000,3.6,3.6,3.6,1.0,3.6,2025-11-24T05:00:00Z,1.0,3.6,5.06,662,X,2.87,577,A,A,2025-11-26T20:59:49.395090873Z,g,3.6,1.0,2025-11-24T19:00:39.910804271Z,A,3.6,3.6,3.6,1.0,3.6,2025-11-24T19:00:00Z,1.0,3.6,5.69,5.69,5.69,1.0,5.69,2025-11-14T05:00:00Z,2.0,5.69,2026-06-18,47000,0.5224,0.4292,0.0253,0.073,-0.0163,0.1166
BTC260618C00051000,8.4,8.4,8.4,1.0,8.4,2025-10-29T04:00:00Z,7.0,8.4,3.52,135,A,2.13,339,A, ,2025-11-26T20:59:49.390375386Z,I,8.4,7.0,2025-10-29T14:14:28.520135125Z,B,8.4,8.4,8.4,1.0,8.4,2025-10-29T14:14:00Z,7.0,8.4,,,,,,,,,2026-06-18,51000,0.5079,0.3409,0.0243,0.0598,-0.0147,0.1089
BTC270115C00049000,6.0,6.0,5.7,2.0,5.7,2025-11-21T05:00:00Z,4.0,5.85,7.8,150,A,5.08,163,A,A,2025-11-26T20:59:55.732247873Z,I,6.0,2.0,2025-11-21T17:25:03.822920547Z,I,6.0,6.0,6.0,1.0,6.0,2025-11-21T17:25:00Z,2.0,6.0,8.0,8.0,8.0,1.0,8.0,2025-11-14T05:00:00Z,2.0,8.0,2027-01-15,49000,0.5313,0.4939,0.0177,0.15,-0.0121,0.1692
BTC251219C00069000,0.2,0.2,0.2,1.0,0.2,2025-11-03T05:00:00Z,1.0,0.2,0.77,437,A,0.0,0,?,A,2025-11-26T20:59:49.393535613Z,I,0.2,1.0,2025-11-03T16:00:44.248273262Z,C,0.2,0.2,0.2,1.0,0.2,2025-11-03T16:00:00Z,1.0,0.2,1.15,1.15,1.15,1.0,1.15,2025-10-09T04:00:00Z,1.0,1.15,2025-12-19,69000,,,,,,
BTC251219C00075000,0.2,0.2,0.2,1.0,0.2,2025-11-13T05:00:00Z,1.0,0.2,0.77,614,A,0.0,0,?,A,2025-11-26T20:59:49.394948738Z,I,0.18,1.0,2025-11-13T18:52:10.333268615Z,P,0.2,0.2,0.2,1.0,0.2,2025-11-13T18:52:00Z,1.0,0.2,0.21,0.21,0.21,1.0,0.21,2025-10-30T04:00:00Z,5.0,0.21,2025-12-19,75000,,,,,,
BTC260116C00036000,4.7,4.7,4.7,1.0,4.7,2025-11-26T05:00:00Z,5.0,4.7,5.78,168,N,4.33,836,X,A,2025-11-26T20:59:53.146197105Z,g,4.7,5.0,2025-11-26T17:16:00.750399502Z,C,4.7,4.7,4.7,1.0,4.7,2025-11-26T17:16:00Z,5.0,4.7,4.8,4.8,4.57,2.0,4.57,2025-11-24T05:00:00Z,2.0,4.685,2026-01-16,36000,0.4608,0.7604,0.0457,0.0346,-0.0238,0.0458
BTC260320P00040000,4.4,4.4,4.4,1.0,4.4,2025-11-26T05:00:00Z,3.0,4.4,5.35,826,X,3.45,780,X, ,2025-11-26T20:56:03.978718424Z,I,4.4,3.0,2025-11-26T19:41:16.516214991Z,I,4.4,4.4,4.4,1.0,4.4,2025-11-26T19:41:00Z,3.0,4.4,5.7,5.7,5.7,1.0,5.7,2025-11-25T05:00:00Z,1.0,5.7,2026-03-20,40000,0.5173,-0.433,0.0343,-0.067,-0.0177,0.0871
BTC270115C00041000,9.77,9.77,9.77,1.0,9.77,2025-11-18T05:00:00Z,1.0,9.77,10.6,128,A,7.72,156,A,A,2025-11-26T20:59:49.392066896Z,a,9.77,1.0,2025-11-18T14:58:44.522367684Z,X,9.77,9.77,9.77,1.0,9.77,2025-11-18T14:58:00Z,1.0,9.77,15.55,15.55,15.55,1.0,15.55,2025-10-17T04:00:00Z,2.0,15.55,2027-01-15,41000,0.5401,0.6195,0.0166,0.1759,-0.012,0.1615
BTC251219P00059000,,,,,,,,,21.02,35,B,18.35,39,Z, ,2025-11-26T20:59:49.389562693Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,59000,,,,,,
BTC260320C00055000,1.16,1.16,1.16,1.0,1.16,2025-11-26T05:00:00Z,1.0,1.16,1.52,248,A,0.67,257,X,A,2025-11-26T20:59:55.368975637Z,a,1.16,1.0,2025-11-26T20:40:17.74238082Z,I,1.16,1.16,1.16,1.0,1.16,2025-11-26T20:40:00Z,1.0,1.16,1.07,1.07,0.82,3.0,0.82,2025-11-24T05:00:00Z,12.0,0.990833,2026-03-20,55000,0.5427,0.1894,0.0225,0.02,-0.0151,0.06
BTC260618P00049000,7.55,7.55,7.55,1.0,7.55,2025-11-03T05:00:00Z,1.0,7.55,13.05,538,A,10.36,709,X,A,2025-11-26T20:59:49.391863151Z,g,7.55,1.0,2025-11-03T15:58:01.079681813Z,C,7.55,7.55,7.55,1.0,7.55,2025-11-03T15:58:00Z,1.0,7.55,,,,,,,,,2026-06-18,49000,0.5286,-0.6093,0.0245,-0.2,-0.0112,0.114
BTC260320P00044000,7.55,7.55,7.55,4.0,7.55,2025-11-24T05:00:00Z,7.0,7.55,8.189,781,X,5.56,750,X, ,2025-11-26T20:55:04.592826763Z,g,7.55,3.0,2025-11-24T16:17:37.451340107Z,C,7.55,7.55,7.55,4.0,7.55,2025-11-24T16:17:00Z,7.0,7.55,7.5,7.5,7.5,1.0,7.5,2025-11-20T05:00:00Z,5.0,7.5,2026-03-20,44000,0.5234,-0.5624,0.034,-0.0906,-0.0172,0.0873
BTC270115C00045000,7.37,7.37,7.37,2.0,7.37,2025-11-26T05:00:00Z,2.0,7.37,8.48,102,A,7.14,97,A,A,2025-11-26T20:59:55.82942368Z,a,7.37,1.0,2025-11-26T16:46:46.390373141Z,E,7.37,7.37,7.37,2.0,7.37,2025-11-26T16:46:00Z,2.0,7.37,7.5,7.5,7.5,1.0,7.5,2025-11-25T05:00:00Z,1.0,7.5,2027-01-15,45000,0.5427,0.5574,0.0172,0.1632,-0.0123,0.1674
BTC260116C00047000,0.72,0.72,0.72,1.0,0.72,2025-11-26T05:00:00Z,1.0,0.72,1.53,613,A,0.33,287,A,A,2025-11-26T20:59:56.825257242Z,g,0.72,1.0,2025-11-26T19:40:17.696179868Z,C,0.72,0.72,0.72,1.0,0.72,2025-11-26T19:40:00Z,1.0,0.72,0.79,0.79,0.6,6.0,0.6,2025-11-24T05:00:00Z,21.0,0.650952,2026-01-16,47000,0.5184,0.2295,0.0397,0.0112,-0.024,0.0447
BTC260320C00075000,0.23,0.23,0.23,1.0,0.23,2025-11-25T05:00:00Z,1.0,0.23,0.67,30,P,0.0,0,?,A,2025-11-26T20:57:00.492509232Z,a,0.23,1.0,2025-11-25T16:13:43.850359345Z,X,0.23,0.23,0.23,1.0,0.23,2025-11-25T16:13:00Z,1.0,0.23,0.22,0.22,0.22,1.0,0.22,2025-11-21T05:00:00Z,3.0,0.22,2026-03-20,75000,,,,,,
BTC260618C00035000,8.26,8.26,8.26,1.0,8.26,2025-11-26T05:00:00Z,7.0,8.26,10.63,594,A,7.57,581,A,A,2025-11-26T20:59:58.650879439Z,a,8.26,7.0,2025-11-26T15:50:12.219355425Z,X,8.26,8.26,8.26,1.0,8.26,2025-11-26T15:50:00Z,7.0,8.26,8.26,8.26,8.26,1.0,8.26,2025-11-24T05:00:00Z,5.0,8.26,2026-06-18,35000,0.5428,0.7161,0.021,0.108,-0.0154,0.1006
BTC251219C00049000,0.16,0.16,0.16,1.0,0.16,2025-11-26T05:00:00Z,1.0,0.16,0.37,35,S,0.0,0,?, ,2025-11-26T20:56:40.86170256Z,a,0.16,1.0,2025-11-26T17:59:40.983356974Z,X,0.16,0.16,0.16,1.0,0.16,2025-11-26T17:59:00Z,1.0,0.16,0.15,0.15,0.15,3.0,0.15,2025-11-24T05:00:00Z,50.0,0.15,2025-12-19,49000,,,,,,
