symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC260618C00050000,0.5434,0.3305,0.0235,0.0554,-0.0144,0.103,3.75,3.85,3.75,2.0,3.85,2025-11-17T05:00:00Z,9.0,3.805556,3.44,140,A,2.029,323,A,A,2025-11-21T14:45:08.487088391Z,a,3.75,4.0,2025-11-17T19:52:38.512352807Z,X,3.75,3.75,3.75,1.0,3.75,2025-11-17T19:52:00Z,4.0,3.75,6.0,6.0,6.0,1.0,6.0,2025-11-13T05:00:00Z,1.0,6.0,2026-06-18,50000
BTC280121C00051000,0.5798,0.5601,0.0123,0.2484,-0.009,0.2181,17.43,17.43,17.43,1.0,17.43,2025-10-29T04:00:00Z,1.0,17.43,11.23,29,A,7.92,30,S,A,2025-11-21T14:45:03.422104707Z,a,17.43,1.0,2025-10-29T13:41:14.258350256Z,X,17.43,17.43,17.43,1.0,17.43,2025-10-29T13:41:00Z,1.0,17.43,20.0,20.0,20.0,3.0,20.0,2025-10-27T04:00:00Z,10.0,20.0,2028-01-21,51000
BTC251121P00050000,,,,,,,9.3,9.3,9.3,1.0,9.3,2025-11-18T05:00:00Z,3.0,9.3,14.27,380,A,11.68,61,X,A,2025-11-21T14:45:03.424124416Z,I,9.15,3.0,2025-11-18T17:07:49.150365607Z,N,9.3,9.3,9.3,1.0,9.3,2025-11-18T17:07:00Z,3.0,9.3,8.25,8.25,8.25,1.0,8.25,2025-11-17T05:00:00Z,2.0,8.25,2025-11-21,50000
BTC260320C00065000,0.5685,0.0683,0.0108,0.0073,-0.007,0.0283,0.45,0.7,0.45,8.0,0.69,2025-11-20T05:00:00Z,11.0,0.67,0.47,49,X,0.18,77,C,A,2025-11-21T14:45:06.764352672Z,I,0.45,1.0,2025-11-20T17:07:05.236895689Z,A,0.45,0.45,0.45,1.0,0.45,2025-11-20T17:07:00Z,1.0,0.45,2.49,2.49,2.49,1.0,2.49,2025-10-23T04:00:00Z,10.0,2.49,2026-03-20,65000
BTC251121C00040000,,,,,,,0.1,0.6,0.08,18.0,0.6,2025-11-20T05:00:00Z,210.0,0.253952,0.77,557,A,0.0,0,?,A,2025-11-21T14:45:05.5176991Z,I,0.1,2.0,2025-11-20T20:39:40.594758641Z,A,0.1,0.1,0.1,1.0,0.1,2025-11-20T20:39:00Z,2.0,0.1,0.55,0.8,0.15,16.0,0.8,2025-11-19T05:00:00Z,82.0,0.604634,2025-11-21,40000
BTC270115C00062000,0.5503,0.3133,0.016,0.0965,-0.0101,0.1428,10.25,10.25,10.25,1.0,10.25,2025-10-10T04:00:00Z,3.0,10.25,4.78,40,A,1.98,34,A,A,2025-11-21T14:45:08.814912331Z,a,10.25,3.0,2025-10-10T15:36:45.213356294Z,X,10.25,10.25,10.25,1.0,10.25,2025-10-10T15:36:00Z,3.0,10.25,11.6,11.6,11.6,1.0,11.6,2025-10-06T04:00:00Z,3.0,11.6,2027-01-15,62000
BTC260116P00063000,0.9498,-0.8826,0.0141,-0.0904,-0.0183,0.029,,,,,,,,,27.26,19,Z,24.25,22,Z, ,2025-11-21T14:44:02.104079831Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,63000
BTC270115P00072000,0.6503,-0.7009,0.0133,-0.7083,-0.005,0.1399,,,,,,,,,36.74,10,B,33.72,10,B,A,2025-11-21T14:36:57.076761291Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,72000
BTC280121C00070000,0.563,0.4008,0.0124,0.1979,-0.0084,0.2137,6.94,6.94,6.94,1.0,6.94,2025-11-17T05:00:00Z,1.0,6.94,7.41,62,A,4.43,18,B,A,2025-11-21T14:45:06.784653528Z,g,6.94,1.0,2025-11-17T16:00:48.185448237Z,A,6.94,6.94,6.94,1.0,6.94,2025-11-17T16:00:00Z,1.0,6.94,8.72,8.72,8.72,1.0,8.72,2025-11-04T05:00:00Z,3.0,8.72,2028-01-21,70000
BTC251121C00038000,,,,,,,1.75,1.75,1.75,1.0,1.75,2025-11-19T05:00:00Z,1.0,1.75,0.57,74,X,0.27,41,P,A,2025-11-21T14:45:08.294853742Z,I,1.75,1.0,2025-11-19T20:01:34.066127694Z,A,1.75,1.75,1.75,1.0,1.75,2025-11-19T20:01:00Z,1.0,1.75,,,,,,,,,2025-11-21,38000
BTC251121C00060000,,,,,,,0.03,0.03,0.03,2.0,0.03,2025-11-20T05:00:00Z,2.0,0.03,0.07,1,I,0.0,0,?, ,2025-11-21T14:31:39.153031008Z,f,0.03,1.0,2025-11-20T18:06:24.251672291Z,W,0.03,0.03,0.03,2.0,0.03,2025-11-20T18:06:00Z,2.0,0.03,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,2025-11-21,60000
BTC270115P00071000,0.6145,-0.7177,0.0136,-0.7,-0.0042,0.1362,,,,,,,,,35.7,14,E,32.06,15,M,A,2025-11-21T14:45:06.323228925Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,71000
BTC260320C00059000,0.5522,0.1084,0.0157,0.0115,-0.0096,0.0399,3.3,3.3,3.3,1.0,3.3,2025-10-16T04:00:00Z,1.0,3.3,0.92,52,X,0.17,766,X, ,2025-11-21T14:45:04.181424601Z,I,3.3,1.0,2025-10-16T16:00:57.061771548Z,P,3.3,3.3,3.3,1.0,3.3,2025-10-16T16:00:00Z,1.0,3.3,6.75,6.75,6.35,2.0,6.35,2025-10-06T04:00:00Z,3.0,6.483333,2026-03-20,59000
BTC270115C00049000,0.5935,0.4853,0.0167,0.1356,-0.0125,0.1606,8.0,8.0,8.0,1.0,8.0,2025-11-14T05:00:00Z,2.0,8.0,7.86,71,A,5.02,10,S,A,2025-11-21T14:45:04.954557403Z,I,8.0,2.0,2025-11-14T14:30:01.410966861Z,I,8.0,8.0,8.0,1.0,8.0,2025-11-14T14:30:00Z,2.0,8.0,9.0,9.0,9.0,1.0,9.0,2025-11-13T05:00:00Z,1.0,9.0,2027-01-15,49000
BTC270115P00060000,0.5938,-0.6385,0.0157,-0.5568,-0.0061,0.1509,18.89,18.89,18.89,1.0,18.89,2025-11-06T05:00:00Z,1.0,18.89,25.77,7,C,23.05,5,U,A,2025-11-21T14:33:27.173639339Z,g,18.89,1.0,2025-11-06T15:20:15.288428062Z,C,18.89,18.89,18.89,1.0,18.89,2025-11-06T15:20:00Z,1.0,18.89,19.07,19.07,18.82,2.0,18.82,2025-10-17T04:00:00Z,2.0,18.945,2027-01-15,60000
BTC260618C00060000,0.6106,0.2306,0.0175,0.0388,-0.0133,0.0864,1.95,1.95,1.95,1.0,1.95,2025-11-17T05:00:00Z,5.0,1.95,3.35,402,A,0.43,367,A,A,2025-11-21T14:45:03.460635258Z,I,1.95,5.0,2025-11-17T19:52:59.040313371Z,P,1.95,1.95,1.95,1.0,1.95,2025-11-17T19:52:00Z,5.0,1.95,3.21,3.21,3.21,1.0,3.21,2025-11-04T05:00:00Z,4.0,3.21,2026-06-18,60000
BTC260116P00030000,0.6524,-0.1513,0.0244,-0.01,-0.0194,0.0345,0.8,0.8,0.66,3.0,0.66,2025-11-19T05:00:00Z,5.0,0.744,1.22,39,A,0.48,199,X,A,2025-11-21T14:45:06.636231861Z,I,0.73,3.0,2025-11-19T19:36:21.145003201Z,I,0.8,0.8,0.8,1.0,0.8,2025-11-19T19:36:00Z,3.0,0.8,0.47,0.47,0.47,1.0,0.47,2025-11-18T05:00:00Z,3.0,0.47,2026-01-16,30000
BTC251219P00025000,,,,,,,0.05,0.05,0.05,1.0,0.05,2025-11-17T05:00:00Z,1.0,0.05,0.73,438,A,0.0,0,?,A,2025-11-21T14:45:03.419172693Z,a,0.05,1.0,2025-11-17T20:30:17.394379037Z,X,0.05,0.05,0.05,1.0,0.05,2025-11-17T20:30:00Z,1.0,0.05,0.49,0.49,0.49,1.0,0.49,2025-06-10T04:00:00Z,10.0,0.49,2025-12-19,25000
BTC251219C00033000,0.5895,0.8141,0.0437,0.0194,-0.0321,0.0279,21.38,21.38,21.38,1.0,21.38,2025-08-11T04:00:00Z,10.0,21.38,6.0,31,B,4.67,686,X, ,2025-11-21T14:45:04.182547232Z,a,21.38,10.0,2025-08-11T14:37:11.832406388Z,X,21.38,21.38,21.38,1.0,21.38,2025-08-11T14:37:00Z,10.0,21.38,15.85,16.07,15.85,6.0,15.9,2025-05-12T04:00:00Z,10.0,15.965,2025-12-19,33000
BTC251219C00060000,,,,,,,0.11,0.11,0.06,3.0,0.06,2025-11-20T05:00:00Z,9.0,0.104444,0.17,2,I,0.07,1,A,B,2025-11-21T14:43:50.877529619Z,a,0.11,4.0,2025-11-20T16:16:34.265928755Z,E,0.11,0.11,0.11,2.0,0.11,2025-11-20T16:16:00Z,8.0,0.11,0.1,0.1,0.1,2.0,0.1,2025-11-19T05:00:00Z,4.0,0.1,2025-12-19,60000
BTC260320P00054000,0.636,-0.7834,0.0215,-0.152,-0.0119,0.0629,6.45,6.45,6.45,1.0,6.45,2025-10-07T04:00:00Z,1.0,6.45,18.59,40,C,15.81,40,C, ,2025-11-21T14:45:04.954288436Z,g,6.45,1.0,2025-10-07T15:03:54.627876335Z,C,6.45,6.45,6.45,1.0,6.45,2025-10-07T15:03:00Z,1.0,6.45,,,,,,,,,2026-03-20,54000
BTC251219C00065000,,,,,,,0.1,0.1,0.03,2.0,0.03,2025-11-17T05:00:00Z,4.0,0.0825,0.98,519,A,0.0,0,?,A,2025-11-21T14:45:03.451214046Z,a,0.1,3.0,2025-11-17T20:30:40.641358222Z,X,0.1,0.1,0.1,1.0,0.1,2025-11-17T20:30:00Z,3.0,0.1,0.08,0.08,0.08,1.0,0.08,2025-11-13T05:00:00Z,1.0,0.08,2025-12-19,65000
BTC260116C00056000,,,,,,,0.25,0.4,0.25,3.0,0.4,2025-11-20T05:00:00Z,11.0,0.263636,0.77,497,A,0.0,0,?,A,2025-11-21T14:45:08.228501345Z,I,0.25,5.0,2025-11-20T18:16:38.916735801Z,C,0.25,0.25,0.25,1.0,0.25,2025-11-20T18:16:00Z,5.0,0.25,0.5,0.7,0.4,3.0,0.4,2025-11-18T05:00:00Z,11.0,0.581818,2026-01-16,56000
BTC260116C00037000,0.5258,0.5812,0.0505,0.0282,-0.0289,0.0575,,,,,,,,,4.15,323,A,2.76,782,X,A,2025-11-21T14:45:08.294854856Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,37000
BTC270115C00030000,0.5774,0.7694,0.0131,0.1814,-0.0099,0.1225,13.5,13.7,13.4,3.0,13.7,2025-11-20T05:00:00Z,4.0,13.5,14.63,117,A,11.64,86,A,A,2025-11-21T14:45:10.101293095Z,I,13.5,1.0,2025-11-20T17:25:03.932485636Z,A,13.5,13.5,13.5,1.0,13.5,2025-11-20T17:25:00Z,1.0,13.5,14.7,15.0,14.7,2.0,15.0,2025-11-19T05:00:00Z,5.0,14.94,2027-01-15,30000
BTC251219P00048000,0.8688,-0.8123,0.0298,-0.0319,-0.039,0.028,4.4,4.4,4.4,1.0,4.4,2025-11-05T05:00:00Z,1.0,4.4,12.17,74,X,10.09,68,X, ,2025-11-21T14:45:04.689084908Z,g,4.4,1.0,2025-11-05T17:00:36.894509636Z,A,4.4,4.4,4.4,1.0,4.4,2025-11-05T17:00:00Z,1.0,4.4,4.67,4.67,4.2,2.0,4.2,2025-11-04T05:00:00Z,2.0,4.435,2025-12-19,48000
BTC260618P00060000,0.6264,-0.76,0.0175,-0.2963,-0.008,0.0884,21.3,21.3,21.3,1.0,21.3,2025-11-19T05:00:00Z,2.0,21.3,24.95,31,B,21.46,31,B,A,2025-11-21T14:33:27.175642345Z,I,21.3,2.0,2025-11-19T17:37:39.813320246Z,I,21.3,21.3,21.3,1.0,21.3,2025-11-19T17:37:00Z,2.0,21.3,18.5,18.5,18.48,5.0,18.48,2025-11-14T05:00:00Z,68.0,18.491471,2026-06-18,60000
