symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC251219P00043000,0.3856,-0.8652,0.0573,-0.025,-0.013,0.0213,5.3,5.54,5.3,2.0,5.54,2025-11-24T05:00:00Z,2.0,5.42,5.46,86,X,4.28,88,X, ,2025-11-25T14:47:31.80724127Z,g,5.3,1.0,2025-11-24T17:45:59.067856158Z,C,5.3,5.3,5.3,1.0,5.3,2025-11-24T17:45:00Z,1.0,5.3,6.09,6.2,5.87,3.0,6.2,2025-11-21T05:00:00Z,3.0,6.053333,2025-12-19,43000
BTC251219C00031000,0.8797,0.8549,0.0264,0.0162,-0.0437,0.0224,7.19,7.19,7.19,1.0,7.19,2025-11-21T05:00:00Z,1.0,7.19,8.8,372,A,7.32,39,B,A,2025-11-25T14:47:54.489070482Z,k,7.19,1.0,2025-11-21T17:01:09.549480074Z,C,7.19,7.19,7.19,1.0,7.19,2025-11-21T17:01:00Z,1.0,7.19,,,,,,,,,2025-12-19,31000
BTC260618P00048000,0.5115,-0.6353,0.0256,-0.2026,-0.0098,0.1078,11.4,11.4,11.4,1.0,11.4,2025-11-20T05:00:00Z,1.0,11.4,12.8,326,A,10.72,377,C,A,2025-11-25T14:47:26.398715435Z,I,11.4,1.0,2025-11-20T19:55:00.387592683Z,C,11.4,11.4,11.4,1.0,11.4,2025-11-20T19:55:00Z,1.0,11.4,9.32,9.32,9.32,1.0,9.32,2025-11-14T05:00:00Z,5.0,9.32,2026-06-18,48000
BTC260320P00063000,0.6407,-0.8797,0.0146,-0.1839,-0.006,0.043,,,,,,,,,25.9,32,Z,23.49,31,B,A,2025-11-25T14:45:27.291015442Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,63000
BTC251219C00025000,,,,,,,12.5,12.5,12.37,37.0,12.37,2025-11-21T05:00:00Z,39.0,12.4,14.77,460,A,12.39,86,A,A,2025-11-25T14:47:44.465402439Z,I,12.5,3.0,2025-11-21T17:23:49.118957145Z,U,12.5,12.5,12.5,1.0,12.5,2025-11-21T17:23:00Z,3.0,12.5,17.8,17.8,17.8,1.0,17.8,2025-11-14T05:00:00Z,3.0,17.8,2025-12-19,25000
BTC260116P00030000,0.6437,-0.126,0.0223,-0.0078,-0.0179,0.0299,0.45,0.59,0.45,2.0,0.59,2025-11-24T05:00:00Z,11.0,0.577273,0.93,132,A,0.37,46,S,A,2025-11-25T14:47:36.759241057Z,f,0.45,1.0,2025-11-24T19:02:06.626608288Z,M,0.45,0.45,0.45,1.0,0.45,2025-11-24T19:02:00Z,1.0,0.45,0.9,0.9,0.5,6.0,0.85,2025-11-21T05:00:00Z,22.0,0.839545,2026-01-16,30000
BTC270115C00071000,0.5676,0.2569,0.0139,0.081,-0.0096,0.1317,6.7,6.7,6.7,1.0,6.7,2025-10-14T04:00:00Z,1.0,6.7,4.17,47,A,1.28,52,A,A,2025-11-25T14:47:26.400588175Z,I,6.7,1.0,2025-10-14T13:30:16.322621923Z,C,6.7,6.7,6.7,1.0,6.7,2025-10-14T13:30:00Z,1.0,6.7,,,,,,,,,2027-01-15,71000
BTC280121C00045000,0.5917,0.6284,0.0114,0.2663,-0.0091,0.2124,15.18,15.92,15.18,2.0,15.92,2025-11-13T05:00:00Z,3.0,15.426667,13.77,31,A,9.62,11,E,A,2025-11-25T14:47:40.946676053Z,a,15.18,2.0,2025-11-13T17:57:23.505355445Z,X,15.18,15.18,15.18,1.0,15.18,2025-11-13T17:57:00Z,2.0,15.18,15.8,16.2,15.8,2.0,16.2,2025-11-06T05:00:00Z,20.0,16.0,2028-01-21,45000
BTC270115C00040000,0.5311,0.6079,0.0177,0.1687,-0.0114,0.157,9.4,9.4,8.54,6.0,8.77,2025-11-24T05:00:00Z,30.0,8.920667,9.28,61,A,7.64,167,A,A,2025-11-25T14:47:30.065578674Z,I,9.4,2.0,2025-11-24T19:00:06.563476933Z,U,9.4,9.4,9.4,1.0,9.4,2025-11-24T19:00:00Z,2.0,9.4,8.5,9.5,8.5,2.0,9.5,2025-11-21T05:00:00Z,10.0,9.4,2027-01-15,40000
BTC270115C00036000,0.5737,0.6806,0.0152,0.1749,-0.0115,0.146,11.2,11.2,11.1,3.0,11.15,2025-11-24T05:00:00Z,3.0,11.15,12.23,129,A,9.17,170,A,A,2025-11-25T14:47:54.694219769Z,I,11.2,1.0,2025-11-24T20:45:01.225870886Z,W,11.2,11.2,11.1,3.0,11.15,2025-11-24T20:45:00Z,3.0,11.15,,,,,,,,,2027-01-15,36000
BTC260618P00057000,0.577,-0.7446,0.0194,-0.2704,-0.0081,0.0922,,,,,,,,,20.97,1,B,18.33,1,B, ,2025-11-25T14:30:01.398767788Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,57000
BTC260116C00040000,0.5727,0.4715,0.0481,0.0219,-0.0333,0.0575,2.91,3.0,2.27,19.0,2.6,2025-11-24T05:00:00Z,40.0,2.644,3.14,726,A,2.17,34,N,A,2025-11-25T14:47:40.647514212Z,D,3.0,2.0,2025-11-24T21:01:39.195985435Z,U,2.91,2.91,2.91,1.0,2.91,2025-11-24T20:20:00Z,1.0,2.91,2.65,2.65,2.0,14.0,2.12,2025-11-21T05:00:00Z,31.0,2.186129,2026-01-16,40000
BTC260618C00020000,0.789,0.9233,0.0064,0.0879,-0.0095,0.0413,,,,,,,,,20.75,419,A,18.62,337,A,A,2025-11-25T14:47:54.251004962Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,20000
BTC260320C00020000,0.8921,0.9418,0.0061,0.0534,-0.0114,0.025,,,,,,,,,20.21,464,A,17.97,31,B,A,2025-11-25T14:47:46.338514475Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,20000
BTC260320C00052000,0.5608,0.2179,0.0244,0.0222,-0.0161,0.0632,1.2,1.2,1.2,1.0,1.2,2025-11-25T05:00:00Z,3.0,1.2,1.48,43,X,1.12,25,N,A,2025-11-25T14:47:54.838805945Z,a,1.2,3.0,2025-11-25T14:31:00.32924867Z,E,1.2,1.2,1.2,1.0,1.2,2025-11-25T14:31:00Z,3.0,1.2,1.31,1.31,1.15,6.0,1.25,2025-11-24T05:00:00Z,17.0,1.219412,2026-03-20,52000
BTC270115P00050000,0.5385,-0.5439,0.018,-0.4129,-0.0071,0.162,14.5,14.5,14.5,1.0,14.5,2025-11-21T05:00:00Z,2.0,14.5,16.72,22,S,14.12,25,A,A,2025-11-25T14:47:43.960393102Z,I,14.67,2.0,2025-11-21T18:51:48.766962334Z,E,14.5,14.5,14.5,1.0,14.5,2025-11-21T18:51:00Z,2.0,14.5,11.84,11.84,11.84,1.0,11.84,2025-11-06T05:00:00Z,1.0,11.84,2027-01-15,50000
BTC260116C00054000,,,,,,,0.45,0.45,0.45,1.0,0.45,2025-11-20T05:00:00Z,2.0,0.45,0.77,238,A,0.0,0,?,A,2025-11-25T14:47:28.338238371Z,a,0.45,2.0,2025-11-20T16:05:12.77737066Z,X,0.45,0.45,0.45,1.0,0.45,2025-11-20T16:05:00Z,2.0,0.45,0.42,0.42,0.42,2.0,0.42,2025-11-19T05:00:00Z,10.0,0.42,2026-01-16,54000
BTC251219P00050000,,,,,,,13.2,13.2,12.0,2.0,12.0,2025-11-24T05:00:00Z,3.0,12.4,12.46,35,B,10.35,35,B,A,2025-11-25T14:30:53.335078849Z,I,12.85,1.0,2025-11-24T15:25:26.175065549Z,J,13.2,13.2,13.2,1.0,13.2,2025-11-24T15:25:00Z,1.0,13.2,13.4,13.4,12.89,2.0,12.89,2025-11-21T05:00:00Z,6.0,12.975,2025-12-19,50000
BTC260320C00065000,,,,,,,0.4,0.4,0.4,1.0,0.4,2025-11-21T05:00:00Z,5.0,0.4,0.77,16,U,0.0,0,?, ,2025-11-25T14:33:44.395127884Z,I,0.4,5.0,2025-11-21T14:39:23.250080549Z,I,0.4,0.4,0.4,1.0,0.4,2025-11-21T14:39:00Z,5.0,0.4,0.45,0.7,0.45,8.0,0.69,2025-11-20T05:00:00Z,11.0,0.67,2026-03-20,65000
BTC260116C00073000,,,,,,,,,,,,,,,0.77,455,A,0.0,0,?,A,2025-11-25T14:47:26.398627117Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,73000
BTC270115C00074000,0.5796,0.244,0.0132,0.0768,-0.0096,0.1281,2.95,2.95,2.95,1.0,2.95,2025-11-21T05:00:00Z,2.0,2.95,4.17,59,A,1.02,79,A,A,2025-11-25T14:47:55.560731638Z,I,2.95,2.0,2025-11-21T19:15:42.75239303Z,N,2.95,2.95,2.95,1.0,2.95,2025-11-21T19:15:00Z,2.0,2.95,3.01,3.01,3.01,1.0,3.01,2025-11-17T05:00:00Z,2.0,3.01,2027-01-15,74000
BTC260320P00069000,0.6563,-0.9168,0.0109,-0.2063,-0.0026,0.0329,,,,,,,,,31.5,16,Z,29.27,20,E, ,2025-11-25T14:45:27.290785445Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,69000
BTC251219P00048000,0.5109,-0.95,0.0206,-0.0303,-0.0058,0.0101,10.0,10.0,10.0,1.0,10.0,2025-11-24T05:00:00Z,1.0,10.0,10.47,74,C,8.95,88,X, ,2025-11-25T14:45:27.290331635Z,g,10.0,1.0,2025-11-24T16:52:06.237411057Z,C,10.0,10.0,10.0,1.0,10.0,2025-11-24T16:52:00Z,1.0,10.0,11.08,11.08,11.08,1.0,11.08,2025-11-21T05:00:00Z,1.0,11.08,2025-12-19,48000
BTC280121P00048000,0.5209,-0.4299,0.0134,-0.6969,-0.0045,0.2207,13.6,13.6,13.6,1.0,13.6,2025-10-22T04:00:00Z,2.0,13.6,17.57,12,E,14.18,30,S,A,2025-11-25T14:45:59.917687697Z,I,13.6,2.0,2025-10-22T16:06:50.110911821Z,I,13.6,13.6,13.6,1.0,13.6,2025-10-22T16:06:00Z,2.0,13.6,,,,,,,,,2028-01-21,48000
BTC280121C00063000,0.5687,0.4616,0.0124,0.2228,-0.009,0.2231,11.73,11.9,11.73,2.0,11.9,2025-09-22T04:00:00Z,39.0,11.834615,8.91,35,A,5.75,12,B,A,2025-11-25T14:47:54.884799188Z,g,11.73,15.0,2025-09-22T19:22:10.185000133Z,C,11.73,11.73,11.73,1.0,11.73,2025-09-22T19:22:00Z,15.0,11.73,,,,,,,,,2028-01-21,63000
BTC260320C00045000,0.5523,0.3708,0.0319,0.0366,-0.0207,0.0812,2.45,2.45,2.3,3.0,2.3,2025-11-24T05:00:00Z,5.0,2.42,3.18,504,A,1.97,172,A,A,2025-11-25T14:47:26.397352139Z,I,2.47,2.0,2025-11-24T17:46:20.67271685Z,B,2.45,2.45,2.45,1.0,2.45,2025-11-24T17:46:00Z,2.0,2.45,2.49,2.49,2.12,3.0,2.12,2025-11-21T05:00:00Z,3.0,2.26,2026-03-20,45000
BTC270115P00026000,0.5345,-0.1513,0.0107,-0.092,-0.0054,0.0958,,,,,,,,,3.93,23,A,0.63,31,A,A,2025-11-25T14:47:54.697091711Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,26000
