symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC270115C00060000,0.547,0.3283,0.0165,0.1002,-0.0103,0.145,4.82,4.82,4.82,1.0,4.82,2025-11-19T05:00:00Z,1.0,4.82,5.05,12,P,2.07,26,A,A,2025-11-21T20:59:56.007980867Z,f,4.82,1.0,2025-11-19T20:50:49.153384594Z,X,4.82,4.82,4.82,1.0,4.82,2025-11-19T20:50:00Z,1.0,4.82,5.1,5.1,5.05,2.0,5.05,2025-11-18T05:00:00Z,2.0,5.075,2027-01-15,60000
BTC280121C00025000,0.6362,0.835,0.0071,0.26,-0.0066,0.1367,19.25,19.25,18.7,4.0,19.0,2025-11-21T05:00:00Z,7.0,18.942857,21.4,25,A,17.1,15,U,A,2025-11-21T20:59:56.818191048Z,f,19.25,1.0,2025-11-21T20:43:05.061477784Z,I,19.25,19.25,19.25,2.0,19.25,2025-11-21T20:43:00Z,2.0,19.25,20.1,20.2,20.1,4.0,20.2,2025-11-20T05:00:00Z,4.0,20.125,2028-01-21,25000
BTC260116C00064000,,,,,,,1.77,1.77,1.65,2.0,1.65,2025-10-13T04:00:00Z,2.0,1.71,0.77,503,A,0.0,0,?,A,2025-11-21T20:59:40.612849609Z,f,1.77,1.0,2025-10-13T18:37:55.117590789Z,I,1.77,1.77,1.77,1.0,1.77,2025-10-13T18:37:00Z,1.0,1.77,3.01,3.01,3.01,1.0,3.01,2025-10-06T04:00:00Z,1.0,3.01,2026-01-16,64000
BTC260618C00040000,0.5445,0.5381,0.0258,0.084,-0.0162,0.1122,5.4,5.4,5.3,3.0,5.3,2025-11-21T05:00:00Z,35.0,5.385714,5.92,255,X,4.9,210,X, ,2025-11-21T20:59:38.734147961Z,I,5.4,30.0,2025-11-21T18:22:41.653216473Z,U,5.4,5.4,5.4,1.0,5.4,2025-11-21T18:22:00Z,30.0,5.4,5.92,6.03,5.87,3.0,6.03,2025-11-20T05:00:00Z,6.0,5.958333,2026-06-18,40000
BTC280121P00030000,0.567,-0.2218,0.0095,-0.3192,-0.0046,0.1638,5.96,5.96,5.96,1.0,5.96,2025-11-21T05:00:00Z,1.0,5.96,8.46,9,N,4.43,14,U,A,2025-11-21T20:59:58.44526903Z,g,5.96,1.0,2025-11-21T19:46:54.366269896Z,C,5.96,5.96,5.96,1.0,5.96,2025-11-21T19:46:00Z,1.0,5.96,5.42,5.42,5.37,2.0,5.37,2025-11-20T05:00:00Z,3.0,5.386667,2028-01-21,30000
BTC260320C00072000,,,,,,,,,,,,,,,0.73,312,A,0.0,0,?,A,2025-11-21T20:59:44.526916727Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,72000
BTC260618P00051000,0.5579,-0.6821,0.0226,-0.2318,-0.0094,0.1008,,,,,,,,,16.74,52,X,13.54,406,A,A,2025-11-21T20:59:43.834787338Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,51000
BTC260116C00025000,0.6382,0.9623,0.0089,0.0351,-0.0094,0.0119,12.6,12.69,12.6,2.0,12.69,2025-11-21T05:00:00Z,5.0,12.654,13.13,110,A,12.35,158,A,A,2025-11-21T20:59:56.036743949Z,I,12.6,2.0,2025-11-21T20:29:06.575635856Z,U,12.6,12.6,12.6,1.0,12.6,2025-11-21T20:29:00Z,2.0,12.6,21.0,21.0,21.0,1.0,21.0,2025-11-11T05:00:00Z,14.0,21.0,2026-01-16,25000
BTC260116C00053000,0.6305,0.1014,0.0193,0.0051,-0.0151,0.0258,0.65,0.65,0.65,2.0,0.65,2025-11-17T05:00:00Z,14.0,0.65,0.72,236,A,0.08,31,U,A,2025-11-21T20:59:37.774716591Z,a,0.65,1.0,2025-11-17T20:05:46.624332355Z,B,0.65,0.65,0.65,1.0,0.65,2025-11-17T20:05:00Z,1.0,0.65,0.77,0.77,0.77,2.0,0.77,2025-11-14T05:00:00Z,19.0,0.77,2026-01-16,53000
BTC270115P00034000,0.5146,-0.3009,0.0169,-0.1921,-0.007,0.1397,4.72,4.72,4.72,1.0,4.72,2025-11-18T05:00:00Z,2.0,4.72,6.78,19,B,4.15,73,A,A,2025-11-21T20:59:45.77947773Z,a,4.72,2.0,2025-11-18T14:34:08.368363369Z,X,4.72,4.72,4.72,1.0,4.72,2025-11-18T14:34:00Z,2.0,4.72,3.27,3.27,3.27,1.0,3.27,2025-10-30T04:00:00Z,1.0,3.27,2027-01-15,34000
