symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC280121C00055000,0.5433,0.508,0.0132,0.2408,-0.0087,0.2219,13.6,13.6,13.6,1.0,13.6,2025-11-10T05:00:00Z,1.0,13.6,10.17,48,A,5.96,52,A,A,2025-12-01T14:49:43.391512463Z,a,13.6,1.0,2025-11-10T20:46:23.733356984Z,X,13.6,13.6,13.6,1.0,13.6,2025-11-10T20:46:00Z,1.0,13.6,12.0,12.0,12.0,1.0,12.0,2025-11-04T05:00:00Z,1.0,12.0,2028-01-21,55000
BTC260116P00044000,0.4282,-0.8025,0.0481,-0.0465,-0.0136,0.0375,4.5,4.5,4.5,1.0,4.5,2025-11-28T05:00:00Z,2.0,4.5,7.09,132,X,5.6,141,X, ,2025-12-01T14:49:02.7836308Z,e,4.5,2.0,2025-11-28T17:26:18.087343015Z,B,4.5,4.5,4.5,1.0,4.5,2025-11-28T17:26:00Z,2.0,4.5,7.48,7.48,7.48,1.0,7.48,2025-11-21T05:00:00Z,1.0,7.48,2026-01-16,44000
BTC260320P00055000,0.5279,-0.8633,0.02,-0.1489,-0.0059,0.0455,8.8,8.8,8.8,1.0,8.8,2025-10-13T04:00:00Z,5.0,8.8,18.04,48,B,16.01,48,B, ,2025-12-01T14:49:07.43922635Z,I,8.8,5.0,2025-10-13T14:09:30.077312454Z,N,8.8,8.8,8.8,1.0,8.8,2025-10-13T14:09:00Z,5.0,8.8,7.2,7.2,7.2,2.0,7.2,2025-10-08T04:00:00Z,2.0,7.2,2026-03-20,55000
BTC251219P00043000,0.407,-0.9016,0.0505,-0.0194,-0.0123,0.0147,3.35,3.35,3.01,2.0,3.01,2025-11-28T05:00:00Z,2.0,3.18,5.61,120,X,4.46,120,X, ,2025-12-01T14:49:02.783607586Z,g,3.35,1.0,2025-11-28T17:34:03.394129658Z,C,3.35,3.35,3.35,1.0,3.35,2025-11-28T17:34:00Z,1.0,3.35,4.9,4.9,4.8,2.0,4.8,2025-11-26T05:00:00Z,2.0,4.85,2025-12-19,43000
BTC260320P00042000,0.4733,-0.5834,0.0397,-0.0844,-0.0147,0.0811,5.8,6.3,5.8,2.0,6.3,2025-11-24T05:00:00Z,2.0,6.05,6.84,232,U,5.31,385,A,A,2025-12-01T14:50:23.132295279Z,I,5.88,1.0,2025-11-24T20:26:11.312992469Z,X,5.8,5.8,5.8,1.0,5.8,2025-11-24T20:26:00Z,1.0,5.8,7.16,7.16,7.16,1.0,7.16,2025-11-21T05:00:00Z,1.0,7.16,2026-03-20,42000
BTC280121C00020000,0.6304,0.8912,0.0053,0.2485,-0.0052,0.1038,24.7,25.07,24.7,4.0,25.07,2025-11-28T05:00:00Z,6.0,24.873333,23.7,26,A,20.87,17,M,A,2025-12-01T14:50:21.555772502Z,I,24.7,2.0,2025-11-28T16:32:47.697133917Z,N,24.7,25.0,24.7,3.0,25.0,2025-11-28T16:32:00Z,4.0,24.775,24.2,24.5,24.0,7.0,24.0,2025-11-26T05:00:00Z,8.0,24.275,2028-01-21,20000
BTC270115C00060000,0.5638,0.3446,0.0162,0.1033,-0.0111,0.1485,4.52,4.52,4.52,1.0,4.52,2025-12-01T05:00:00Z,1.0,4.52,5.3,136,A,2.52,131,A,A,2025-12-01T14:50:10.396796652Z,f,4.52,1.0,2025-12-01T14:30:17.086999812Z,A,4.52,4.52,4.52,1.0,4.52,2025-12-01T14:30:00Z,1.0,4.52,3.75,3.75,3.75,1.0,3.75,2025-11-24T05:00:00Z,10.0,3.75,2027-01-15,60000
BTC251219C00034000,0.6525,0.8051,0.05,0.0128,-0.045,0.0233,5.12,5.12,5.12,1.0,5.12,2025-11-24T05:00:00Z,1.0,5.12,5.36,428,A,4.12,239,X,A,2025-12-01T14:50:22.589928437Z,g,5.12,1.0,2025-11-24T14:33:03.933704668Z,A,5.12,5.12,5.12,1.0,5.12,2025-11-24T14:33:00Z,1.0,5.12,4.68,4.68,4.68,1.0,4.68,2025-11-21T05:00:00Z,1.0,4.68,2025-12-19,34000
BTC280121P00056000,0.5585,-0.4922,0.0128,-0.8807,-0.0043,0.2219,,,,,,,,,24.5,18,A,20.37,21,A,A,2025-12-01T14:49:52.322354813Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,56000
BTC260320C00059000,0.5596,0.1064,0.0158,0.0105,-0.0102,0.0381,0.67,0.67,0.67,1.0,0.67,2025-11-24T05:00:00Z,1.0,0.67,0.88,101,U,0.17,266,E,A,2025-12-01T14:50:06.228560957Z,g,0.67,1.0,2025-11-24T15:09:42.693354639Z,C,0.67,0.67,0.67,1.0,0.67,2025-11-24T15:09:00Z,1.0,0.67,3.3,3.3,3.3,1.0,3.3,2025-10-16T04:00:00Z,1.0,3.3,2026-03-20,59000
